source_id,case_id,base_case_id,variant_label,source_owner,source_root,fluid,turbulence_model,heater_power_W,cooling_power_W,T_init_K,nprocs,scale_to_meters,mesh_group_id,ncc_couples,geometry_dir,geometry_stl_count,geometry_stl_examples,heater_h_W_m2K,heater_Ta_K,heater_emissivity,cooler_h_W_m2K,cooler_Ta_K,test_section_h_W_m2K,test_section_Ta_K,insulated_h_W_m2K,insulated_Ta_K,mesh_kernel_factor,mesh_kernel_blend,mesh_core_ratio,inflation_first_cell_size,inflation_bulk_cell_size,inflation_c2c_expansion,convergence_enabled,convergence_check_interval,convergence_min_iterations,convergence_qoi_rtol,convergence_qoi_window,mu_spec_type,kappa_spec_type,cp_coeff_count,rho_coeff_count,walltime,run_status,run_termination_reason,final_time,convergence_reached,convergence_dTsigma,mdot_mean_abs_kg_s,final_total_wall_heat_abs_w,probe_T_avg_K,two_d_ins_s1_thickness_in,two_d_ins_s2_thickness_in,two_d_radiation_on,one_d_stage1_scenario,one_d_stage2_scenario,comparison_ready,disposition_note,assumption_note
val_salt_test_2_coarse_mesh_laminar,salt_test_2,salt_test_2,,native_2d_cfd_external,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,hitec_salt,laminar,265.7,56.34,451.5,64,0.001,7ab7fb2650596980,10,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,28.57706637639941,343.315,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,terminated,15 (Terminated),1724.0,,,0.01361622898,0.660044,452.58333066666665,,,,,,,,hitec_salt / laminar case on mesh group 7ab7fb2650596980 with heater 265.7 W and cooler 56.34 W.
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt_test_1,jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,hitec_salt_jin,laminar,232.3,55.58,440.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,31.29071065643277,342.53,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,terminated,15 (Terminated),3230.0,False,,0.0112647880625,9.4561,429.15123066666666,3.0,2.0,False,predictive_airside_ins_1.0in_rad_1,lossy_ins_1.0in_rad_1,convergence_audit_required,Stopped without a normal completion marker and without recorded convergence; treat as requiring convergence audit.,hitec_salt_jin / laminar case on mesh group 7ab7fb2650596980 with heater 232.3 W and cooler 55.58 W.
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,salt_test_1,kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh,hitec_salt_kirst,laminar,232.3,55.58,440.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,31.29071065643277,342.53,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,completed,normal,3279.16352,True,9.62557193e-05,0.010932096545,9.48783,429.4821175,3.0,2.0,False,predictive_airside_ins_1.0in_rad_1,lossy_ins_1.0in_rad_1,comparison_candidate,Completed normally after reaching the coded convergence monitor.,hitec_salt_kirst / laminar case on mesh group 7ab7fb2650596980 with heater 232.3 W and cooler 55.58 W.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt_test_2,jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,hitec_salt_jin,laminar,265.7,56.34,447.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,29.81733062574886,343.315,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,terminated,15 (Terminated),2432.0,False,,0.01316160563,0.362005,447.9023393333333,3.0,3.0,False,predictive_airside_ins_1.0in_rad_1,lossy_ins_1.0in_rad_1,convergence_audit_required,Stopped without a normal completion marker and without recorded convergence; treat as requiring convergence audit.,hitec_salt_jin / laminar case on mesh group 7ab7fb2650596980 with heater 265.7 W and cooler 56.34 W.
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,salt_test_2,kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh,hitec_salt_kirst,laminar,265.7,56.34,447.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,29.81733062574886,343.315,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,completed,normal,586.560241,True,9.93417884e-05,0.012243562199999999,0.773351,446.646902,3.0,3.0,False,predictive_airside_ins_1.0in_rad_1,lossy_ins_1.0in_rad_1,comparison_candidate,Completed normally after reaching the coded convergence monitor.,hitec_salt_kirst / laminar case on mesh group 7ab7fb2650596980 with heater 265.7 W and cooler 56.34 W.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,salt_test_3,jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,hitec_salt_jin,laminar,297.5,60.55,459.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,29.871708360729436,347.77,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,terminated,15 (Terminated),2515.0,False,,0.014925509112499999,0.972496,461.26648033333333,3.0,3.0,False,predictive_airside_ins_1.0in_rad_1,lossy_ins_1.0in_rad_1,convergence_audit_required,Stopped without a normal completion marker and without recorded convergence; treat as requiring convergence audit.,hitec_salt_jin / laminar case on mesh group 7ab7fb2650596980 with heater 297.5 W and cooler 60.55 W.
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,salt_test_3,kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh,hitec_salt_kirst,laminar,297.5,60.55,459.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,29.871708360729436,347.77,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,terminated,15 (Terminated),3298.0,False,,0.0139685385125,0.868638,460.9963998333333,3.0,3.0,False,predictive_airside_ins_1.0in_rad_1,lossy_ins_1.0in_rad_1,convergence_audit_required,Stopped without a normal completion marker and without recorded convergence; treat as requiring convergence audit.,hitec_salt_kirst / laminar case on mesh group 7ab7fb2650596980 with heater 297.5 W and cooler 60.55 W.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt_test_4,jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,hitec_salt_jin,laminar,337.6,65.98,475.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,29.686756197250634,353.03999999999996,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,terminated,15 (Terminated),2083.0,False,,0.016985141185,0.37241,477.37963333333335,3.0,3.0,False,predictive_airside_ins_0.0in_rad_0,lossy_ins_0.0in_rad_0,convergence_audit_required,Stopped without a normal completion marker and without recorded convergence; treat as requiring convergence audit.,hitec_salt_jin / laminar case on mesh group 7ab7fb2650596980 with heater 337.6 W and cooler 65.98 W.
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,salt_test_4,kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh,hitec_salt_kirst,laminar,337.6,65.98,475.0,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,300.0,0.25,29.686756197250634,353.03999999999996,5.964,300.0,5.964,300.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,expInvT,polynomial,8,8,120:00:00,terminated,15 (Terminated),2984.0,False,,0.0158791593525,0.416831,477.20837416666666,3.0,3.0,False,predictive_airside_ins_0.0in_rad_0,lossy_ins_0.0in_rad_0,convergence_audit_required,Stopped without a normal completion marker and without recorded convergence; treat as requiring convergence audit.,hitec_salt_kirst / laminar case on mesh group 7ab7fb2650596980 with heater 337.6 W and cooler 65.98 W.
val_water_test_1_coarse_mesh_laminar,water_test_1,water_test_1,,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_1_coarse_mesh_laminar,water,laminar,58.8,26.86,314.515625,64,0.001,7ab7fb2650596980,10,staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_1_coarse_mesh_laminar/constant/geometry,4,junction_lower_left_steinmetz.stl;junction_lower_right_steinmetz.stl;junction_upper_left_steinmetz.stl;junction_upper_right_steinmetz.stl,8.761,298.0,0.25,105.01276709392775,300.47999999999996,5.964,298.0,5.964,298.0,0.7,0.5,0.64,0.225,1.125,1.2,True,100,500,0.0001,100,polynomial,polynomial,8,8,120:00:00,terminated,15 (Terminated),3195.0,False,,0.00650637830175,0.204109,315.2750875,,,,,,convergence_audit_required,Stopped without a normal completion marker and without recorded convergence; treat as requiring convergence audit.,water / laminar case on mesh group 7ab7fb2650596980 with heater 58.8 W and cooler 26.86 W.
