station_label,group,order_index,s_m,x_m,y_m,z_m
TP1,TP,0,0.0,0.887519,0.70409,0.0
TW1,TW,1,0.1699580000001838,0.88751925,0.534132,0.0
TW2,TW,2,0.47475800000018387,0.88751925,0.229332,0.0
TW3,TW,3,0.7795577500002864,0.887519,-0.07546775,0.0
TP2,TP,4,0.9495160000002864,0.887519,-0.245426,0.0
TW4,TW,5,1.1922586380690081,0.648452,-0.20334324999999998,0.0
TW5,TW,6,1.4122588480558398,0.44376,-0.12271275,0.0
TW6,TW,7,1.6322588747922018,0.239068,-0.04208275,0.0
TP3,TP,8,1.875002497718866,0.0,0.0,0.0
TW7,TW,9,2.044960497718866,0.0,0.169958,0.0
TP4,TP,10,2.1985034977188658,0.0,0.323501,0.0
TP5,TP,11,2.449781497718866,0.0,0.574779,0.0
TW8,TW,12,2.628942497718866,0.0,0.75394,0.0
TP6,TP,13,2.824517497718866,0.0,0.949515,0.0
TW11,TW,14,3.1135289080490853,0.282856,0.8901847500000001,0.0
TW10,TW,15,3.2864663971600354,0.44376,0.8268027499999999,0.0
TW9,TW,16,3.4594038862709855,0.604664,0.76342075,0.0
