station_label,order_index,x_m,y_m,z_m,s_m
TP1,0,0.887519,0.70409,0.0,0.0
TW1,1,0.88751925,0.534132,0.0,0.1699580000001838
TW2,2,0.88751925,0.229332,0.0,0.47475800000018387
TW3,3,0.887519,-0.07546775,0.0,0.7795577500002864
TP2,4,0.887519,-0.245426,0.0,0.9495160000002864
TW4,5,0.648452,-0.20334324999999998,0.0,1.1922586380690081
TW5,6,0.44376,-0.12271275,0.0,1.4122588480558398
TW6,7,0.239068,-0.04208275,0.0,1.6322588747922018
TP3,8,0.0,0.0,0.0,1.875002497718866
TW7,9,0.0,0.169958,0.0,2.044960497718866
TP4,10,0.0,0.323501,0.0,2.1985034977188658
TP5,11,0.0,0.574779,0.0,2.449781497718866
TW8,12,0.0,0.75394,0.0,2.628942497718866
TP6,13,0.0,0.949515,0.0,2.824517497718866
TW11,14,0.282856,0.8901847500000001,0.0,3.1135289080490853
TW10,15,0.44376,0.8268027499999999,0.0,3.2864663971600354
TW9,16,0.604664,0.76342075,0.0,3.4594038862709855
