source_id,case_id,base_case_id,fluid,variant_label,display_label,run_status,essential_steadiness_class,usable_for_steady_state_now,source_root,runtime_root,latest_heat_time_s,latest_total_q_time_s,latest_tp_time_s,latest_tw_time_s,latest_probe_time_s,latest_processor_time_s,processor_minus_heat_s,heat_minus_probe_s,heat_sample_count,probe_sample_count,steady_window_status,steady_window_sample_count,exp_tw_rmse_k,exp_tp_rmse_k,exp_all_temp_rmse_k,validation_metrics_provenance,note
val_salt_test_2_coarse_mesh_laminar,salt_test_2,salt_test_2,hitec_salt,,S2,running,essentially_steady,yes,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/salt2/2026-06-01_continuation_candidate/case_stage/val_salt_test_2_coarse_mesh_laminar_continuation,8602.0,8602.0,1724.0,1724.0,1724.0,3871.0,-4731.0,6878.0,3420,1725,usable_window,50,6.2626823688395215,2.573896609361759,5.195921279377687,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,latest wall-heat time 8602.0 s extends beyond the June 4 metadata snapshot at 3871.0 s; TW RMSE provenance remains the June 4 direct-validation package
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt_test_1,hitec_salt_jin,jin,S1 jin,terminated,not_steady_enough,no,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,3230.0,3230.0,3230.0,3230.0,3230.0,3229.0,-1.0,0.0,3230,3231,usable_window,50,17.804909804082378,17.64520698000888,17.745189678331162,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,salt_test_1,hitec_salt_kirst,kirst,S1 kirst,completed,not_steady_enough,no,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh,3279.163522,3279.163522,3279.16352,3279.16352,3279.16352,3279.0,-0.16352199999982986,1.99999976757681e-06,3280,3281,usable_window,50,17.690732707468666,17.329684694597706,17.55620984679648,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt_test_2,hitec_salt_jin,jin,S2 jin,terminated,essentially_steady,yes,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,2432.0,2432.0,2432.0,2432.0,2432.0,2431.0,-1.0,0.0,2432,2433,usable_window,50,6.615343578414548,3.3697945750128784,5.622281562405422,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,salt_test_2,hitec_salt_kirst,kirst,S2 kirst,completed,essentially_steady,yes,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh,586.560241,586.560241,586.560241,586.560241,586.560241,586.0,-0.5602410000000191,0.0,587,588,usable_window,50,6.971738348376763,4.4221360873972575,6.140964304544514,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,salt_test_3,hitec_salt_jin,jin,S3 jin,terminated,essentially_steady,yes,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,2515.0,2515.0,2515.0,2515.0,2515.0,2514.0,-1.0,0.0,2515,2516,usable_window,50,6.904353795656094,2.1338924649904922,5.612608549444536,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,salt_test_3,hitec_salt_kirst,kirst,S3 kirst,terminated,essentially_steady,yes,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh,3298.0,3298.0,3298.0,3298.0,3298.0,3297.0,-1.0,0.0,3298,3299,usable_window,50,6.6414913375364,2.4365395679251685,5.458447708953641,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt_test_4,hitec_salt_jin,jin,S4 jin,terminated,borderline_but_usable,yes_with_caveat,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,2083.0,2083.0,2083.0,2083.0,2083.0,2082.0,-1.0,0.0,2083,2084,usable_window,50,7.555170550541495,1.687564177784045,6.061627553731621,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,salt_test_4,hitec_salt_kirst,kirst,S4 kirst,terminated,essentially_steady,yes,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh,2984.0,2984.0,2984.0,2984.0,2984.0,2983.0,-1.0,0.0,2984,2985,usable_window,50,7.272489858169521,2.2215873830715664,5.908171197457817,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
val_water_test_1_coarse_mesh_laminar,water_test_1,water_test_1,water,,W1,terminated,,,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_1_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_1_coarse_mesh_laminar,5274.0,5274.0,3195.0,3195.0,3195.0,5274.0,0.0,2079.0,2080,3196,usable_window,50,1.6726777853082744,0.88321229435125,1.4286990033767857,reports/2026-06-04_ethan_direct_validation/ethan_direct_validation_metrics.csv,
