source_id,base_case_id,fluid,variant_label,run_status,steady_window_status,exp_tw_rmse_k,ambient_proxy_w,exp_q_external_loss_reference_w,ambient_error_w,ambient_error_pct,cooling_branch_total_removal_w,cooling_branch_excess_w,net_total_q_w,net_total_q_pct_of_heater,section_heater_net_q_w,section_test_section_net_q_w,section_cooling_branch_net_q_w,section_junctions_net_q_w,section_other_net_q_w,dominant_loss_section,dominant_loss_magnitude_w,tw_hypothesis_label,tw_hypothesis_note,note
val_salt_test_2_coarse_mesh_laminar,salt_test_2,hitec_salt,,running,usable_window,6.2626823688395215,188.09800293490002,236.41196517975052,-48.3139622448505,-20.436343908446457,136.35074,80.01074,0.193062345099988,0.07266177835904704,244.63106528000003,-7.45849322,-136.35074,-40.9260865692,0.0,Cooling branch,136.35074,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -48.31 W (-20.44%), making wall-loss partitioning the first TW suspect.",latest wall-heat time 8602.0 s extends beyond the June 4 metadata snapshot at 3871.0 s; TW RMSE provenance remains the June 4 direct-validation package
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1,hitec_salt_jin,jin,terminated,usable_window,17.804909804082378,167.774126774,230.96692873748583,-63.192801963485834,-27.360108353568656,135.60317786,80.02317785999999,-9.456096029600017,-4.070639702798113,213.15045680999998,0.7475739344,-135.60317786,-34.372965185700004,0.0,Cooling branch,135.60317786,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -63.19 W (-27.36%), making wall-loss partitioning the first TW suspect.",
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1,hitec_salt_kirst,kirst,completed,usable_window,17.690732707468666,167.80591747262997,230.96692873748583,-63.16101126485586,-27.346344175812238,135.60317786,80.02317785999999,-9.48782502563005,-4.084298332169629,213.09187967,0.806212777,-135.60317786,-34.393983561700004,0.0,Cooling branch,135.60317786,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -63.16 W (-27.35%), making wall-loss partitioning the first TW suspect.",
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2,hitec_salt_jin,jin,terminated,usable_window,6.615343578414548,186.8943747244,236.41196517975052,-49.51759045535053,-20.945467128832053,136.3507399,80.0107399,0.36200464559998835,0.13624563251787292,243.59637937000002,-5.499522598,-136.3507399,-39.3986300572,0.0,Cooling branch,136.3507399,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -49.52 W (-20.95%), making wall-loss partitioning the first TW suspect.",
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2,hitec_salt_kirst,kirst,completed,usable_window,6.971738348376763,188.09286214599,236.41196517975052,-48.31910303376051,-20.43851841298395,136.35073988,80.01073987999999,-0.7733511059899865,-0.2910617636394379,243.65951103999998,-5.039731247,-136.35073988,-41.530452608400005,0.0,Cooling branch,136.35073988,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -48.32 W (-20.44%), making wall-loss partitioning the first TW suspect.",
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3,hitec_salt_jin,jin,terminated,usable_window,6.904353795656094,211.76299764877,261.467043710691,-49.70404606192096,-19.009679138345895,150.76963870000003,90.21963870000003,0.9724962812299758,0.32688950629579017,273.28549393000003,-10.24342229,-150.76963870000003,-43.3883260672,0.0,Cooling branch,150.76963870000003,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -49.70 W (-19.01%), making wall-loss partitioning the first TW suspect.",
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3,hitec_salt_kirst,kirst,terminated,usable_window,6.6414913375364,211.73729728346,261.467043710691,-49.729746427230964,-19.01950843267885,150.76963876,90.21963876,0.868638036540025,0.2919791719462269,273.15593531999997,-10.2680828,-150.76963876,-43.194857487600004,0.0,Cooling branch,150.76963876,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -49.73 W (-19.02%), making wall-loss partitioning the first TW suspect.",
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4,hitec_salt_jin,jin,terminated,usable_window,7.555170550541495,244.24024581527993,295.69622118054673,-51.455975365266795,-17.40163440703854,169.22681362,103.24681362,0.37240998471996534,0.11031101443126935,310.5926558,-16.52275142,-169.22681362,-48.854221668799994,0.0,Cooling branch,169.22681362,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -51.46 W (-17.40%), making wall-loss partitioning the first TW suspect.",
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4,hitec_salt_kirst,kirst,terminated,usable_window,7.272489858169521,244.09050705061998,295.69622118054673,-51.60571412992675,-17.45227379771527,169.22681525,103.24681524999998,0.41683114937993615,0.12346894235187682,310.48733819999995,-16.54605165,-169.22681525,-48.5414199105,0.0,Cooling branch,169.22681525,under-loss,"The derived ambient proxy differs from the Ethan-linked ambient reference by -51.61 W (-17.45%), making wall-loss partitioning the first TW suspect.",
val_water_test_1_coarse_mesh_laminar,water_test_1,water,,terminated,usable_window,1.6726777853082744,26.37464932014,27.95017023606933,-1.575520915929328,-5.6368920211303,30.3939593874,3.5339593873999995,0.20410911985999158,0.34712435350338705,53.43875844,-2.783556867,-30.3939593874,-6.142981639319999,0.0,Cooling branch,30.3939593874,heat_partition_broadly_consistent,"TW RMSE (1.67 K) and the ambient-loss proxy are both reasonably aligned, so the steady-state wall heat partition is broadly self-consistent for this case.",
