source_id,time_s,feature_name,feature_kind,patch_role,patch_name,paired_patch,adjacent_major_spans,selection,faces,area,p_pa,p_rgh_pa,missing_flag,warning_flag,note
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_lower_left,corner,start,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,left_lower_leg|lower_leg,patch(ncc_pipeleg_left_07_lower_end),576,8.879097011e-19,-342.4587092,-6.163906948,0,0,
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_lower_left,corner,end,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_left_07_lower_end,left_lower_leg|lower_leg,patch(ncc_pipeleg_lower_01_fitting_start),576,8.765241034e-19,-3.918229935,-5.635919566,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_lower_left,corner,start,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,left_lower_leg|lower_leg,patch(ncc_pipeleg_left_07_lower_end),576,8.879097011e-19,-342.4427191,-6.147920586,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_lower_left,corner,end,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_left_07_lower_end,left_lower_leg|lower_leg,patch(ncc_pipeleg_lower_01_fitting_start),576,8.765241034e-19,-3.902253686,-5.619944018,0,0,
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_lower_left,corner,start,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,left_lower_leg|lower_leg,patch(ncc_pipeleg_left_07_lower_end),576,8.879097011e-19,-342.4279887,-6.133177203,0,0,
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_lower_left,corner,end,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_left_07_lower_end,left_lower_leg|lower_leg,patch(ncc_pipeleg_lower_01_fitting_start),576,8.765241034e-19,-3.887501392,-5.605190267,0,0,
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_lower_left,corner,start,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,left_lower_leg|lower_leg,patch(ncc_pipeleg_left_07_lower_end),576,8.879097011e-19,-342.4144586,-6.119633542,0,0,
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_lower_left,corner,end,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_left_07_lower_end,left_lower_leg|lower_leg,patch(ncc_pipeleg_lower_01_fitting_start),576,8.765241034e-19,-3.873968281,-5.591653596,0,0,
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_lower_left,corner,start,ncc_pipeleg_left_07_lower_end,ncc_pipeleg_lower_01_fitting_start,left_lower_leg|lower_leg,patch(ncc_pipeleg_left_07_lower_end),576,8.879097011e-19,-342.3975598,-6.102727214,0,0,
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_lower_left,corner,end,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_left_07_lower_end,left_lower_leg|lower_leg,patch(ncc_pipeleg_lower_01_fitting_start),576,8.765241034e-19,-3.857120961,-5.57480318,0,0,
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_lower_right,corner,start,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,lower_leg|right_leg,patch(ncc_pipeleg_lower_09_fitting_end),576,2.706616623e-17,4708.43805,-7.704766449,0,0,
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_lower_right,corner,end,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_lower_09_fitting_end,lower_leg|right_leg,patch(ncc_pipeleg_right_01_lower_start),576,3.102175040e-17,4370.588785,-5.023811889,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_lower_right,corner,start,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,lower_leg|right_leg,patch(ncc_pipeleg_lower_09_fitting_end),576,2.706616623e-17,4708.453164,-7.631744011,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_lower_right,corner,end,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_lower_09_fitting_end,lower_leg|right_leg,patch(ncc_pipeleg_right_01_lower_start),576,3.102175040e-17,4370.603949,-4.996803006,0,0,
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_lower_right,corner,start,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,lower_leg|right_leg,patch(ncc_pipeleg_lower_09_fitting_end),576,2.706616623e-17,4708.465899,-7.608928672,0,0,
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_lower_right,corner,end,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_lower_09_fitting_end,lower_leg|right_leg,patch(ncc_pipeleg_right_01_lower_start),576,3.102175040e-17,4370.618458,-4.976895572,0,0,
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_lower_right,corner,start,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,lower_leg|right_leg,patch(ncc_pipeleg_lower_09_fitting_end),576,2.706616623e-17,4708.479371,-7.615859161,0,0,
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_lower_right,corner,end,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_lower_09_fitting_end,lower_leg|right_leg,patch(ncc_pipeleg_right_01_lower_start),576,3.102175040e-17,4370.633274,-4.960173908,0,0,
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_lower_right,corner,start,ncc_pipeleg_lower_09_fitting_end,ncc_pipeleg_right_01_lower_start,lower_leg|right_leg,patch(ncc_pipeleg_lower_09_fitting_end),576,2.706616623e-17,4708.497531,-7.597816536,0,0,
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_lower_right,corner,end,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_lower_09_fitting_end,lower_leg|right_leg,patch(ncc_pipeleg_right_01_lower_start),576,3.102175040e-17,4370.651661,-4.942698899,0,0,
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_upper_right,corner,start,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,right_leg|upper_leg,patch(ncc_pipeleg_right_03_upper_end),576,4.519177216e-17,-13162.24769,4.874187238,0,0,
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_upper_right,corner,end,ncc_pipeleg_upper_01_straight_start,ncc_pipeleg_right_03_upper_end,right_leg|upper_leg,patch(ncc_pipeleg_upper_01_straight_start),576,3.896667600e-17,-13496.03793,12.6384522,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_upper_right,corner,start,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,right_leg|upper_leg,patch(ncc_pipeleg_right_03_upper_end),576,4.519177216e-17,-13162.2335,4.904075899,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_upper_right,corner,end,ncc_pipeleg_upper_01_straight_start,ncc_pipeleg_right_03_upper_end,right_leg|upper_leg,patch(ncc_pipeleg_upper_01_straight_start),576,3.896667600e-17,-13496.02321,12.65450222,0,0,
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_upper_right,corner,start,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,right_leg|upper_leg,patch(ncc_pipeleg_right_03_upper_end),576,4.519177216e-17,-13162.22199,4.885681296,0,0,
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_upper_right,corner,end,ncc_pipeleg_upper_01_straight_start,ncc_pipeleg_right_03_upper_end,right_leg|upper_leg,patch(ncc_pipeleg_upper_01_straight_start),576,3.896667600e-17,-13496.0099,12.66520023,0,0,
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_upper_right,corner,start,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,right_leg|upper_leg,patch(ncc_pipeleg_right_03_upper_end),576,4.519177216e-17,-13162.2094,4.837318289,0,0,
val_salt_test_2_coarse_mesh_laminar,7486.0,corner_upper_right,corner,end,ncc_pipeleg_upper_01_straight_start,ncc_pipeleg_right_03_upper_end,right_leg|upper_leg,patch(ncc_pipeleg_upper_01_straight_start),576,3.896667600e-17,-13495.99551,12.67607968,0,0,
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_upper_right,corner,start,ncc_pipeleg_right_03_upper_end,ncc_pipeleg_upper_01_straight_start,right_leg|upper_leg,patch(ncc_pipeleg_right_03_upper_end),576,4.519177216e-17,-13162.19165,4.79434577,0,0,
val_salt_test_2_coarse_mesh_laminar,7487.0,corner_upper_right,corner,end,ncc_pipeleg_upper_01_straight_start,ncc_pipeleg_right_03_upper_end,right_leg|upper_leg,patch(ncc_pipeleg_upper_01_straight_start),576,3.896667600e-17,-13495.97613,12.69211376,0,0,
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_upper_left,corner,start,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,upper_leg|left_upper_leg,patch(ncc_pipeleg_upper_09_straight_end),576,2.278727329e-17,-18182.34044,-24.01893134,0,0,
val_salt_test_2_coarse_mesh_laminar,7483.0,corner_upper_left,corner,end,ncc_pipeleg_left_01_upper_start,ncc_pipeleg_upper_09_straight_end,upper_leg|left_upper_leg,patch(ncc_pipeleg_left_01_upper_start),576,2.178628694e-17,-17851.59828,-21.57011133,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_upper_left,corner,start,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,upper_leg|left_upper_leg,patch(ncc_pipeleg_upper_09_straight_end),576,2.278727329e-17,-18182.32477,-24.0026753,0,0,
val_salt_test_2_coarse_mesh_laminar,7484.0,corner_upper_left,corner,end,ncc_pipeleg_left_01_upper_start,ncc_pipeleg_upper_09_straight_end,upper_leg|left_upper_leg,patch(ncc_pipeleg_left_01_upper_start),576,2.178628694e-17,-17851.58266,-21.55532557,0,0,
val_salt_test_2_coarse_mesh_laminar,7485.0,corner_upper_left,corner,start,ncc_pipeleg_upper_09_straight_end,ncc_pipeleg_left_01_upper_start,upper_leg|left_upper_leg,patch(ncc_pipeleg_upper_09_straight_end),576,2.278727329e-17,-18182.31054,-23.98892496,0,0,
