source_id,case_label,time_s,span_name,bin_index,selection_status,stored_bulk_temp_flow_weighted_k,stored_bulk_temp_area_weighted_k,exact_bulk_temp_flow_weighted_k,exact_bulk_temp_cp_weighted_k,exact_bulk_temp_area_weighted_k,delta_exact_minus_stored_flow_k,delta_exact_flow_minus_stored_flow_k,delta_exact_cp_minus_exact_flow_k
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,0,aligned_area_match,315.1346212123107,315.2580131128514,315.134619012497,315.13462695798927,315.2580131128514,5.745678549828881e-06,-2.1998137071932433e-06,7.945492257022124e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,1,aligned_area_match,315.9192620656721,316.0530760606228,315.9192255353519,315.91933740635835,316.0530760606228,7.534068623726853e-05,-3.6530320187466714e-05,0.00011187100642473524
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,2,aligned_area_match,315.9032311620337,315.8375510936889,315.9032081280442,315.9032802337991,315.8375510936889,4.907176537471969e-05,-2.303398952108182e-05,7.210575489580151e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,3,aligned_area_match,315.8900209908839,315.786713164253,315.890000274548,315.8900645752161,315.786713164253,4.3584332217960764e-05,-2.0716335882298154e-05,6.430066810025892e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,4,aligned_area_match,315.88105663272717,315.7696489379551,315.88103721830737,315.8810976158739,315.7696489379551,4.098314673228742e-05,-1.9414419796248694e-05,6.039756652853612e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,5,aligned_area_match,315.8731011108611,315.7839848163097,315.8730832213839,315.8731392557444,315.7839848163097,3.814488326270293e-05,-1.7889477192056802e-05,5.6034360454759735e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,6,aligned_area_match,315.85673842728096,315.7961170097494,315.85672281024137,315.8567717472231,315.7961170097494,3.331994213340295e-05,-1.5617039593962545e-05,4.893698172736549e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,7,aligned_area_match,315.90349768783034,315.8680851272725,315.9034842274091,315.9035263277298,315.8680851272725,2.8639899483096087e-05,-1.3460421257605049e-05,4.2100320740701136e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,8,aligned_area_match,315.98243899759836,315.96090531244914,315.9824266554837,315.98246501991116,315.96090531244914,2.602231279524858e-05,-1.2342114644070534e-05,3.8364427439319115e-05
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_lower_leg,9,aligned_area_match,315.95372838159597,315.94354230847557,315.9537171212508,315.9537523617411,315.94354230847557,2.3980145158475352e-05,-1.1260345161190344e-05,3.5240490319665696e-05
