case_key,job_id,partition,scheduler_state,dependency,latest_solver_time_s,advance_since_restart_s,advance_fraction_of_target,remaining_to_control_end_s,fatal_error_count,needs_special_gate_scrutiny,recommendation,overnight_submit_action
salt1_jin_lo10q_corrected,3275448,NuclearEnergy,RUNNING,,5585.279220779,1828.947970779,0.3048246617965,4171.052029221,0,True,hold_for_coordinator_review,do_not_submit_until_salt1_review
salt1_jin_hi10q_corrected,3275448,NuclearEnergy,RUNNING,,4010.590361446,254.259111446,0.0423765185743,5745.740888554,0,True,hold_for_coordinator_review,consider_targeted_rerun_only_after_salt1_review
salt2_jin_lo10q_corrected,3275448,NuclearEnergy,RUNNING,,9563.0,1648.0,0.2746666666667,4352.0,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275448
salt2_jin_lo5q_corrected,3275448,NuclearEnergy,RUNNING,,9563.541666667,1648.541666667,0.2747569444445,4351.458333333,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275448
salt2_jin_hi5q_corrected,3275449,NuclearEnergy,RUNNING,,9216.244318182,1301.244318182,0.2168740530303,4698.755681818,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275449
salt2_jin_hi10q_corrected,3275449,NuclearEnergy,RUNNING,,9137.538888889,1222.538888889,0.2037564814815,4777.461111111,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275449
salt3_jin_lo10q_corrected,3275449,NuclearEnergy,RUNNING,,8879.835227273,1261.835227273,0.2103058712122,4738.164772727,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275449
salt3_jin_lo5q_corrected,3275449,NuclearEnergy,RUNNING,,8855.26519337,1237.26519337,0.2062108655617,4762.73480663,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275449
salt3_jin_hi5q_corrected,3275450,NuclearEnergy,CANCELLED,,7639.476190476,21.476190476,0.0035793650793,5978.523809524,3,True,investigate,submit_targeted_replacement_if_salt3_highq_needed
salt3_jin_hi10q_corrected,3275450,NuclearEnergy,CANCELLED,,7637.875696673,19.875696673,0.0033126161122,5980.124303327,4,True,investigate,submit_targeted_replacement_if_salt3_highq_needed
salt4_jin_lo10q_corrected,3275560,NuclearEnergy,RUNNING,,11136.694300518,1136.694300518,0.1894490500863,4863.305699482,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275560
salt4_jin_lo5q_corrected,3275560,NuclearEnergy,RUNNING,,11172.444444444,1172.444444444,0.1954074074073,4827.555555556,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275560
salt4_jin_hi5q_corrected,3275560,NuclearEnergy,RUNNING,,10956.634615385,956.634615385,0.1594391025642,5043.365384615,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275560
salt4_jin_hi10q_corrected,3275560,NuclearEnergy,RUNNING,,11053.273584906,1053.273584906,0.1755455974843,4946.726415094,0,False,hold_running_wait_for_formal_gate,prepare_dependency_gated_continuation_after_3275560
FORMAL_GATE_1,3279638,NuclearEnergy,CANCELLED,afterany:3275448:3275449:3275560,,,,,,False,canceled_by_coordinator,canceled_to_prevent_gate_on_partial_runs
FORMAL_GATE_2,3279646,NuclearEnergy,CANCELLED,afterany:3275448:3275449:3275560,,,,,,False,canceled_by_coordinator,canceled_to_prevent_gate_on_partial_runs
