row_type,case_key,job_id,job_name,partition,job_state,job_elapsed,job_time_limit,dependency,pending_reason,latest_solver_time_s,advance_since_restart_s,fatal_error_count,warning_count,needs_special_gate_scrutiny,recommendation
gate_job,corrected_salt_operating_point_gate,3279646,saltq_gate_0707,NuclearEnergy,PENDING,,2:00:00,"afterany:3275448(unfulfilled),afterany:3275449(unfulfilled),afterany:3275560(unfulfilled)","Dependency (last observed before snapshot; live squeue unavailable: Command '['squeue', '-j', '3279646', '-o', '%i|%j|%T|%P|%M|%l|%E|%r']' timed out after 10 seconds)",,,,,,hold_pending_dependencies
solver_case,salt1_jin_lo10q_corrected,3275448,corr_saltq_g1,NuclearEnergy,RUNNING,3-01:30:03,5-00:00:00,,,5440.123376623,1683.7921266229996,0,0,True,hold_for_coordinator_review
solver_case,salt1_jin_hi10q_corrected,3275448,corr_saltq_g1,NuclearEnergy,RUNNING,3-01:30:03,5-00:00:00,,,4010.590361446,254.25911144599968,0,0,True,hold_for_coordinator_review
solver_case,salt2_jin_lo10q_corrected,3275448,corr_saltq_g1,NuclearEnergy,RUNNING,3-01:30:03,5-00:00:00,,,9430.902439024,1515.9024390239992,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt2_jin_lo5q_corrected,3275448,corr_saltq_g1,NuclearEnergy,RUNNING,3-01:30:03,5-00:00:00,,,9432.94047619,1517.9404761900005,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt2_jin_hi5q_corrected,3275449,corr_saltq_g2,NuclearEnergy,RUNNING,3-01:20:15,5-00:00:00,,,9110.3125,1195.3125,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt2_jin_hi10q_corrected,3275449,corr_saltq_g2,NuclearEnergy,RUNNING,3-01:20:15,5-00:00:00,,,9039.811111111,1124.8111111109993,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt3_jin_lo10q_corrected,3275449,corr_saltq_g2,NuclearEnergy,RUNNING,3-01:20:15,5-00:00:00,,,8777.988636364,1159.9886363639998,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt3_jin_lo5q_corrected,3275449,corr_saltq_g2,NuclearEnergy,RUNNING,3-01:20:15,5-00:00:00,,,8757.243093923,1139.2430939229998,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt3_jin_hi5q_corrected,3275450,corr_saltq_g3,NuclearEnergy,CANCELLED by 890970,01:41:54,,,,7639.476190476,21.47619047599983,3,1,True,investigate
solver_case,salt3_jin_hi10q_corrected,3275450,corr_saltq_g3,NuclearEnergy,CANCELLED by 890970,01:41:54,,,,7637.875696673,19.875696672999766,4,1,True,investigate
solver_case,salt4_jin_lo10q_corrected,3275560,corr_saltq_salt4_all,NuclearEnergy,RUNNING,2-23:35:00,5-00:00:00,,,11044.886010363,1044.8860103629995,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt4_jin_lo5q_corrected,3275560,corr_saltq_salt4_all,NuclearEnergy,RUNNING,2-23:35:00,5-00:00:00,,,11079.934343434,1079.9343434340008,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt4_jin_hi5q_corrected,3275560,corr_saltq_salt4_all,NuclearEnergy,RUNNING,2-23:35:00,5-00:00:00,,,10879.091346154,879.0913461540003,0,0,False,hold_running_wait_for_formal_gate
solver_case,salt4_jin_hi10q_corrected,3275560,corr_saltq_salt4_all,NuclearEnergy,RUNNING,2-23:35:00,5-00:00:00,,,10967.613207547,967.6132075469995,0,0,False,hold_running_wait_for_formal_gate
