case_id,cfd_mdot_kg_s,cfd_target_f_corrected_over_flam,closure_fit_admissible,fit_group,interpretation_caveat,model_form,needs_special_gate_scrutiny,pct_error_vs_cfd_target,pred_Re,pred_mdot_kg_s,predicted_f_over_flam,source_id,span
salt_2,,1.5512184718037778,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-35.53454795847122,,,1.0,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg
salt_2,,1.5512184718037778,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-18.485436790305155,,,1.2644689617189528,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg
salt_2,,1.5512184718037778,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,10.485962842889935,,,1.713878664369167,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg
salt_2,,1.5512184718037778,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,1.5512184718037778,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg
salt_2,,1.0368826444445471,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-3.5570702858378915,,,1.0,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg
salt_2,,1.0368826444445471,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,16.80728494486251,,,1.2111544650401678,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg
salt_2,,1.0368826444445471,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-16.077086165218663,,,0.8701821282649994,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg
salt_2,,1.0368826444445471,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,1.0368826444445471,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg
salt_2,,2.665588431030625,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-62.48483117803152,,,1.0,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg
salt_2,,2.665588431030625,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-59.243092115836966,,,1.0864114214060585,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg
salt_2,,2.665588431030625,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,6.784726666360963,,,2.8464413201261927,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg
salt_2,,2.665588431030625,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.665588431030625,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg
salt_2,,2.194077200921516,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-54.42275232703761,,,1.0,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg
salt_2,,2.194077200921516,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-50.96783015922992,,,1.075803659593452,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg
salt_2,,2.194077200921516,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,33.209141122869966,,,2.9227113949202574,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg
salt_2,,2.194077200921516,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.194077200921516,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg
salt_2,,1.4627570614045844,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-31.635947869582036,,,1.0,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span
salt_2,,1.4627570614045844,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-11.014025585384823,,,1.3016486244094603,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span
salt_2,,1.4627570614045844,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-21.45135020213207,,,1.148975921556271,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span
salt_2,,1.4627570614045844,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,1.4627570614045844,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span
salt_2,,2.2333782606997006,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-55.22478132805379,,,1.0,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg
salt_2,,2.2333782606997006,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-51.65709138063653,,,1.0796800116947856,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg
salt_2,,2.2333782606997006,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,6.279626008296529,,,2.3736260628222396,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg
salt_2,,2.2333782606997006,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.2333782606997006,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg
salt_3,,1.7872441542261426,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-44.04793560883184,,,1.0,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg
salt_3,,1.7872441542261426,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-23.91490884769141,,,1.3598263438572673,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg
salt_3,,1.7872441542261426,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,1.8757655799043416,,,1.820768664899969,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg
salt_3,,1.7872441542261426,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,1.7872441542261426,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg
salt_3,,0.9055847821600383,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,10.425883881877803,,,1.0,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg
salt_3,,0.9055847821600383,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,41.36815212737431,,,1.2802084724863543,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg
salt_3,,0.9055847821600383,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-0.2801878400937068,,,0.9030474437186868,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg
salt_3,,0.9055847821600383,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,0.9055847821600383,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg
salt_3,,2.7153993031738257,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-63.173003733514435,,,1.0,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg
salt_3,,2.7153993031738257,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-58.95146825306403,,,1.114631545019386,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg
salt_3,,2.7153993031738257,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,1.3114556600073157,,,2.751010561027098,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg
salt_3,,2.7153993031738257,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.7153993031738257,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg
salt_3,,2.7216709529237395,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-63.25786557975512,,,1.0,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg
salt_3,,2.7216709529237395,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-59.3983772401589,,,1.105042573070269,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg
salt_3,,2.7216709529237395,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-13.104497177891627,,,2.365009659706352,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg
salt_3,,2.7216709529237395,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.7216709529237395,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg
salt_3,,1.193009680361188,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-16.17838342290346,,,1.0,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span
salt_3,,1.193009680361188,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,17.284900206711974,,,1.399220213068033,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span
salt_3,,1.193009680361188,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,4.2671790684842215,,,1.2439175397265512,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span
salt_3,,1.193009680361188,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,1.193009680361188,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span
salt_3,,2.297502780755604,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-56.474481407542875,,,1.0,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg
salt_3,,2.297502780755604,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-51.836233958731725,,,1.106563864114762,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg
salt_3,,2.297502780755604,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,0.3654654099150621,,,2.3058993587111023,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg
salt_3,,2.297502780755604,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.297502780755604,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg
salt_4,,2.20917141717455,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-54.734159955818924,,,1.0,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg
salt_4,,2.20917141717455,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-32.03134242048576,,,1.501544155883872,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg
salt_4,,2.20917141717455,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-13.81308799787806,,,1.9040166252962596,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg
salt_4,,2.20917141717455,True,upcomer_lower,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.20917141717455,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg
salt_4,,0.8208669519429626,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,21.8224217253522,,,1.0,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg
salt_4,,0.8208669519429626,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,68.07323751788759,,,1.3796576618449397,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg
salt_4,,0.8208669519429626,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,28.005990668758454,,,1.0507588739070306,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg
salt_4,,0.8208669519429626,True,upcomer_upper,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,0.8208669519429626,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg
salt_4,,2.8787623579322377,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-65.26284994506175,,,1.0,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg
salt_4,,2.8787623579322377,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-59.850688545841614,,,1.1558032651112877,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg
salt_4,,2.8787623579322377,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-10.342540768913647,,,2.581025187422956,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg
salt_4,,2.8787623579322377,True,heater,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.8787623579322377,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg
salt_4,,3.2588818745476877,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-69.31462880535386,,,1.0,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg
salt_4,,3.2588818745476877,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-64.82691780782706,,,1.1462492002804845,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg
salt_4,,3.2588818745476877,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-24.274745130057802,,,2.4677966054115865,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg
salt_4,,3.2588818745476877,True,downcomer,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,3.2588818745476877,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg
salt_4,,1.0030682976897352,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-0.30589120369989287,,,1.0,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span
salt_4,,1.0030682976897352,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,53.74901117995538,,,1.542207589157579,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span
salt_4,,1.0030682976897352,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,39.13324455814764,,,1.3956014677099076,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span
salt_4,,1.0030682976897352,True,test_section,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,1.0030682976897352,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span
salt_4,,2.3804306565171482,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F1_laminar,False,-57.99079476387191,,,1.0,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg
salt_4,,2.3804306565171482,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F3_hagenbach,False,-51.858459634968256,,,1.1459759853687932,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg
salt_4,,2.3804306565171482,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F4_Ri_candidate,False,-8.835727232058252,,,2.1701022967589996,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg
salt_4,,2.3804306565171482,True,cooler,pressure-distribution comparison only; mdot remains thermal-driver-sensitive,F5_per_leg_CFD_multiplier,False,0.0,,,2.3804306565171482,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg
salt_2,0.01318354663,,diagnostic_only,loop,mdot diagnostic from existing 1D per-leg/global comparison; not a sole friction-validation metric because the thermal driver is suspect,default(mult=1),False,29.74989317928341,217.30441328188311,0.017105637669666017,,salt_2_1d_predictivity,loop_mdot
salt_2,0.01318354663,,diagnostic_only,loop,mdot diagnostic from existing 1D per-leg/global comparison; not a sole friction-validation metric because the thermal driver is suspect,global_mean_mult,False,-4.602639211157813,162.51671804354703,0.012576755543386345,,salt_2_1d_predictivity,loop_mdot
salt_2,0.01318354663,,diagnostic_only,loop,mdot diagnostic from existing 1D per-leg/global comparison; not a sole friction-validation metric because the thermal driver is suspect,per_leg_friction,False,-9.76356430954027,154.26827429098543,0.01189636257650172,,salt_2_1d_predictivity,loop_mdot
