Re,L_m,D_m,x_plus,L_over_D,f_D_fd,dp_fd_F1_Pa,dp_entry_F1_Pa,dp_total_F1_Pa,f_D_app_F1,dp_fd_F3h_Pa,dp_entry_F3h_Pa,dp_total_F3h_Pa,f_D_app_F3h,dp_fd_F3s_Pa,dp_entry_F3s_Pa,dp_total_F3s_Pa,f_D_app_F3s,pct_hag_vs_f1,pct_shah_vs_f1,pct_shah_vs_hag
60,0.1,0.022,0.07576,4.55,1.06667,1.06364,0.0,1.06364,1.06667,1.06364,0.29177,1.35541,1.35927,1.06364,0.8086,1.87223,1.87757,27.43,76.02,38.13
60,0.3,0.022,0.22727,13.64,1.06667,3.19091,0.0,3.19091,1.06667,3.19091,0.29177,3.48268,1.1642,3.19091,1.47448,4.66539,1.55956,9.14,46.21,33.96
60,0.5,0.022,0.37879,22.73,1.06667,5.31818,0.0,5.31818,1.06667,5.31818,0.29177,5.60995,1.12519,5.31818,1.93096,7.24914,1.45396,5.49,36.31,29.22
60,0.8,0.022,0.60606,36.36,1.06667,8.50909,0.0,8.50909,1.06667,8.50909,0.29177,8.80086,1.10324,8.50909,2.47476,10.98385,1.37689,3.43,29.08,24.8
80,0.1,0.022,0.05682,4.55,0.8,0.79773,0.0,0.79773,0.8,0.79773,0.29177,1.0895,1.0926,0.79773,0.68179,1.47952,1.48373,36.58,85.47,35.8
80,0.3,0.022,0.17045,13.64,0.8,2.39318,0.0,2.39318,0.8,2.39318,0.29177,2.68495,0.89753,2.39318,1.26516,3.65834,1.22292,12.19,52.87,36.25
80,0.5,0.022,0.28409,22.73,0.8,3.98864,0.0,3.98864,0.8,3.98864,0.29177,4.28041,0.85852,3.98864,1.65914,5.64777,1.13277,7.31,41.6,31.94
80,0.8,0.022,0.45455,36.36,0.8,6.38182,0.0,6.38182,0.8,6.38182,0.29177,6.67359,0.83657,6.38182,2.12582,8.50764,1.06648,4.57,33.31,27.48
100,0.1,0.022,0.04545,4.55,0.64,0.63818,0.0,0.63818,0.64,0.63818,0.29177,0.92995,0.9326,0.63818,0.59301,1.23119,1.23469,45.72,92.92,32.39
100,0.3,0.022,0.13636,13.64,0.64,1.91455,0.0,1.91455,0.64,1.91455,0.29177,2.20631,0.73753,1.91455,1.12198,3.03652,1.01506,15.24,58.6,37.63
100,0.5,0.022,0.22727,22.73,0.64,3.19091,0.0,3.19091,0.64,3.19091,0.29177,3.48268,0.69852,3.19091,1.47448,4.66539,0.93574,9.14,46.21,33.96
100,0.8,0.022,0.36364,36.36,0.64,5.10545,0.0,5.10545,0.64,5.10545,0.29177,5.39722,0.67658,5.10545,1.88985,6.9953,0.8769,5.71,37.02,29.61
120,0.1,0.022,0.03788,4.55,0.53333,0.53182,0.0,0.53182,0.53333,0.53182,0.29177,0.82359,0.82593,0.53182,0.5261,1.05792,1.06093,54.86,98.92,28.45
120,0.3,0.022,0.11364,13.64,0.53333,1.59545,0.0,1.59545,0.53333,1.59545,0.29177,1.88722,0.63087,1.59545,1.01574,2.61119,0.87288,18.29,63.66,38.36
120,0.5,0.022,0.18939,22.73,0.53333,2.65909,0.0,2.65909,0.53333,2.65909,0.29177,2.95086,0.59185,2.65909,1.33837,3.99746,0.80177,10.97,50.33,35.47
120,0.8,0.022,0.30303,36.36,0.53333,4.25455,0.0,4.25455,0.53333,4.25455,0.29177,4.54631,0.56991,4.25455,1.71662,5.97116,0.74852,6.86,40.35,31.34
