source_id,case_id,physical_segment,component_spans,inlet_interface,outlet_interface,bracket_status,T_bulk_inlet_K,T_bulk_outlet_K,delta_T_K,mdot_kg_s,cp_jkgk,enthalpy_change_W,segment_wallHeatFlux_sum_W,wallHeatFlux_vs_enthalpy_residual_W,residual_fraction,enthalpy_change_status,residual_assignment,max_interface_recirc_ratio,temperature_selection_rule,quality_flags,source_files
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,upper_leg,upper_leg:s00,upper_leg:s04,bracketed_upper_leg_but_partial_cooler_sink,447.875099,444.618679,-3.25642,0.013198,1423.47,-61.178223,-148.7186,-87.540377,-1.430907,computed_from_physical_interfaces_partial_cooler_bracket,segment_wall_flux_minus_physical_interface_enthalpy_change,0.258402,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,cooler_not_fully_bracketed_by_available_surfaces,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_upper_leg__s04.xy
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,right_leg,right_leg:s04,right_leg:s00,bracketed_full_span_interfaces,445.640889,450.264863,4.623974,0.013198,1423.47,86.870401,-23.1173,-109.987701,-1.266113,computed_from_physical_interfaces_high_recirculation_flag,segment_wall_flux_minus_physical_interface_enthalpy_change,0.76273,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s04.xy
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,,,,not_bracketed_by_available_secmean_surfaces,,,,0.013198,1423.47,,-39.1283,,,not_bracketed_by_physical_segment_interfaces,junction_loss_reported_as_wall_flux_not_segment_enthalpy,,,junction_grouped_mixed_bc;not_bracketed_by_available_interfaces,
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,lower_leg,lower_leg:s04,lower_leg:s00,bracketed_full_span_interfaces,444.371847,459.720826,15.348979,0.013198,1423.47,288.360609,236.851,-51.509609,-0.178629,computed_from_physical_segment_interfaces,segment_wall_flux_minus_physical_interface_enthalpy_change,0.286604,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_lower_leg__s04.xy
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,left_lower_leg+test_section_span+left_upper_leg,left_lower_leg:s00,left_upper_leg:s04,bracketed_composite_high_recirculation_diagnostic,455.873771,453.349329,7.275107,0.013198,1423.47,136.677123,-25.7603,-162.437423,-1.188476,computed_diagnostic_only_high_recirculation_interfaces,diagnostic_only_upcomer_recirculation_cell,0.980419,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_lower_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_upper_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s04.xy
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,upper_leg,upper_leg:s00,upper_leg:s04,bracketed_upper_leg_but_partial_cooler_sink,460.989741,457.096888,-3.892853,0.01499,1423.47,-83.064978,-164.3403,-81.275322,-0.978455,computed_from_physical_interfaces_partial_cooler_bracket,segment_wall_flux_minus_physical_interface_enthalpy_change,0.279976,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,cooler_not_fully_bracketed_by_available_surfaces,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_upper_leg__s04.xy
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,right_leg,right_leg:s04,right_leg:s00,bracketed_full_span_interfaces,458.006555,463.172082,5.165527,0.01499,1423.47,110.221061,-25.3479,-135.568961,-1.229973,computed_from_physical_interfaces_high_recirculation_flag,segment_wall_flux_minus_physical_interface_enthalpy_change,0.944414,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s04.xy
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,,,,not_bracketed_by_available_secmean_surfaces,,,,0.01499,1423.47,,-43.2347,,,not_bracketed_by_physical_segment_interfaces,junction_loss_reported_as_wall_flux_not_segment_enthalpy,,,junction_grouped_mixed_bc;not_bracketed_by_available_interfaces,
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,lower_leg,lower_leg:s04,lower_leg:s00,bracketed_full_span_interfaces,457.19808,472.987635,15.789555,0.01499,1423.47,336.914608,265.8281,-71.086508,-0.210993,computed_from_physical_segment_interfaces,segment_wall_flux_minus_physical_interface_enthalpy_change,0.297688,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_lower_leg__s04.xy
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,left_lower_leg+test_section_span+left_upper_leg,left_lower_leg:s00,left_upper_leg:s04,bracketed_composite_high_recirculation_diagnostic,468.836388,466.083432,-3.617146,0.01499,1423.47,-77.181993,-32.6189,44.563093,0.577377,computed_diagnostic_only_high_recirculation_interfaces,diagnostic_only_upcomer_recirculation_cell,0.991368,forward_bulk_when_recirc_gt_0p5_else_mixing_cup,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_lower_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_upper_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s04.xy
