case_key,label,job_id,job_state,q_ratio,advance_since_restart_s,advance_fraction_of_target,mdot_moved_pct,expected_move_pct,moved_enough,mdot_direction_ok,needs_special_gate_scrutiny,recommendation,closure_fit_admissible_without_coordinator_review,scrutiny_reason
salt1_jin_lo10q_corrected,Salt1 -10Q,3275448,RUNNING,0.9,1683.7921266229996,0.2806320211038333,nan,3.451061539437028,False,False,True,hold_for_coordinator_review,False,missing nominal mdot reference
salt1_jin_hi10q_corrected,Salt1 +10Q,3275448,RUNNING,1.1,254.25911144599968,0.042376518574333284,nan,3.228011545636722,False,False,True,hold_for_coordinator_review,False,missing nominal mdot reference; ended early after 254s past restart (4.24% of target extension)
salt2_jin_lo10q_corrected,Salt2 -10Q,3275448,RUNNING,0.9,1515.9024390239992,0.2526504065039999,-6.936832500000006,3.451061539437028,True,True,False,hold_running_wait_for_formal_gate,False,
salt2_jin_lo5q_corrected,Salt2 -5Q,3275448,RUNNING,0.95,1517.9404761900005,0.25299007936500006,-3.470440984848489,1.6952427508441503,True,True,False,hold_running_wait_for_formal_gate,False,
salt2_jin_hi5q_corrected,Salt2 +5Q,3275449,RUNNING,1.05,1195.3125,0.19921875,3.2664245454545506,1.6396356814853519,True,True,False,hold_running_wait_for_formal_gate,False,
salt2_jin_hi10q_corrected,Salt2 +10Q,3275449,RUNNING,1.1,1124.8111111109993,0.18746851851849988,6.393985681818182,3.228011545636722,True,True,False,hold_running_wait_for_formal_gate,False,
salt3_jin_lo10q_corrected,Salt3 -10Q,3275449,RUNNING,0.9,1159.9886363639998,0.19333143939399997,-6.041515543695801,3.451061539437028,True,True,False,hold_running_wait_for_formal_gate,False,
salt3_jin_lo5q_corrected,Salt3 -5Q,3275449,RUNNING,0.95,1139.2430939229998,0.18987384898716664,-2.9573928619079326,1.6952427508441503,True,True,False,hold_running_wait_for_formal_gate,False,
salt3_jin_hi5q_corrected,Salt3 +5Q,3275450,CANCELLED by 890970,1.05,21.47619047599983,0.003579365079333305,1.6283635090060036,1.6396356814853519,True,True,True,investigate,False,fatal/error markers=3; terminal/non-success scheduler state=CANCELLED by 890970; terminal short advance after 21.5s past restart (0.36% of target extension)
salt3_jin_hi10q_corrected,Salt3 +10Q,3275450,CANCELLED by 890970,1.1,19.875696672999766,0.0033126161121666275,2.8149202801867896,3.228011545636722,True,True,True,investigate,False,fatal/error markers=4; terminal/non-success scheduler state=CANCELLED by 890970; terminal short advance after 19.9s past restart (0.33% of target extension)
salt4_jin_lo10q_corrected,Salt4 -10Q,3275560,RUNNING,0.9,1044.8860103629995,0.17414766839383325,-6.488730841121498,3.451061539437028,True,True,False,hold_running_wait_for_formal_gate,False,
salt4_jin_lo5q_corrected,Salt4 -5Q,3275560,RUNNING,0.95,1079.9343434340008,0.17998905723900013,-3.409326401869153,1.6952427508441503,True,True,False,hold_running_wait_for_formal_gate,False,
salt4_jin_hi5q_corrected,Salt4 +5Q,3275560,RUNNING,1.05,879.0913461540003,0.14651522435900005,2.7014374415887765,1.6396356814853519,True,True,False,hold_running_wait_for_formal_gate,False,
salt4_jin_hi10q_corrected,Salt4 +10Q,3275560,RUNNING,1.1,967.6132075469995,0.16126886792449993,5.80236664719626,3.228011545636722,True,True,False,hold_running_wait_for_formal_gate,False,
