case,patch_group,heat_to_fluid_W,enthalpy_change_status
Salt 2,ambient_wall,-62.2338,computed_but_cooler_cut_planes_only_partially_bracket_sink;computed_diagnostic_only_high_recirculation;computed_from_span_endpoint_temperatures
Salt 2,cooler,-136.3507,computed_but_cooler_cut_planes_only_partially_bracket_sink
Salt 2,heater,243.5191,computed_from_span_endpoint_temperatures
Salt 2,junction_other,-39.1283,not_bracketed_by_endpoint_temperature_segment
Salt 2,test_section,-5.6798,computed_diagnostic_only_high_recirculation
Salt 3,ambient_wall,-68.3198,computed_but_cooler_cut_planes_only_partially_bracket_sink;computed_diagnostic_only_high_recirculation;computed_from_span_endpoint_temperatures
Salt 3,cooler,-150.7696,computed_but_cooler_cut_planes_only_partially_bracket_sink
Salt 3,heater,273.1554,computed_from_span_endpoint_temperatures
Salt 3,junction_other,-43.2347,not_bracketed_by_endpoint_temperature_segment
Salt 3,test_section,-10.545,computed_diagnostic_only_high_recirculation
Salt 4,ambient_wall,-75.9271,computed_but_cooler_cut_planes_only_partially_bracket_sink;computed_diagnostic_only_high_recirculation;computed_from_span_endpoint_temperatures
Salt 4,cooler,-169.2268,computed_but_cooler_cut_planes_only_partially_bracket_sink
Salt 4,heater,310.4871,computed_from_span_endpoint_temperatures
Salt 4,junction_other,-48.4852,not_bracketed_by_endpoint_temperature_segment
Salt 4,test_section,-16.7687,computed_diagnostic_only_high_recirculation
