observable_family,recirculation_flag,radiation_present,physical_interface_bracket_status,fit_use_status,row_count
pressure,no,no,not_applicable,fit_target,36
pressure,no,no,not_applicable,not_fit_apparent_or_residual,96
pressure,no,no,not_applicable,validation_only,108
pressure,yes,no,not_applicable,not_fit_recirculation,102
thermal,no,no,bracketed_full_span_interfaces,validation_only,42
thermal,no,no,bracketed_full_span_interfaces,validation_only_thermal_residual,12
thermal,no,no,bracketed_openfoam_physical_interface_plane,validation_only,306
thermal,no,no,bracketed_upper_leg_but_partial_cooler_sink,validation_only,42
thermal,no,no,bracketed_upper_leg_but_partial_cooler_sink,validation_only_thermal_residual,12
thermal,no,no,not_applicable,fit_feature,21
thermal,no,no,not_applicable,fit_target,9
thermal,no,no,not_applicable,not_fit_thermal_caveat,36
thermal,no,no,not_applicable,validation_only,15
thermal,no,no,not_bracketed_by_available_secmean_surfaces,not_fit_unbracketed_junction,6
thermal,yes,no,bracketed_composite_high_recirculation_diagnostic,not_fit_recirculation,54
thermal,yes,no,bracketed_full_span_interfaces,not_fit_recirculation,27
thermal,yes,no,bracketed_openfoam_physical_interface_plane,not_fit_recirculation,108
