mesh_level,case_name,case_id,fluid_variant,source_path,proc_dir,nprocs,cell_count,mesh_group_id,first_cell_size,bulk_cell_size,stored_time_dir_count,latest_solver_time_s,latest_postprocessing_time_s,foamrun_terminal_state,tail_signal15,tail_convergence_monitor,dir_mtime,log_mtime,initial_admission_priority
coarse,viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_1_jin_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,3229,3230,signal15,yes,no,2026-07-07 16:45:43,2026-05-28 15:04:13,inventory_only_currently_superseded_by_repo_continuation_context
coarse,viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_1_kirst_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,3279,3279.163522013,clean_end,no,yes,2026-07-07 16:45:43,2026-05-28 15:05:08,historical_kirst_inventory_only
coarse,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_2_jin_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,2431,2432,signal15,yes,no,2026-07-07 16:45:43,2026-05-28 15:46:56,high_for_gci_endpoint_but_reconcile_with_repo_mainline_continuation
coarse,viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_2_kirst_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,586,586.560240964,clean_end,no,yes,2026-07-07 16:45:43,2026-05-28 16:26:23,historical_kirst_inventory_only
coarse,viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_3_jin_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,2514,2515,signal15,yes,no,2026-07-07 16:45:43,2026-05-28 17:07:52,secondary_after_endpoint_gci
coarse,viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_3_kirst_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,3297,3298,signal15,yes,no,2026-07-07 16:45:43,2026-05-28 17:55:03,historical_kirst_inventory_only
coarse,viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_4_jin_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,2082,2083,signal15,yes,no,2026-07-07 16:45:43,2026-05-28 17:55:15,high_for_gci_endpoint_but_needs_continuation_or_quality_gate
coarse,viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_4_kirst_coarse_mesh,processors64,64,2166996,7ab7fb2650596980,0.225,1.125,5,2983,2984,signal15,yes,no,2026-07-07 16:45:43,2026-05-28 18:59:06,historical_kirst_inventory_only
medium,viscosity_screening_salt_test_1_jin_medium_mesh,salt_test_1_jin,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_1_jin_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,9,1520,1521,signal15,yes,no,2026-07-07 17:09:06,2026-07-07 16:56:53,secondary_after_salt2_4_jin
medium,viscosity_screening_salt_test_1_kirst_medium_mesh,salt_test_1_kirst,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_1_kirst_medium_mesh,processors64,64,6744264,d9a216dc1a1a0424,0.15,0.75,9,1194,1195,signal15,yes,no,2026-07-07 17:23:02,2026-07-07 17:12:20,historical_kirst_inventory_only
