case_id,quantity,units,coarse_value,medium_value,fine_value,r21,r32,coarse_source_status,coarse_gate_verdict,medium_gate_verdict,fine_gate_verdict,coarse_series_verdict,medium_series_verdict,fine_series_verdict,numeric_triplet_complete,gci_numeric_status,mesh_uq_status,target_gci_fine_pct,blocker,source_note
salt_test_2_jin,mdot_abs_mean_kg_s,kg/s,0.013156806406013957,0.012966873089522902,0.012871426714876236,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,derived_composite,derived_composite,derived_composite,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,2.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,wall_gross_duty_w,W,486.86950027088136,488.7977100971056,488.9969271955163,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,5.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,wall_heat_in_w,W,243.60873153021382,243.73575652,243.7486096349505,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,5.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,wall_heat_out_w,W,-243.26076874066763,-245.06195357710544,-245.24831756056582,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,5.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,wall_net_q_w,W,0.3479627895461946,-1.3261970571054644,-1.4997079256153363,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,drifting_or_oscillatory,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,yplus_global_max,dimensionless,161.17295220246712,124.58304299312977,297.21014617524753,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,yplus_patch_average_mean,dimensionless,0.6221579982647816,0.4776248029331752,0.38663733135545675,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,temperature_probe_mean_K,K,447.8241609430761,446.7359437519084,446.5938031650165,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,wall_temperature_probe_mean_K,K,448.34146543047467,447.40146010235947,447.3511133530603,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_2_jin,lower_leg_f_debuoyed,dimensionless,,,,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,missing_monitor,missing_monitor,missing_monitor,no,not_computed,blocked_requires_mesh_level_extraction,2.0,medium_fine_pressure_or_thermal_closure_qoi_not_extracted,full_history_monitor_reduction
salt_test_2_jin,test_section_span_f_debuoyed,dimensionless,,,,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,missing_monitor,missing_monitor,missing_monitor,no,not_computed,blocked_requires_mesh_level_extraction,2.0,medium_fine_pressure_or_thermal_closure_qoi_not_extracted,full_history_monitor_reduction
salt_test_2_jin,left_lower_leg_nu_or_htc,dimensionless,,,,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,admitted_for_gci_input,admitted_for_gci_input,missing_monitor,missing_monitor,missing_monitor,no,not_computed,blocked_requires_mesh_level_extraction,5.0,medium_fine_pressure_or_thermal_closure_qoi_not_extracted,full_history_monitor_reduction
salt_test_4_jin,mdot_abs_mean_kg_s,kg/s,0.017043059606727445,0.01647818591054983,0.01627235421604762,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,derived_composite,derived_composite,derived_composite,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,2.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,wall_gross_duty_w,W,620.9831980675413,621.5041234943706,622.9424914134698,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,5.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,wall_heat_in_w,W,310.6044070523992,310.6538496537931,310.73441536,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,5.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,wall_heat_out_w,W,-310.37879101514204,-310.8502738405775,-312.2080760534698,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,5.0,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,wall_net_q_w,W,0.22561603725719676,-0.19642418678434156,-1.4736606934698064,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,drifting_or_oscillatory,drifting_or_oscillatory,drifting_or_oscillatory,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,yplus_global_max,dimensionless,214.69681669539347,186.8468775337931,388.4635720409524,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,quasi_stationary,drifting_or_oscillatory,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,yplus_patch_average_mean,dimensionless,0.865054844907241,0.6576483542344851,0.5279671691851241,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,temperature_probe_mean_K,K,477.2795524894434,476.08164007846506,475.20588124444447,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,wall_temperature_probe_mean_K,K,476.25839154274996,475.825959431662,475.2974225640693,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,stationary,stationary,stationary,yes,screening_gci_only,blocked_coarse_superseded_by_mainline,,external_coarse_source_is_superseded_by_mainline_continuation,full_history_monitor_reduction
salt_test_4_jin,lower_leg_f_debuoyed,dimensionless,,,,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,missing_monitor,missing_monitor,missing_monitor,no,not_computed,blocked_requires_mesh_level_extraction,2.0,medium_fine_pressure_or_thermal_closure_qoi_not_extracted,full_history_monitor_reduction
salt_test_4_jin,test_section_span_f_debuoyed,dimensionless,,,,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,missing_monitor,missing_monitor,missing_monitor,no,not_computed,blocked_requires_mesh_level_extraction,2.0,medium_fine_pressure_or_thermal_closure_qoi_not_extracted,full_history_monitor_reduction
salt_test_4_jin,left_lower_leg_nu_or_htc,dimensionless,,,,1.5,1.5,superseded_by_mainline,partial_needs_coarse_reconciliation,partial_needs_continuation,partial_needs_continuation,missing_monitor,missing_monitor,missing_monitor,no,not_computed,blocked_requires_mesh_level_extraction,5.0,medium_fine_pressure_or_thermal_closure_qoi_not_extracted,full_history_monitor_reduction
