source_id,case_id,mesh_level,fluid_variant,source_path,source_exists,foamrun_terminal_state,tail_signal15,tail_convergence_monitor,tail_convergence_line,latest_solver_time_s,latest_postprocessing_time_s,stored_time_dir_count,postprocessing_family_count,missing_required_postprocessing,mdot_monitor_count,wallheatflux_present,yplus_present,gate_verdict,quality_flags
salt_test_1_jin_coarse_mesh_external_20260707,salt_test_1_jin,coarse,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_1_jin_coarse_mesh,yes,signal15,yes,no,,3229,3230,5,12,none,4,yes,yes,inventory_only,signal15_tail;no_tail_convergence_monitor
salt_test_1_kirst_coarse_mesh_external_20260707,salt_test_1_kirst,coarse,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_1_kirst_coarse_mesh,yes,clean_end,no,yes,*** convergenceMonitor: CONVERGED at iteration 515600 | dTmean=1.4720864e-05 dTsigma=9.62557193e-05 dUmean=4.14534837e-05 (tol=0.0001),3279,3279.16352201,5,12,none,4,yes,yes,historical_kirst_only,historical_kirst_policy
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_2_jin_coarse_mesh,yes,signal15,yes,no,,2431,2432,5,12,none,4,yes,yes,partial_needs_coarse_reconciliation,signal15_tail;no_tail_convergence_monitor;coarse_source_must_reconcile_with_repo_mainline_continuation
salt_test_2_kirst_coarse_mesh_external_20260707,salt_test_2_kirst,coarse,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_2_kirst_coarse_mesh,yes,clean_end,no,yes,*** convergenceMonitor: CONVERGED at iteration 93500 | dTmean=6.62772722e-08 dTsigma=9.93417884e-05 dUmean=1.87097192e-06 (tol=0.0001),586,586.560240964,5,12,none,4,yes,yes,historical_kirst_only,historical_kirst_policy
salt_test_3_jin_coarse_mesh_external_20260707,salt_test_3_jin,coarse,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_3_jin_coarse_mesh,yes,signal15,yes,no,,2514,2515,5,12,none,4,yes,yes,inventory_only,signal15_tail;no_tail_convergence_monitor
salt_test_3_kirst_coarse_mesh_external_20260707,salt_test_3_kirst,coarse,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_3_kirst_coarse_mesh,yes,signal15,yes,no,,3297,3298,5,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_4_jin_coarse_mesh,yes,signal15,yes,no,,2082,2083,5,12,none,4,yes,yes,partial_needs_coarse_reconciliation,signal15_tail;no_tail_convergence_monitor;coarse_source_must_reconcile_with_repo_mainline_continuation
salt_test_4_kirst_coarse_mesh_external_20260707,salt_test_4_kirst,coarse,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/coarse/viscosity_screening_salt_test_4_kirst_coarse_mesh,yes,signal15,yes,no,,2983,2984,5,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
salt_test_1_jin_medium_mesh_external_20260707,salt_test_1_jin,medium,jin,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_1_jin_medium_mesh,yes,signal15,yes,no,,1520,1521,9,12,none,4,yes,yes,inventory_only,signal15_tail;no_tail_convergence_monitor
salt_test_1_kirst_medium_mesh_external_20260707,salt_test_1_kirst,medium,kirst,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs/salt/medium/viscosity_screening_salt_test_1_kirst_medium_mesh,yes,signal15,yes,no,,1194,1195,9,12,none,4,yes,yes,historical_kirst_only,signal15_tail;no_tail_convergence_monitor
