slug,fluid,postprocessing,fingerprint,duplicate_of
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt1_jin/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing,c8ea4d88843280eed365da82caf28218,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing,f6c46b95dea9e7fb2975d202ba12088d,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing,767fd498c3b51c911e3878b4a9be4158,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt4_jin__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,668c8bae9fdb57f40ece180fadf39729,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water1__val_water_test_1_coarse_mesh_laminar_continuation,water1,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water1/case_stage/val_water_test_1_coarse_mesh_laminar_continuation/postProcessing,dc888907476f61fb52e6a27b661b3741,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water2__val_water_test_2_coarse_mesh_laminar_continuation,water2,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water2/case_stage/val_water_test_2_coarse_mesh_laminar_continuation/postProcessing,e95ccac5872f66036b7eab8e60918727,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water3__val_water_test_3_coarse_mesh_laminar_continuation,water3,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water3/case_stage/val_water_test_3_coarse_mesh_laminar_continuation/postProcessing,fc44530bcf3557dbe3234bce87a15d56,
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water4__val_water_test_4_coarse_mesh_laminar_continuation,water4,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/water4/case_stage/val_water_test_4_coarse_mesh_laminar_continuation/postProcessing,e27f686f2ac9513f6445b0ce95b6b592,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__failed_stage_preserved__2026-06-22_salt4_bracket_repair__salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/failed_stage_preserved/2026-06-22_salt4_bracket_repair/salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,d27c42f32b64df09a2725a517ac85067,
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__failed_stage_preserved__2026-06-22_salt4_bracket_repair__salt4_jin_loq_loins_job3246563_failed_missing_system_controlDict__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/failed_stage_preserved/2026-06-22_salt4_bracket_repair/salt4_jin_loq_loins_job3246563_failed_missing_system_controlDict/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/postProcessing,d27c42f32b64df09a2725a517ac85067,modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__failed_stage_preserved__2026-06-22_salt4_bracket_repair__salt4_jin_hiq_hiins_job3246562_failed_missing_system_controlDict__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
