case_slug,fluid,group,series,unit,n_window,t_start,t_end,verdict,rel_drift_over_window,drift_ratio,near_zero_mean,trend_resolved,osc_mean,osc_rmse_about_mean,osc_rmse_about_trend,osc_var_about_mean,osc_peak_to_peak,osc_cov,fit_slope,fit_r2,fit_slope_se,fit_t_stat,unc_tau_int,unc_n_eff,unc_sem_naive,unc_sem_corrected,unc_rel_sem_corrected
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),kg/s,302,3457.0,3756.33125,steady,0.0008545548509283626,7.5088291265423885,False,True,-0.011244798815430458,3.0590773997145493e-06,1.2797331266298803e-06,9.357954537444328e-12,1.117003000000033e-05,0.0002720437644039295,3.2030991251465346e-08,0.8249920034510927,8.51753307199951e-10,37.60594878905002,30.511145636183294,9.898022303097559,1.7603012363974412e-07,9.7233574473663e-07,8.646982135441687e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),K,302,3457.0,3756.33125,steady,0.0002774599520219819,10.046366070349164,False,True,431.90672935761586,0.03664652794424871,0.011928374853791312,0.0013429680103686015,0.11953399999998737,8.484824489480375e-05,-0.0003994560680184507,0.8940509933564926,7.939180849364643e-06,-50.314519293312024,34.59804378296192,8.728817209853993,0.0021087707181241602,0.012403810835834262,2.8718725578281023e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),K,302,3457.0,3756.33125,steady,0.00029819419815077373,10.692337590837493,False,True,424.60568247351085,0.03847820387313131,0.011841652953789061,0.0014805721733022574,0.12767500000001064,9.062102901915776e-05,-0.00042204983671816873,0.9052901660543674,7.881461264244499e-06,-53.54969371388842,34.23381599870348,8.821686720856288,0.0022141718237840675,0.012955046493462748,3.051077041172418e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),K,302,3457.0,3756.33125,steady,0.0003238302317453746,7.884283891351984,False,True,421.81280503311217,0.04312942743724966,0.017325065952643673,0.0018601475110649839,0.16983099999998785,0.00010224779077976074,-0.0004553191280234641,0.838637576601866,1.1531062153155776e-05,-39.48631288045344,26.404706775901637,11.437354808106466,0.0024818196639937477,0.012752957011937465,3.023368864047729e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),K,302,3457.0,3756.33125,steady,0.0002669049060760061,9.437795706835534,False,True,430.3152565165566,0.035369355530749005,0.012169499816619148,0.0012509913106605252,0.11551200000002382,8.219405423146588e-05,-0.00038284417707874665,0.881616503228549,8.099666641490638e-06,-47.266658496489576,33.04259575886123,9.139717781373482,0.002035277704224413,0.011699323603021854,2.718779644888495e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),K,302,3457.0,3756.33125,steady,0.0002664390777440798,9.716741423765358,False,True,431.42829100993447,0.03528017406198873,0.011830031381533575,0.0012446906818442223,0.11521099999998796,8.177529104408301e-05,-0.0003831645198979714,0.8875627137493229,7.873726282319368e-06,-48.66368300843478,34.369695248755676,8.786810526373046,0.0020301458873656078,0.011901866876483532,2.7587126585097936e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),K,302,3457.0,3756.33125,steady,0.00025658464152024163,9.555937689661054,False,True,433.3581042516565,0.03419233826114405,0.01163601495116559,0.001169115995764495,0.11185899999998128,7.890088572403419e-05,-0.000370643446097676,0.884188699466718,7.7445945651056e-06,-47.85834080555541,32.01502504278576,9.433070865832493,0.0019675479712290963,0.0111327447753397,2.56894809768569e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),K,302,3457.0,3756.33125,steady,0.0002781563400064626,9.887870593042068,False,True,429.82471676535266,0.036623943324275876,0.012091427465069804,0.0013413132246197716,0.11996349999975564,8.520669448674215e-05,-0.00039852823353254973,0.8910003901702459,8.047703945324327e-06,-49.52073737306061,34.37671089547048,8.785017301925528,0.002107471119282187,0.012356452177197469,2.8747653858033087e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,W,302,3457.0,3756.33125,quasi-steady (bounded drift/oscillation),0.016977990654682733,9.959618987725445,False,True,-9.132436622516586,0.04745889854225714,0.015567907148120634,0.002252347050844257,0.15509999999999913,0.005196739983417383,0.0005168347454385632,0.8923968076404296,1.0361548141301278e-05,49.8800698882489,34.38692644548916,8.78240747915451,0.0027309527307086607,0.01601440704502133,0.001753574397169844
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,mdot,lower (heater),kg/s,301,7615.0,7915.0,steady,7.48129642729319e-05,0.6808129520150257,False,False,-0.013199343369335544,1.4783753264888627e-06,1.4504453844386714e-06,2.1855936059710516e-12,5.0564100000007745e-06,0.00011200370239048371,-3.291606679720869e-09,0.03742772330049082,9.65366692219104e-10,-3.4096957210678145,4.8704253336591385,61.80158392323806,8.521213719585504e-08,1.8805500774743145e-07,1.4247300224367007e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 0 (0.887519 0.70409 0),K,301,7615.0,7915.0,steady,2.4630154376470056e-05,0.5988271333141482,False,False,450.8767079966778,0.018821722803867333,0.018544855944072514,0.0003542572493056196,0.08244500000000698,4.1744721938499466e-05,3.701720974237595e-05,0.02920354442850892,1.2342819958944851e-05,2.9990885280271424,2.387829565588812,126.05589793247105,0.0010848660668834416,0.0016764005239395707,3.718090764519872e-06
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 1 (0.887519 -0.245426 0),K,301,7615.0,7915.0,steady,2.4629109556051857e-05,0.30174039473863273,False,False,445.510906714286,0.03650277102617554,0.036364163105793476,0.0013324522925894002,0.17542299999996658,8.193462937953482e-05,3.657512309960716e-05,0.00757995934325062,2.4202739537374254e-05,1.5111976494696924,1.9322409088521644,155.7776769040705,0.0021039847439139362,0.002924645436008002,6.564699970148269e-06
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 2 (-0 0 0),K,301,7615.0,7915.0,steady,2.418303674329121e-05,22.273296083375897,False,True,441.6814575813955,0.003130604787642077,0.0004795517860283563,9.800686336407494e-06,0.011824000000046908,7.087924416806997e-06,3.5603996391737684e-05,0.9765353254262717,3.1917321837327847e-07,111.55070144418636,4.665344604720572,64.51827796288335,0.00018044506012158945,0.0003897506619350314,8.824247775065495e-07
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 3 (-0 0.323501 0),K,301,7615.0,7915.0,steady,2.2536682392720553e-05,38.17654115674215,False,True,449.6749669534878,0.002947200954511383,0.00026545573808218413,8.685993466272808e-06,0.010354000000006636,6.554069430367529e-06,3.378060636729288e-05,0.9918873127001102,1.7667823314984967e-07,191.19846154812888,4.9965624663236525,60.241416379503086,0.00016987383892291363,0.00037971885445192607,8.444296043973521e-07
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 4 (-0 0.574779 0),K,301,7615.0,7915.0,steady,2.22883080606072e-05,83.66826756360216,False,True,450.4687004119599,0.0029104718029906917,0.0001199999170391676,8.470846116003887e-06,0.010172000000011394,6.460985636358363e-06,3.3467283888143784e-05,0.9983000541041347,7.9867828338466e-08,419.0333527827405,5.20353794333104,57.84525899071568,0.00016775680582422026,0.0003826744892291524,8.495029485493471e-07
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 5 (-0 0.949515 0),K,301,7615.0,7915.0,steady,2.2139042085541797e-05,38.30049006775903,False,True,452.33891857807316,0.002912275460333937,0.0002614679430370633,8.481348356863245e-06,0.010620000000017171,6.4382597665676686e-06,3.3381167851094756e-05,0.9919393140855121,1.7402409356399696e-07,191.8192312768399,4.395569482168963,68.47804390785643,0.00016786076690516712,0.0003519303955885446,7.780236922678185e-07
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,wall_temperature,wall T (spatial mean),K,301,7615.0,7915.0,steady,2.1384624860782045e-05,9.981563781264974,False,True,448.93545971337954,0.0029422403316052147,0.0009618048437152493,8.656778168924363e-06,0.012481727272870557,6.553815850241976e-06,3.2001054642244506e-05,0.8931393944325758,6.401443104988292e-07,49.990375790902284,4.556146234217238,66.06460471778797,0.00016958791337201766,0.00036198762508353385,8.063244220330533e-07
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,heat,total_Q,W,301,7615.0,7915.0,not steady (drifting),0.06896345937739687,1.0691282669540916,False,False,0.14139438870431895,0.009547825617298642,0.009120557825472659,9.116097401834418e-05,0.036902000000000004,0.06752619891631527,-3.2503487272007205e-05,0.08749795684443384,6.07033041962973e-06,-5.3544840272450624,4.547507045916402,66.19011184826944,0.0005503275195721959,0.0011735670864995423,0.008299955162673971
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,mdot,lower (heater),kg/s,301,7318.0,7618.0,steady,0.00028058526855838904,0.9618821661655093,False,False,-0.014981961293455155,4.5367366366126035e-06,4.370304160865561e-06,2.0581979309983036e-11,2.1861710000001255e-05,0.00030281326641755976,-1.4012392110185015e-08,0.07202518422439419,2.908724531809189e-09,-4.817366497565683,10.729731720934225,28.052891519434212,2.614931524991245e-07,8.565540097978569e-07,5.7172355008822585e-05
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 0 (0.887519 0.70409 0),K,301,7318.0,7618.0,steady,3.301150624853704e-05,0.5969764847128076,False,False,463.77197750498345,0.026026117737430417,0.02564558558896563,0.0006773588044825902,0.14056600000003527,5.611834910217436e-05,5.103270511100714e-05,0.02902855052817699,1.7068822029188567e-05,2.9898199784225636,7.045281205326877,42.72363177958269,0.0015001204873897117,0.003981762099484342,8.5856030390313e-06
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 1 (0.887519 -0.245426 0),K,301,7318.0,7618.0,steady,3.8588021509647054e-05,0.3803714984352926,False,False,459.6434260963457,0.046912146237820584,0.046630019562285796,0.002200749464638664,0.2972400000000448,0.00010206204108309676,5.9122434709912185e-05,0.011991705863638957,3.103534143781427e-05,1.905003520853032,1.9192909913673608,156.82874632030578,0.0027039711565419564,0.003746040488478561,8.149883748567644e-06
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 2 (-0 0 0),K,301,7318.0,7618.0,steady,5.203270736485263e-05,4.260249646478028,False,True,456.2742559202657,0.00885091418670836,0.005572721508478273,7.833868194047532e-05,0.04295799999999872,1.9398232689803704e-05,7.913728278805022e-05,0.6035773867799654,3.7090122709997113e-06,21.336484488556273,16.538924813715795,18.19949019602408,0.0005101582125141171,0.002074715343416944,4.547079561244197e-06
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 3 (-0 0.323501 0),K,301,7318.0,7618.0,steady,4.2819683947501774e-05,17.953773881138446,False,True,463.4707694418602,0.00585333692551222,0.0011053760617568559,3.426155316356484e-05,0.021018000000026404,1.262935509948376e-05,6.615223955468639e-05,0.9643373949782151,7.357003882013563e-07,89.91736393726214,10.392497004008504,28.96320296112675,0.0003373807315459611,0.0010876276243209954,2.3467016606695236e-06
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 4 (-0 0.574779 0),K,301,7318.0,7618.0,steady,4.193292942071698e-05,22.445731300104654,False,True,463.9731995282392,0.005701358362656418,0.0008667908908288134,3.250548717943227e-05,0.01906700000000683,1.22881200217027e-05,6.485251809640631e-05,0.9768861655794777,5.769062827890593e-07,112.41430372863361,13.78106875645625,21.84155708961146,0.0003286208328133066,0.0012199345793987623,2.6293212207928667e-06
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 5 (-0 0.949515 0),K,301,7318.0,7618.0,steady,4.18633676367266e-05,5.440040251860598,False,True,465.49954596677713,0.00668503663238453,0.003582212212652553,4.4689714776323096e-05,0.028220000000032996,1.4360994957579709e-05,6.495792875845501e-05,0.7128591130933843,2.38419756555921e-06,27.24519548916628,4.560896906003753,65.99579122338362,0.0003853191056908232,0.0008228973645619871,1.767772647023629e-06
