source_id,case_id,one_d_segment,fluid_parent_segment,role,patch_count,area_m2,realized_wallHeatFlux_W,realized_source_W,realized_loss_W,imposed_Q_W,imposed_source_W,imposed_loss_W,bc_types,wall_layer_metadata_statuses,radiation_metadata_statuses
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooled_incline_hx_active,ambient_wall,6,0.03257168,-12.367946808,0.0,12.367946808,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooled_incline_hx_active,cooler,3,0.029778515,-136.35074,0.0,136.35074,-136.350739906,0.0,136.350739906,externalTemperature,no_wall_layer_metadata,no_emissivity_metadata
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,right_vertical,ambient_wall,3,0.063435,-23.117313813,0.0,23.117313813,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,top_horizontal_exit,junction_other,29,0.042478796,-39.128349537,0.0,39.128349537,0.0,0.0,-0.0,externalTemperature;rcExternalTemperature;zeroGradient,h_and_layers_present;h_only;no_wall_layer_metadata,emissivity_and_Tsur_metadata_present;no_emissivity_metadata
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,heated_incline,ambient_wall,6,0.016563776,-6.668141359,0.0,6.668141359,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,heated_incline,heater,3,0.045786417,243.51909758,243.51909758,0.0,265.7,265.7,0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,left_upper_vertical,ambient_wall,6,0.050313118,-20.080505149,0.0,20.080505149,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,left_upper_vertical,test_section,1,0.012258449,-5.679836082,0.0,5.679836082,37.0,37.0,0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooled_incline_hx_active,ambient_wall,6,0.032571682,-13.570709177,0.0,13.570709177,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooled_incline_hx_active,cooler,3,0.029778515,-150.76963867,0.0,150.76963867,-150.769638673,0.0,150.769638673,externalTemperature,no_wall_layer_metadata,no_emissivity_metadata
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,right_vertical,ambient_wall,3,0.063435,-25.347860491,0.0,25.347860491,0.0,0.0,-0.0,rcExternalTemperature,h_and_layers_present,emissivity_and_Tsur_metadata_present
