source_id,case_id,one_d_segment,component_parent_spans,area_m2,external_h_W_m2K,external_hA_W_per_K,area_weighted_Ta_K,area_weighted_Tsur_K,area_weighted_emissivity,radiation_parity_mode,realized_wallHeatFlux_W_positive_to_fluid,imposed_Q_W_positive_to_fluid,imposed_minus_realized_W,abs_imposed_minus_realized_W,enthalpy_change_W,wallHeatFlux_vs_enthalpy_residual_W,abs_enthalpy_residual_W,residual_fraction,bracket_status,max_interface_recirc_ratio,interface_quality_flags,T_bulk_inlet_K,T_bulk_outlet_K,delta_T_K,mdot_kg_s,cp_jkgk,effective_htc_W_m2K,Nu_eff,uaprime_W_mK,T_wall_K,T_bulk_for_htc_K,internal_delta_T_K,segment_htc_mesh,segment_htc_mesh_independence,thermal_effective_status,fit_use_status
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,upper_leg,0.0623502,4.0452,0.252219,299.19,299.19,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-148.719,-136.351,12.3679,12.3679,-61.1782,-87.5404,87.5404,-1.43091,bracketed_upper_leg_but_partial_cooler_sink,0.258402,cooler_not_fully_bracketed_by_available_surfaces,447.875,444.619,-3.25642,0.013198,1423.47,,,,,,,,,not_available_for_segment,validation_only_effective_thermal_not_fit_safe
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,right_leg,0.063435,3.42389,0.217194,299.19,299.19,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-23.1173,0,23.1173,23.1173,86.8704,-109.988,109.988,-1.26611,bracketed_full_span_interfaces,0.76273,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature,445.641,450.265,4.62397,0.013198,1423.47,43.1876,1.7389,3.74509,443.125,451.563,-8.43819,coarse,UNESTABLISHED,validation_only_mesh_unestablished,diagnostic_only_high_recirculation
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,junction,0.0424788,9.62192,0.408728,299.19,299.19,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-39.1283,0,39.1283,39.1283,,,,,not_bracketed_by_available_secmean_surfaces,,junction_grouped_mixed_bc;not_bracketed_by_available_interfaces,,,,0.013198,1423.47,,,,,,,,,not_available_for_segment,blocked_junction_not_control_volume_bracketed
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,lower_leg,0.0623502,3.98866,0.248694,299.19,299.19,0.95,inseparable_rcExternalTemperature_wall_heat_flux,236.851,265.7,28.849,28.849,288.361,-51.5096,51.5096,-0.178629,bracketed_full_span_interfaces,0.286604,,444.372,459.721,15.349,0.013198,1423.47,252.182,,22.075,459.616,444.553,15.0634,coarse,UNESTABLISHED,validation_only_mesh_unestablished,validation_only_effective_thermal_not_fit_safe
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,left_lower_leg+left_upper_leg+test_section_span,0.0625716,4.44411,0.278075,299.19,299.19,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-25.7603,37,62.7603,62.7603,136.677,-162.437,162.437,-1.18848,bracketed_composite_high_recirculation_diagnostic,0.980419,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,455.874,453.349,7.27511,0.013198,1423.47,77.3204,3.10718,6.6359,451.414,456.738,-5.32452,coarse,UNESTABLISHED,validation_only_mesh_unestablished,diagnostic_only_high_recirculation
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,upper_leg,0.0623502,4.11722,0.256709,299.79,299.79,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-164.34,-150.77,13.5707,13.5707,-83.065,-81.2753,81.2753,-0.978455,bracketed_upper_leg_but_partial_cooler_sink,0.279976,cooler_not_fully_bracketed_by_available_surfaces,460.99,457.097,-3.89285,0.01499,1423.47,,,,,,,,,not_available_for_segment,validation_only_effective_thermal_not_fit_safe
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,right_leg,0.063435,3.49033,0.221409,299.79,299.79,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-25.3479,0,25.3479,25.3479,110.221,-135.569,135.569,-1.22997,bracketed_full_span_interfaces,0.944414,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature,458.007,463.172,5.16553,0.01499,1423.47,43.8701,1.75732,3.80427,455.397,464.506,-9.10843,coarse,UNESTABLISHED,validation_only_mesh_unestablished,diagnostic_only_high_recirculation
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,junction,0.0424788,9.80371,0.41645,299.79,299.79,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-43.2347,0,43.2347,43.2347,,,,,not_bracketed_by_available_secmean_surfaces,,junction_grouped_mixed_bc;not_bracketed_by_available_interfaces,,,,0.01499,1423.47,,,,,,,,,not_available_for_segment,blocked_junction_not_control_volume_bracketed
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,lower_leg,0.0623502,4.06817,0.253651,299.79,299.79,0.95,inseparable_rcExternalTemperature_wall_heat_flux,265.828,297.5,31.6719,31.6719,336.915,-71.0865,71.0865,-0.210993,bracketed_full_span_interfaces,0.297688,,457.198,472.988,15.7896,0.01499,1423.47,269.041,,23.5508,473.129,457.282,15.8469,coarse,UNESTABLISHED,validation_only_mesh_unestablished,validation_only_effective_thermal_not_fit_safe
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,left_lower_leg+left_upper_leg+test_section_span,0.0625716,4.51898,0.28276,299.79,299.79,0.95,inseparable_rcExternalTemperature_wall_heat_flux,-32.6189,37,69.6189,69.6189,-77.182,44.5631,44.5631,0.577377,bracketed_composite_high_recirculation_diagnostic,0.991368,high_recirculation_forward_bulk_used;high_recirculation_interface_temperature;recirculation_cell_diagnostic_only,468.836,466.083,-3.61715,0.01499,1423.47,101.575,4.05967,8.71748,464.391,469.523,-5.13224,coarse,UNESTABLISHED,validation_only_mesh_unestablished,diagnostic_only_high_recirculation
