case_id,slurm_job_or_step,source_case_path,stop_state,decision,window_start_s,window_end_s,quantity,mean,latest,drift,span,relative_drift,relative_span,notes
salt1_nominal,3282992.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said normal Salt1 is done,steady_runtime_stop_not_yet_closure_admission,7284,7884,total_Q_W,-8.886890000000028,-8.88689,0,0,0,0,"Final 600 s monitor was flat; stop was operational. Any publication/closure use still needs explicit post-run admission context."
salt1_nominal,3282992.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said normal Salt1 is done,steady_runtime_stop_not_yet_closure_admission,7284,7884,mdot_pipeleg_left_04_test_section_kg_s,-0.011229506139733858,-0.01122950625,-1.000000082740371e-11,7.400000005125529e-10,8.905111857074698e-10,6.58978223355859e-08,"Final-window mdot drift is negligible."
salt1_nominal,3282992.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said normal Salt1 is done,steady_runtime_stop_not_yet_closure_admission,7284,7884,mdot_pipeleg_upper_05_cooler_kg_s,-0.011229506152745506,-0.01122950583,2.6000000069581475e-10,8.899999990458207e-10,2.3153288947817822e-08,7.925548879353206e-08,"Final-window mdot drift is negligible."
salt1_nominal,3282992.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said normal Salt1 is done,steady_runtime_stop_not_yet_closure_admission,7284,7884,mdot_pipeleg_lower_05_straight_kg_s,-0.01122950611211323,-0.01122950651,-4.900000006441418e-10,1.6299999995583736e-09,4.363504465397463e-08,1.4515331157797742e-07,"Final-window mdot drift is negligible."
salt1_nominal,3282992.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said normal Salt1 is done,steady_runtime_stop_not_yet_closure_admission,7284,7884,mdot_pipeleg_right_02_middle_kg_s,-0.011229506199983448,-0.01122950573,8.999999998732244e-10,2.150000000950003e-09,8.014599964106622e-08,1.914598881430042e-07,"Final-window mdot drift is negligible."
salt1_nominal,3282992.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said normal Salt1 is done,steady_runtime_stop_not_yet_closure_admission,7284,7884,temperature_probes_max_abs_drift_K,,,0,0,,,"Six monitored fluid probes had zero drift/span in written final-window values."
salt1_nominal,3282992.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said normal Salt1 is done,steady_runtime_stop_not_yet_closure_admission,7284,7884,wall_temperature_probes_max_abs_drift_K,,,0,0,,,"Forty-four monitored wall probes had zero drift/span in written final-window values."
salt1_lo10q,3288671.0,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said Salt1 -10Q can stop,steady_runtime_stop_not_closure_fit_priority,7416,8016,total_Q_W,-8.797899999999924,-8.7979,0,0,0,0,"Final 600 s monitor was flat; Salt1 corrected-Q still has Salt1-reference/admission-policy caveats."
salt1_lo10q,3288671.0,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said Salt1 -10Q can stop,steady_runtime_stop_not_closure_fit_priority,7416,8016,mdot_pipeleg_left_04_test_section_kg_s,-0.010410814405657285,-0.01041081099,1.4100000004374502e-09,1.1370000000537894e-08,1.3543609034767249e-07,1.0921335793249166e-06,"Final-window mdot drift is negligible."
salt1_lo10q,3288671.0,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,CANCELLED by user after user said Salt1 -10Q can stop,steady_runtime_stop_not_closure_fit_priority,7416,8016,mdot_pipeleg_upper_05_cooler_kg_s,-0.010410814438485898,-0.01041080996,3.479999999972394e-09,1.1280000000030155e-08,3.3426779629341945e-07,1.0834887190315407e-06,"Final-window mdot drift is negligible."
