case_id,source_id,path_id,role_or_lane,role_group,model_W,cfd_imposed_W,cfd_realized_W,model_minus_cfd_realized_W,evidence_class,source_paths,interpretation
salt_2,,N0_current_fluid_rad_off,cooler_sink,one_d_radiation_off_sensitivity_lane,-53.755454,-136.35074,-136.35074,82.595286,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_2,,N0_current_fluid_rad_off,external_passive_loss,one_d_radiation_off_sensitivity_lane,-177.637369,0.0,-101.362257,-76.275112,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_2,,N0_current_fluid_rad_off,heater_source,one_d_radiation_off_sensitivity_lane,265.7,265.7,243.519098,22.180902,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Heater setup versus heat actually transferred to the fluid.
salt_2,,N0_current_fluid_rad_off,test_section,one_d_radiation_off_sensitivity_lane,37.0,37.0,-5.679836,42.679836,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_2,,N1_heater_cooler_imposed_rad_off,cooler_sink,one_d_radiation_off_sensitivity_lane,-136.35074,-136.35074,-136.35074,0.0,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_2,,N1_heater_cooler_imposed_rad_off,external_passive_loss,one_d_radiation_off_sensitivity_lane,-92.712741,0.0,-101.362257,8.649516,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_2,,N1_heater_cooler_imposed_rad_off,heater_source,one_d_radiation_off_sensitivity_lane,265.7,265.7,243.519098,22.180902,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Heater setup versus heat actually transferred to the fluid.
salt_2,,N1_heater_cooler_imposed_rad_off,test_section,one_d_radiation_off_sensitivity_lane,0.0,37.0,-5.679836,5.679836,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_2,,N2_cfd_setup_bc_plus_passive_conv_rad_off,cooler_sink,one_d_radiation_off_sensitivity_lane,-136.35074,-136.35074,-136.35074,0.0,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_2,,N2_cfd_setup_bc_plus_passive_conv_rad_off,external_passive_loss,one_d_radiation_off_sensitivity_lane,-166.34508,0.0,-101.362257,-64.982823,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_2,,N2_cfd_setup_bc_plus_passive_conv_rad_off,heater_source,one_d_radiation_off_sensitivity_lane,265.7,265.7,243.519098,22.180902,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Heater setup versus heat actually transferred to the fluid.
salt_2,,N2_cfd_setup_bc_plus_passive_conv_rad_off,test_section,one_d_radiation_off_sensitivity_lane,37.0,37.0,-5.679836,42.679836,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_2,,N3_realized_wallflux_diagnostic_rad_off,cooler_sink,one_d_radiation_off_sensitivity_lane,-0.0,-136.35074,-136.35074,136.35074,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_2,,N3_realized_wallflux_diagnostic_rad_off,external_passive_loss,one_d_radiation_off_sensitivity_lane,-243.392833,0.0,-101.362257,-142.030576,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_2,,N3_realized_wallflux_diagnostic_rad_off,heater_source,one_d_radiation_off_sensitivity_lane,243.519098,265.7,243.519098,0.0,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Heater setup versus heat actually transferred to the fluid.
salt_2,,N3_realized_wallflux_diagnostic_rad_off,test_section,one_d_radiation_off_sensitivity_lane,0.0,37.0,-5.679836,5.679836,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cfd_role_summary,ambient_wall,passive_ambient_wall_exchange,,0.0,-62.233907129,,cfd_heat_path_accounting,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,"CFD role-level imposed and realized heat accounting; positive heats fluid, negative removes heat."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cfd_role_summary,cooler,intended_cooler_removal,,-136.350739906,-136.35074,,cfd_heat_path_accounting,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,"CFD role-level imposed and realized heat accounting; positive heats fluid, negative removes heat."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cfd_role_summary,heater,intended_heater_input,,265.7,243.51909758,,cfd_heat_path_accounting,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,"CFD role-level imposed and realized heat accounting; positive heats fluid, negative removes heat."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cfd_role_summary,junction_other,junction_or_stub_diagnostic,,0.0,-39.128349537,,cfd_heat_path_accounting,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,"CFD role-level imposed and realized heat accounting; positive heats fluid, negative removes heat."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cfd_role_summary,test_section,intended_test_section_exchange,,37.0,-5.679836082,,cfd_heat_path_accounting,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,"CFD role-level imposed and realized heat accounting; positive heats fluid, negative removes heat."
salt_3,,N0_current_fluid_rad_off,cooler_sink,one_d_radiation_off_sensitivity_lane,-53.865976,-150.769639,-150.769639,96.903663,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_3,,N0_current_fluid_rad_off,external_passive_loss,one_d_radiation_off_sensitivity_lane,-178.986459,0.0,-111.55439,-67.432069,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_3,,N0_current_fluid_rad_off,heater_source,one_d_radiation_off_sensitivity_lane,297.5,297.5,273.155375,24.344625,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Heater setup versus heat actually transferred to the fluid.
salt_3,,N0_current_fluid_rad_off,test_section,one_d_radiation_off_sensitivity_lane,37.0,37.0,-10.54504,47.54504,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_3,,N1_heater_cooler_imposed_rad_off,cooler_sink,one_d_radiation_off_sensitivity_lane,-150.769639,-150.769639,-150.769639,-0.0,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_3,,N1_heater_cooler_imposed_rad_off,external_passive_loss,one_d_radiation_off_sensitivity_lane,-105.123113,0.0,-111.55439,6.431277,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_3,,N1_heater_cooler_imposed_rad_off,heater_source,one_d_radiation_off_sensitivity_lane,297.5,297.5,273.155375,24.344625,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Heater setup versus heat actually transferred to the fluid.
salt_3,,N1_heater_cooler_imposed_rad_off,test_section,one_d_radiation_off_sensitivity_lane,0.0,37.0,-10.54504,10.54504,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
salt_3,,N2_cfd_setup_bc_plus_passive_conv_rad_off,cooler_sink,one_d_radiation_off_sensitivity_lane,-150.769639,-150.769639,-150.769639,-0.0,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Cooling-jacket duty parity; negative means heat removed from fluid.
salt_3,,N2_cfd_setup_bc_plus_passive_conv_rad_off,external_passive_loss,one_d_radiation_off_sensitivity_lane,-183.726184,0.0,-111.55439,-72.171794,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Ambient/junction passive external heat-loss lane with radiation disabled in the 1D pass; heater/test/cooler are reported separately.
salt_3,,N2_cfd_setup_bc_plus_passive_conv_rad_off,heater_source,one_d_radiation_off_sensitivity_lane,297.5,297.5,273.155375,24.344625,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Heater setup versus heat actually transferred to the fluid.
salt_3,,N2_cfd_setup_bc_plus_passive_conv_rad_off,test_section,one_d_radiation_off_sensitivity_lane,37.0,37.0,-10.54504,47.54504,radiation_off_sensitivity_not_cfd_parity,work_products/2026-07/2026-07-13/2026-07-13_cfd_bc_no_radiation_1d_parity/discrepancy_attribution.csv,Quartz/test-section role discrepancy; CFD setup source can realize as net sink.
