case_id,source_id,validation_split_role,one_d_segment,role,area_m2,hA_W_K,Ta_K,Tsur_K,emissivity,cfd_realized_external_loss_W,best_model_total_loss_W,best_model_minus_cfd_realized_loss_W,T_path_bulk_K,T_wall_inner_K,T_wall_shell_K,T_ext_drive_loss_positive_K,wall_shell_minus_path_bulk_K,recirculation_status,drive_diagnosis,recommended_next_model,admission_status,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,lower_leg,ambient_wall,0.016563776,0.065360646,299.19,299.19,0.95,6.668141359,31.402091614,24.733950255,444.5526,449.346308,449.416411222,401.210737506,4.863811222,moderate_recirculation_report_bulk_and_forward,drive_temperature_effect_available_but_not_sufficient_alone,compare bulk_wall_shell_and_mixing_factor_modes_under_split_gate,diagnostic_only,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,upcomer,ambient_wall,0.050313118,0.186354144,299.19,299.19,0.95,20.080505149,43.448189704,17.687848473,456.7385,451.352922,451.422094043,406.944540333,-5.316405957,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,wall_adjacent_proxy_cooler_than_bulk_consistent_with_bulk_drive_over_loss,test_external_boundary_table_with_wall_shell_or_wall_adjacent_drive,diagnostic_only_train_salt2_then_validate_salt3_holdout_salt4,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,cooling_branch,ambient_wall,0.03257168,0.131759018,299.19,299.19,0.95,12.367946808,157.307993341,8.589306533,446.246889,447.924056,447.990315174,393.057934034,1.743426174,moderate_recirculation_report_bulk_and_forward,drive_temperature_effect_available_but_not_sufficient_alone,compare bulk_wall_shell_and_mixing_factor_modes_under_split_gate,diagnostic_only,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,downcomer,ambient_wall,0.063435,0.217194226,299.19,299.19,0.95,23.117313813,30.108256812,6.990942999,447.952876,443.125114,443.18880182,405.626134232,-4.76407418,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,wall_adjacent_proxy_cooler_than_bulk_consistent_with_bulk_drive_over_loss,test_external_boundary_table_with_wall_shell_or_wall_adjacent_drive,diagnostic_only_train_salt2_then_validate_salt3_holdout_salt4,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,train,junction,junction_other,0.042478796,0.408727585,299.19,299.19,0.95,39.128349537,3.434097578,-35.694251959,,428.096294,430.772668149,394.922098661,,missing_interface_temperature_sample,missing_wall_shell_or_bulk_drive,stage_matched_wall_adjacent_temperature_extraction_or_use_segment_equivalent_contract_only,blocked_missing_drive_temperature,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,lower_leg,ambient_wall,0.016563776,0.06664283,299.79,299.79,0.95,7.327263296,35.714963377,28.387700081,457.2819,462.326915,462.403561779,409.738262252,5.121661779,moderate_recirculation_report_bulk_and_forward,drive_temperature_effect_available_but_not_sufficient_alone,compare bulk_wall_shell_and_mixing_factor_modes_under_split_gate,diagnostic_only,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,upcomer,ambient_wall,0.050313118,0.189835359,299.79,299.79,0.95,22.073866293,48.907717642,16.288810959,469.5229,464.541712,464.617355338,416.069003361,-4.905544662,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,wall_adjacent_proxy_cooler_than_bulk_consistent_with_bulk_drive_over_loss,test_external_boundary_table_with_wall_shell_or_wall_adjacent_drive,diagnostic_only_train_salt2_then_validate_salt3_holdout_salt4,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,cooling_branch,ambient_wall,0.032571682,0.1341047,299.79,299.79,0.95,13.570709177,174.611772433,10.271424586,459.043315,460.624924,460.697279063,400.984880847,1.653964063,moderate_recirculation_report_bulk_and_forward,drive_temperature_effect_available_but_not_sufficient_alone,compare bulk_wall_shell_and_mixing_factor_modes_under_split_gate,diagnostic_only,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,downcomer,ambient_wall,0.063435,0.221408988,299.79,299.79,0.95,25.347860491,34.360241797,9.012381306,460.589318,455.397441,455.466976504,414.274334004,-5.122341496,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,wall_adjacent_proxy_cooler_than_bulk_consistent_with_bulk_drive_over_loss,test_external_boundary_table_with_wall_shell_or_wall_adjacent_drive,diagnostic_only_train_salt2_then_validate_salt3_holdout_salt4,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,validation,junction,junction_other,0.042478796,0.416449962,299.79,299.79,0.95,43.234690515,3.905958837,-39.328731678,,439.702638,442.586814459,403.607251582,,missing_interface_temperature_sample,missing_wall_shell_or_bulk_drive,stage_matched_wall_adjacent_temperature_extraction_or_use_segment_equivalent_contract_only,blocked_missing_drive_temperature,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,holdout,lower_leg,ambient_wall,0.016563776,0.06840414,299.97,299.97,0.95,8.155480513,41.111435947,32.955955434,472.5491,477.733106,477.817791631,419.194954818,5.268691631,moderate_recirculation_report_bulk_and_forward,drive_temperature_effect_available_but_not_sufficient_alone,compare bulk_wall_shell_and_mixing_factor_modes_under_split_gate,diagnostic_only,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,holdout,upcomer,ambient_wall,0.050313118,0.194899343,299.97,299.97,0.95,24.559901843,55.64820418,14.319616827,484.9286,480.074817,480.158358404,425.983261083,-4.770241596,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,wall_adjacent_proxy_cooler_than_bulk_consistent_with_bulk_drive_over_loss,test_external_boundary_table_with_wall_shell_or_wall_adjacent_drive,diagnostic_only_train_salt2_then_validate_salt3_holdout_salt4,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,holdout,cooling_branch,ambient_wall,0.032571682,0.137353114,299.97,299.97,0.95,15.087091646,196.677968706,12.36406329,474.243492,475.749519,475.829404566,409.811642458,1.585912566,moderate_recirculation_report_bulk_and_forward,drive_temperature_effect_available_but_not_sufficient_alone,compare bulk_wall_shell_and_mixing_factor_modes_under_split_gate,diagnostic_only,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,holdout,downcomer,ambient_wall,0.063435,0.227436674,299.97,299.97,0.95,28.124643037,39.666847106,11.542204069,475.803991,469.82973,469.906414537,423.629225832,-5.897576463,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,wall_adjacent_proxy_cooler_than_bulk_consistent_with_bulk_drive_over_loss,test_external_boundary_table_with_wall_shell_or_wall_adjacent_drive,diagnostic_only_train_salt2_then_validate_salt3_holdout_salt4,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,holdout,junction,junction_other,0.042478796,0.427335012,299.97,299.97,0.95,48.485215891,4.496239063,-43.988976828,,452.922037,456.008736502,413.4294978,,missing_interface_temperature_sample,missing_wall_shell_or_bulk_drive,stage_matched_wall_adjacent_temperature_extraction_or_use_segment_equivalent_contract_only,blocked_missing_drive_temperature,work_products/2026-07/2026-07-13/2026-07-13_wall_layer_drive_mapping/external_bc_drive_table.csv;work_products/2026-07/2026-07-14/2026-07-14_best_predictive_heat_loss_discrepancy/best_predictive_leg_heat_loss_discrepancy.csv
