source_id,case_id,role,role_group,patch_count,area_m2,imposed_Q_W,realized_wallHeatFlux_W,rcExternalTemperature_count,externalTemperature_count,zeroGradient_count,area_weighted_h_W_m2K,area_weighted_Ta_K,area_weighted_Tsur_K,area_weighted_emissivity,source_table
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,ambient_wall,passive_ambient_wall_exchange,21,0.162883574,0,-62.233907,21,0,0,3.687714,299.19,299.19,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooler,intended_cooler_removal,3,0.029778515,-136.35074,-136.35074,0,3,0,,,,,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,heater,intended_heater_input,3,0.045786417,265.7,243.519098,3,0,0,4.004091,299.19,299.19,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_other,junction_or_stub_diagnostic,29,0.042478796,0,-39.12835,11,7,11,9.62192,299.19,299.19,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,test_section,intended_test_section_exchange,1,0.012258449,37,-5.679836,1,0,0,7.482237,299.19,299.19,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,zero_gradient_ncc_connector,zero_gradient_connector,12,0,0,0,0,0,12,,,,,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,ambient_wall,passive_ambient_wall_exchange,21,0.162883576,0,-68.319699,21,0,0,3.757235,299.79,299.79,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooler,intended_cooler_removal,3,0.029778515,-150.769639,-150.769639,0,3,0,,,,,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,heater,intended_heater_input,3,0.045786417,297.5,273.155375,3,0,0,4.084369,299.79,299.79,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction_other,junction_or_stub_diagnostic,29,0.042478796,0,-43.234691,11,7,11,9.803714,299.79,299.79,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,test_section,intended_test_section_exchange,1,0.012258449,37,-10.54504,1,0,0,7.580434,299.79,299.79,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,zero_gradient_ncc_connector,zero_gradient_connector,12,0,0,0,0,0,12,,,,,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,ambient_wall,passive_ambient_wall_exchange,21,0.162883576,0,-75.927117,21,0,0,3.856087,299.97,299.97,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooler,intended_cooler_removal,3,0.029778515,-169.226815,-169.226814,0,3,0,,,,,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,heater,intended_heater_input,3,0.045786417,337.6,310.487058,3,0,0,4.19301,299.97,299.97,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction_other,junction_or_stub_diagnostic,29,0.042478796,0,-48.485216,11,7,11,10.059961,299.97,299.97,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,test_section,intended_test_section_exchange,1,0.012258449,37,-16.768686,1,0,0,7.703696,299.97,299.97,0.95,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,zero_gradient_ncc_connector,zero_gradient_connector,12,0,0,0,0,0,12,,,,,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv
