part,leg,model_form,case_id,split,admission_use_class,q_pred_W,q_cfd_W,error_W,abs_error_W,fit_policy,model_assumptions,source_paths
part4,cooling_leg,blocked_missing_patch_heat_ledger,salt_1,diagnostic-only,diagnostic_context_only,,,,,not_fit,No current Salt1 patch heat ledger in consumed source set.,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/case_bc_response_matrix.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv
part5,heating_leg,blocked_missing_patch_heat_ledger,salt_1,diagnostic-only,diagnostic_context_only,,,,,not_fit,No current Salt1 patch heat ledger in consumed source set.,work_products/2026-07/2026-07-08/2026-07-08_thermal_boundary_contract/case_thermal_targets.csv;work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/case_bc_response_matrix.csv;work_products/2026-07/2026-07-14/2026-07-14_cfd_case_admission_inventory/cfd_case_admission_inventory.csv
part4,cooling_leg,current_fluid_airside_hx_fixed_mdot,salt_2,train,train_candidate,46.1951253329,136.35074,-90.1556146671,90.1556146671,setup_model_or_current_fluid_diagnostic,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part4,cooling_leg,imposed_cfd_cooler_upper_bound,salt_2,train,train_candidate,136.35074,136.35074,0,0,diagnostic_upper_bound_not_predictive,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part4,cooling_leg,salt2_fit_cooler_imposed_ratio,salt_2,train,train_candidate,136.35074,136.35074,0,0,fit_on_salt2_score_salt3_salt4_salt1_excluded,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part4,cooling_leg,salt2_fit_constant_UA_bulk_drive,salt_2,train,train_candidate,136.35074,136.35074,0,0,fit_on_salt2_score_salt3_salt4_salt1_excluded,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part5,heating_leg,electrical_heater_power_1_to_1,salt_2,train,train_candidate,265.7,243.51909758,22.18090242,22.18090242,setup_model_diagnostic,Heating heat added comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part5,heating_leg,imposed_cfd_heater_upper_bound,salt_2,train,train_candidate,243.51909758,243.51909758,0,0,diagnostic_upper_bound_not_predictive,Heating heat added comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part5,heating_leg,salt2_fit_constant_heater_efficiency,salt_2,train,train_candidate,243.51909758,243.51909758,0,0,fit_on_salt2_score_salt3_salt4_salt1_excluded,Heating heat added comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part4,cooling_leg,current_fluid_airside_hx_fixed_mdot,salt_3,validation,validation_candidate,49.6383622484,150.76963867,-101.131276422,101.131276422,setup_model_or_current_fluid_diagnostic,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part4,cooling_leg,imposed_cfd_cooler_upper_bound,salt_3,validation,validation_candidate,150.76963867,150.76963867,0,0,diagnostic_upper_bound_not_predictive,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part4,cooling_leg,salt2_fit_cooler_imposed_ratio,salt_3,validation,validation_candidate,150.769638777,150.76963867,1.06940376554e-07,1.06940376554e-07,fit_on_salt2_score_salt3_salt4_salt1_excluded,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part4,cooling_leg,salt2_fit_constant_UA_bulk_drive,salt_3,validation,validation_candidate,147.900534666,150.76963867,-2.86910400386,2.86910400386,fit_on_salt2_score_salt3_salt4_salt1_excluded,Cooling heat removed comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
part5,heating_leg,electrical_heater_power_1_to_1,salt_3,validation,validation_candidate,297.5,273.15537485,24.34462515,24.34462515,setup_model_diagnostic,Heating heat added comparison.,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid
