artifact,role,path,exists,notes
admission_decision_table.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,True,input evidence; not mutated
final_window_admission_review.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/final_window_admission_review.csv,True,input evidence; not mutated
salt_cfd_candidate_inventory.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_salt_cfd_training_evidence_inventory/salt_cfd_candidate_inventory.csv,True,input evidence; not mutated
salt1_training_admission_package.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/salt1_training_admission_package.csv,True,input evidence; not mutated
submission_status.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/submission_status.csv,True,input evidence; not mutated
T,read_only_input,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,True,input evidence; not mutated
boundary,read_only_input,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/constant/polyMesh/boundary,True,input evidence; not mutated
functions,read_only_input,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/system/functions,True,input evidence; not mutated
T,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,True,input evidence; not mutated
boundary,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/constant/polyMesh/boundary,True,input evidence; not mutated
functions,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/system/functions,True,input evidence; not mutated
T,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/0/T,True,input evidence; not mutated
boundary,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/constant/polyMesh/boundary,True,input evidence; not mutated
functions,read_only_input,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/system/functions,True,input evidence; not mutated
salt1_terminal_patch_bc_role_table.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv,True,generated by AGENT-363 builder
salt1_terminal_bc_role_summary.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_bc_role_summary.csv,True,generated by AGENT-363 builder
salt1_training_admission_update.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_training_admission_update.csv,True,generated by AGENT-363 builder
pm5_upcomer_job_harvest_status.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/pm5_upcomer_job_harvest_status.csv,True,generated by AGENT-363 builder
