artifact,role,path,exists,notes
admission_decision_table.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,True,input evidence; not mutated
postprocessing_availability.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/postprocessing_availability.csv,True,input evidence; not mutated
final_window_admission_review.csv,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/final_window_admission_review.csv,True,input evidence; not mutated
submitted_cfd_run_steady_state_table.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/submitted_cfd_run_steady_state_table.csv,True,input evidence; not mutated
submitted_cfd_run_compact_lineage_table.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_submitted_cfd_run_steady_state_table/submitted_cfd_run_compact_lineage_table.csv,True,input evidence; not mutated
corrected_q_pm5_split_admission_matrix.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/corrected_q_pm5_split_admission_matrix.csv,True,input evidence; not mutated
corrected_q_pm5_heat_role_reduction.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/corrected_q_pm5_heat_role_reduction.csv,True,input evidence; not mutated
corrected_q_pm5_forward_gate_queue.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_pm5_admission_split_processing/corrected_q_pm5_forward_gate_queue.csv,True,input evidence; not mutated
perturbation_requal.csv,read_only_input,work_products/2026-07/2026-07-01/2026-07-01_claude_perturbation_requal/perturbation_requal.csv,True,input evidence; not mutated
campaign_manifest.csv,read_only_input,jadyn_runs/modern_runs/2026-06-19_ethan_blocker_and_1d_followon_wave/campaign_manifest.csv,True,input evidence; not mutated
invalid_or_diagnostic_runs.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/invalid_or_diagnostic_runs.csv,True,input evidence; not mutated
candidate_readiness_matrix.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_upcomer_matched_plane_compute_extraction/candidate_readiness_matrix.csv,True,input evidence; not mutated
run_upcomer_matched_plane_compute.sh,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_upcomer_matched_plane_compute_extraction/scripts/run_upcomer_matched_plane_compute.sh,True,input evidence; not mutated
README.md,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_val_salt_test_2_coarse_mesh_documentation/README.md,True,input evidence; not mutated
salt1_training_admission_package.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/salt1_training_admission_package.csv,True,generated by AGENT-355 builder
pm5_perturbed_q_split_override.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/pm5_perturbed_q_split_override.csv,True,generated by AGENT-355 builder
salt_training_split_override.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/salt_training_split_override.csv,True,generated by AGENT-355 builder
legacy_perturbation_label_audit.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/legacy_perturbation_label_audit.csv,True,generated by AGENT-355 builder
salt3_hiq_hiins_documentation.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/salt3_hiq_hiins_documentation.csv,True,generated by AGENT-355 builder
matched_pressure_upcomer_workflow_readiness.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/matched_pressure_upcomer_workflow_readiness.csv,True,generated by AGENT-355 builder
more_training_data_todo.csv,generated_output,work_products/2026-07/2026-07-14/2026-07-14_salt_training_promotion_and_legacy_perturbation_audit/more_training_data_todo.csv,True,generated by AGENT-355 builder
