case_id,source_id,qoi_family,lane,qoi_id,span,segment,method,quantity,units,coarse_value,medium_value,fine_value,coarse_available,medium_available,fine_available,complete_triplet,coarse_status,medium_status,fine_status,convergence_verdict,gci_status,observed_order_p,gci_fine_pct,gci_coarse_pct,asymptotic_range_ratio,publication_ready,classification,fit_admissible,thesis_evidence_use,blockers,recommended_next_action,coarse_source_path,medium_source_path,fine_source_path,decision_source_path,gci_source_path
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,left_lower_leg,left_lower_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,2.07170060414,1.79195553467,1.80956777469,yes,yes,yes,yes,admitted_mainline,fit_safe_pressure_gradient,fit_safe_pressure_gradient,oscillatory,not_computed_non_monotone_or_divergent,,,,,no,non-monotone/oscillatory,no,diagnostic_triplet_only,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,left_lower_leg,left_lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,2.08132314032,1.80041349736,1.81883943595,yes,yes,yes,yes,admitted_mainline,fit_safe_pressure_gradient,fit_safe_pressure_gradient,oscillatory,not_computed_non_monotone_or_divergent,,,,,no,non-monotone/oscillatory,no,diagnostic_triplet_only,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,left_upper_leg,left_upper_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,,2.27363962473,2.35957204037,no,yes,yes,no,,fit_safe_pressure_gradient,fit_safe_pressure_gradient,,not_computed_missing_triplet,,,,,no,blocked-missing-triplet,no,blocked,missing_coarse_medium_or_fine_numeric_qoi,extract or reconcile the missing mesh-level QoI,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,left_upper_leg,left_upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,,2.27644254444,2.36265021544,no,yes,yes,no,,fit_safe_pressure_gradient,fit_safe_pressure_gradient,,not_computed_missing_triplet,,,,,no,blocked-missing-triplet,no,blocked,missing_coarse_medium_or_fine_numeric_qoi,extract or reconcile the missing mesh-level QoI,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::lower_leg::section_mean_static_gradient,lower_leg,lower_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,0.248880350167,-0.756830591287,-0.719750288331,yes,yes,yes,yes,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,oscillatory,not_computed_non_monotone_or_divergent,,,,,no,non-monotone/oscillatory,no,diagnostic_triplet_only,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,lower_leg,lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,0.245150780929,-0.757345301426,-0.716584189261,yes,yes,yes,yes,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,oscillatory,not_computed_non_monotone_or_divergent,,,,,no,non-monotone/oscillatory,no,diagnostic_triplet_only,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::right_leg::section_mean_static_gradient,right_leg,right_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,1.28750694317,-1.70428527403,-1.70094313759,yes,yes,yes,yes,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,oscillatory,not_computed_non_monotone_or_divergent,,,,,no,non-monotone/oscillatory,no,diagnostic_triplet_only,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,right_leg,right_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,1.30880574307,-1.7034807686,-1.70006373182,yes,yes,yes,yes,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,oscillatory,not_computed_non_monotone_or_divergent,,,,,no,non-monotone/oscillatory,no,diagnostic_triplet_only,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::test_section_span::section_mean_static_gradient,test_section_span,test_section_span,section_mean_static_gradient,apparent_darcy_f,dimensionless,,-0.68696315994,-0.654071614869,no,yes,yes,no,,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,,not_computed_missing_triplet,,,,,no,blocked-missing-triplet,no,blocked,not_fit_safe_pressure_recovery_or_noise,extract or reconcile the missing mesh-level QoI,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,test_section_span,test_section_span,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,,-0.691622907266,-0.658401929906,no,yes,yes,no,,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,,not_computed_missing_triplet,,,,,no,blocked-missing-triplet,no,blocked,not_fit_safe_pressure_recovery_or_noise,extract or reconcile the missing mesh-level QoI,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv,
