metric_id,metric_name,units,plane_location,required_for,formula,source_fields,weighting,normal_definition,acceptance_criteria,failure_status,tooling_hint,notes
reverse_area_fraction,reverse area fraction,dimensionless,upcomer_inlet,single_stream_validity;recirculation_rule;Nu_admission,sum(A_i for u_n_i < 0) / sum(A_i),"U, face area A, plane normal n",area_weighted_faces,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.02 at inlet/mid/outlet; invalid single-stream when >=0.10,diagnostic_only_missing_reverse_area_fraction,extend tools/extract/sample_upcomer_convection_cell.py to use geometric plane normal and face areas,Do not use mean-velocity normal for admission because it can hide reverse flow by rotating with the cell.
reverse_area_fraction,reverse area fraction,dimensionless,upcomer_mid,single_stream_validity;recirculation_rule;Nu_admission,sum(A_i for u_n_i < 0) / sum(A_i),"U, face area A, plane normal n",area_weighted_faces,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.02 at inlet/mid/outlet; invalid single-stream when >=0.10,diagnostic_only_missing_reverse_area_fraction,extend tools/extract/sample_upcomer_convection_cell.py to use geometric plane normal and face areas,Do not use mean-velocity normal for admission because it can hide reverse flow by rotating with the cell.
reverse_area_fraction,reverse area fraction,dimensionless,upcomer_outlet,single_stream_validity;recirculation_rule;Nu_admission,sum(A_i for u_n_i < 0) / sum(A_i),"U, face area A, plane normal n",area_weighted_faces,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.02 at inlet/mid/outlet; invalid single-stream when >=0.10,diagnostic_only_missing_reverse_area_fraction,extend tools/extract/sample_upcomer_convection_cell.py to use geometric plane normal and face areas,Do not use mean-velocity normal for admission because it can hide reverse flow by rotating with the cell.
reverse_mass_fraction,reverse mass fraction,dimensionless,upcomer_inlet,single_stream_validity;recirculation_rule;Nu_admission,"sum(max(-rho_i*u_n_i, 0)*A_i) / sum(abs(rho_i*u_n_i)*A_i)","rho, U, face area A, plane normal n",absolute_mass_flux_denominator,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.02 at inlet/mid/outlet; invalid single-stream when >=0.10,diagnostic_only_missing_reverse_mass_fraction,extend upcomer vector-plane extraction; current validity proxies are insufficient for fit admission,Use absolute flux in the denominator so a near-zero net-flow plane cannot mask a reverse-flow cell.
reverse_mass_fraction,reverse mass fraction,dimensionless,upcomer_mid,single_stream_validity;recirculation_rule;Nu_admission,"sum(max(-rho_i*u_n_i, 0)*A_i) / sum(abs(rho_i*u_n_i)*A_i)","rho, U, face area A, plane normal n",absolute_mass_flux_denominator,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.02 at inlet/mid/outlet; invalid single-stream when >=0.10,diagnostic_only_missing_reverse_mass_fraction,extend upcomer vector-plane extraction; current validity proxies are insufficient for fit admission,Use absolute flux in the denominator so a near-zero net-flow plane cannot mask a reverse-flow cell.
reverse_mass_fraction,reverse mass fraction,dimensionless,upcomer_outlet,single_stream_validity;recirculation_rule;Nu_admission,"sum(max(-rho_i*u_n_i, 0)*A_i) / sum(abs(rho_i*u_n_i)*A_i)","rho, U, face area A, plane normal n",absolute_mass_flux_denominator,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.02 at inlet/mid/outlet; invalid single-stream when >=0.10,diagnostic_only_missing_reverse_mass_fraction,extend upcomer vector-plane extraction; current validity proxies are insufficient for fit admission,Use absolute flux in the denominator so a near-zero net-flow plane cannot mask a reverse-flow cell.
secondary_velocity_fraction,secondary velocity fraction,dimensionless,upcomer_inlet,single_stream_validity;mixing_strength;Nu_admission,rms(|U_i - u_n_i*n|) / rms(|U_i|),"U, plane normal n",face_rms_or_area_weighted_rms_if_A_available,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.20 at inlet/mid/outlet,diagnostic_only_missing_secondary_velocity_fraction,add vector decomposition to upcomer plane extractor,Quantifies cross-stream motion; reverse-flow alone does not fully describe mixed-convection structure.
secondary_velocity_fraction,secondary velocity fraction,dimensionless,upcomer_mid,single_stream_validity;mixing_strength;Nu_admission,rms(|U_i - u_n_i*n|) / rms(|U_i|),"U, plane normal n",face_rms_or_area_weighted_rms_if_A_available,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.20 at inlet/mid/outlet,diagnostic_only_missing_secondary_velocity_fraction,add vector decomposition to upcomer plane extractor,Quantifies cross-stream motion; reverse-flow alone does not fully describe mixed-convection structure.
secondary_velocity_fraction,secondary velocity fraction,dimensionless,upcomer_outlet,single_stream_validity;mixing_strength;Nu_admission,rms(|U_i - u_n_i*n|) / rms(|U_i|),"U, plane normal n",face_rms_or_area_weighted_rms_if_A_available,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite 0..1; fit gate requires <0.20 at inlet/mid/outlet,diagnostic_only_missing_secondary_velocity_fraction,add vector decomposition to upcomer plane extractor,Quantifies cross-stream motion; reverse-flow alone does not fully describe mixed-convection structure.
mass_flux_weighted_bulk_T,mass-flux-weighted bulk T,K,upcomer_inlet,thermal_drive;Nu_candidate,sum(rho_i*u_n_i*T_i*A_i) / sum(rho_i*u_n_i*A_i),"rho, U, T, face area A, plane normal n",signed_mass_flux,Plane normal is the geometric upcomer station tangent oriented in nominal inlet-to-outlet flow direction.,finite; denominator nonzero; fit use allowed only when reverse_mass_fraction <0.02 at the same plane,diagnostic_only_missing_or_unstable_bulk_T,align with tools/extract/sample_span_endpoint_temperatures.py but use geometric upcomer planes,This is the thermal-driving bulk T for single-stream fit rows; in recirculation it may remain diagnostic only.
