case_key,case_role,plane_location,span,bulk_T_K,wall_T_K,delta_T_wall_bulk_K,wallHeatFlux_W_m2,h_proxy_W_m2_K,h_proxy_positive_under_current_sign,reverse_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,Ri,recirculation_band,internal_nu_review_class,fit_admissible_now,allowed_label_now,allowed_use_now,reason,source_metric_file
salt2_lo5q,holdout,upcomer_inlet,left_lower_leg,453.2497773,446.9829827,-6.266794552,-375.854694,59.97558894,yes,0.6177451405,0.5000044571,0.07456212539,70.00886497,material_recirculation_diagnostic_only,diagnostic_section_effective_material_recirculation_not_fit,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q,holdout,upcomer_mid,test_section_span,442.9752451,449.3242467,6.349001557,-390.6356694,-61.52710247,no,0.3692928784,0.5000060995,0.001000505845,45.11688157,material_recirculation_diagnostic_only,diagnostic_sign_review_required,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,q''/(Twall-Tbulk) is non-positive under the current sign convention.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q,holdout,upcomer_outlet,left_upper_leg,452.2379399,449.1300789,-3.107861057,-382.0251023,122.9221948,yes,0.7901396438,0.5000621677,0.7514234306,23.79729264,material_recirculation_diagnostic_only,diagnostic_section_effective_material_recirculation_not_fit,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_inlet,left_lower_leg,457.9197173,451.6811316,-6.238585754,-389.7388618,62.47230978,yes,0.6096763649,0.4999936722,0.07839203064,54.20195191,material_recirculation_diagnostic_only,diagnostic_section_effective_material_recirculation_not_fit,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_mid,test_section_span,447.3234502,453.761907,6.438456805,-529.1127576,-82.18005861,no,0.3748113482,0.4999916556,0.001266755619,78.04208245,material_recirculation_diagnostic_only,diagnostic_sign_review_required,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,q''/(Twall-Tbulk) is non-positive under the current sign convention.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q,holdout,upcomer_outlet,left_upper_leg,456.7850611,453.8536184,-2.931442697,-396.0448366,135.1023634,yes,0.785845516,0.5000672828,0.7572863617,108.7458056,material_recirculation_diagnostic_only,diagnostic_section_effective_material_recirculation_not_fit,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_inlet,left_lower_leg,481.5714205,476.5844798,-4.98694071,-464.5656977,93.15645096,yes,0.5466041262,0.5000026995,0.09664111627,16.86404752,material_recirculation_diagnostic_only,diagnostic_section_effective_material_recirculation_not_fit,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_mid,test_section_span,471.0767344,475.4714086,4.394674154,-1277.851523,-290.7727577,no,0.3764033442,0.4999969289,0.003081481808,29.72248589,material_recirculation_diagnostic_only,diagnostic_sign_review_required,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,q''/(Twall-Tbulk) is non-positive under the current sign convention.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q,training,upcomer_outlet,left_upper_leg,480.0436811,477.2446768,-2.799004299,-466.444095,166.6464375,yes,0.7765350946,0.5000757768,0.7609112209,25.44596167,material_recirculation_diagnostic_only,diagnostic_section_effective_material_recirculation_not_fit,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q,training,upcomer_inlet,left_lower_leg,486.5235643,481.8408001,-4.682764209,-481.1706894,102.7535592,yes,0.5228637749,0.4999749795,0.1060371437,47.1734398,material_recirculation_diagnostic_only,diagnostic_section_effective_material_recirculation_not_fit,no,Nu_section_effective_upcomer_diagnostic,diagnostic_section_effective_only,"h_proxy is positive, but material reverse flow invalidates single-stream fitted Nu.",work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
