row_family,case_or_key,source_id,segment_or_span,plane_location,qoi,wallHeatFlux_W,enthalpy_change_W,residual_W,residual_fraction,wall_vs_enthalpy_direction,h_proxy_W_m2_K,reverse_area_fraction,reverse_mass_fraction,gate_class,fit_admissible_now,reason,source_paths
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,,wallHeatFlux,236.851,288.360609,-51.509609,-0.178629,same_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,,enthalpy_change,236.851,288.360609,-51.509609,-0.178629,same_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,,segment_duty,236.851,288.360609,-51.509609,-0.178629,same_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,,HTC,236.851,288.360609,-51.509609,-0.178629,same_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,,Nu,236.851,288.360609,-51.509609,-0.178629,same_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,,UA_prime,236.851,288.360609,-51.509609,-0.178629,same_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,,wallHeatFlux,-25.7603,136.677123,-162.437423,-1.188476,opposed_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,,enthalpy_change,-25.7603,136.677123,-162.437423,-1.188476,opposed_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,,segment_duty,-25.7603,136.677123,-162.437423,-1.188476,opposed_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,,HTC,-25.7603,136.677123,-162.437423,-1.188476,opposed_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,,Nu,-25.7603,136.677123,-162.437423,-1.188476,opposed_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,,UA_prime,-25.7603,136.677123,-162.437423,-1.188476,opposed_direction,,,,fail_sign_convention_or_direction,no,Sign label/direction is not admitted.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,,wallHeatFlux,-23.1173,86.870401,-109.987701,-1.266113,opposed_direction,,,,fail_downcomer_policy,no,Downcomer row remains outside current internal-Nu fit policy.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,,enthalpy_change,-23.1173,86.870401,-109.987701,-1.266113,opposed_direction,,,,fail_downcomer_policy,no,Downcomer row remains outside current internal-Nu fit policy.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,,segment_duty,-23.1173,86.870401,-109.987701,-1.266113,opposed_direction,,,,fail_downcomer_policy,no,Downcomer row remains outside current internal-Nu fit policy.,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
segment_energy_review,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,,thermal_segment_closure,-23.1173,86.870401,-109.987701,-1.266113,opposed_direction,,,,fail_downcomer_policy,no,Downcomer row remains outside current internal-Nu fit policy.,work_products/2026-07/2026-07-13/2026-07-13_salt2_coarse_thermal_repair_smoke/outputs/coarse/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_reconstructed_t_repair_trial/outputs/medium/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_fine_reconstructed_t_repair_plan_sbatch/repair_trial_output/outputs/fine/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv;work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_sign_enthalpy_review/thermal_sign_enthalpy_review.csv
pm5_local_h_proxy_review,salt2_lo5q,,left_lower_leg,upcomer_inlet,h_proxy,,,,,local_sign_only_no_segment_enthalpy_join,59.97558894,0.6177451405,0.5000044571,diagnostic_section_effective_material_recirculation_not_fit,no,PM5 h_proxy is a local diagnostic. Segment heat-balance admission still comes from the segment energy-review rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5_local_h_proxy_review,salt2_lo5q,,test_section_span,upcomer_mid,h_proxy,,,,,local_sign_only_no_segment_enthalpy_join,-61.52710247,0.3692928784,0.5000060995,diagnostic_sign_review_required,no,PM5 h_proxy is a local diagnostic. Segment heat-balance admission still comes from the segment energy-review rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5_local_h_proxy_review,salt2_lo5q,,left_upper_leg,upcomer_outlet,h_proxy,,,,,local_sign_only_no_segment_enthalpy_join,122.9221948,0.7901396438,0.5000621677,diagnostic_section_effective_material_recirculation_not_fit,no,PM5 h_proxy is a local diagnostic. Segment heat-balance admission still comes from the segment energy-review rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5_local_h_proxy_review,salt2_hi5q,,left_lower_leg,upcomer_inlet,h_proxy,,,,,local_sign_only_no_segment_enthalpy_join,62.47230978,0.6096763649,0.4999936722,diagnostic_section_effective_material_recirculation_not_fit,no,PM5 h_proxy is a local diagnostic. Segment heat-balance admission still comes from the segment energy-review rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5_local_h_proxy_review,salt2_hi5q,,test_section_span,upcomer_mid,h_proxy,,,,,local_sign_only_no_segment_enthalpy_join,-82.18005861,0.3748113482,0.4999916556,diagnostic_sign_review_required,no,PM5 h_proxy is a local diagnostic. Segment heat-balance admission still comes from the segment energy-review rows.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
