case_id,split_role,leg,model_form,model_total_loss_W,cfd_realized_loss_W,model_minus_cfd_realized_loss_W,admission_class,forward_v1_use,blocker,source_path
salt_2,train,lower_leg,F1_heater_only,31.402091614,6.668141359,24.733950255,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,train,upcomer,F1_heater_only,43.448189704,25.760341231,17.687848473,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,train,cooling_branch,F1_heater_only,157.307993341,148.718686808,8.589306533,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,train,downcomer,F1_heater_only,30.108256812,23.117313813,6.990942999,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_2,train,junction,F1_heater_only,3.434097578,39.128349537,-35.694251959,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,validation,lower_leg,F1_heater_only,35.714963377,7.327263296,28.387700081,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,validation,upcomer,F1_heater_only,48.907717642,32.618906683,16.288810959,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,validation,cooling_branch,F1_heater_only,174.611772433,164.340347847,10.271424586,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,validation,downcomer,F1_heater_only,34.360241797,25.347860491,9.012381306,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
salt_3,validation,junction,F1_heater_only,3.905958837,43.234690515,-39.328731678,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
