case_id,case_key,branch,from_station,to_station,delta_p_to_minus_from_Pa,delta_p_rgh_to_minus_from_Pa,from_reverse_area_fraction_proxy,to_reverse_area_fraction_proxy,status,next_use
salt_2,salt2_mainline,lower_leg,lower_leg__s00,lower_leg__s01,439.0748906,8.331937473,0.5405797101,0.4882550336,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,lower_leg,lower_leg__s01,lower_leg__s02,239.0154425,-0.2567495427,0.4882550336,0.4198250729,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,lower_leg,lower_leg__s02,lower_leg__s03,-2919.239828,-2.180950873,0.4198250729,0.2899159664,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,lower_leg,lower_leg__s03,lower_leg__s04,9326.737425,-6.946436917,0.2899159664,0.2374283896,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,right_leg,right_leg__s00,right_leg__s01,-3504.148262,-2.626942542,0.2222222222,0.6232638889,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,right_leg,right_leg__s01,right_leg__s02,-3522.215208,-0.2395321767,0.6232638889,0.640625,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,right_leg,right_leg__s02,right_leg__s03,-3510.360294,1.289699878,0.640625,0.6756756757,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,right_leg,right_leg__s03,right_leg__s04,-3517.510071,-0.5239007182,0.6756756757,0.6736111111,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_lower_leg,left_lower_leg__s00,left_lower_leg__s01,-1181.476572,-0.2456713847,0.6197916667,0.6336805556,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_lower_leg,left_lower_leg__s01,left_lower_leg__s02,-1170.392612,-0.005745636004,0.6336805556,0.6388888889,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_lower_leg,left_lower_leg__s02,left_lower_leg__s03,-1170.319717,0.03046878788,0.6388888889,0.640625,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,left_lower_leg,left_lower_leg__s03,left_lower_leg__s04,-1181.087014,-0.03432486038,0.640625,0.6371527778,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,test_section_span,test_section_span__s00,test_section_span__s01,954.8174307,-0.03849312115,0.3185328185,0.3243243243,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
salt_2,salt2_mainline,test_section_span,test_section_span__s01,test_section_span__s02,953.0026,-0.02699419075,0.3243243243,0.3223938224,diagnostic_adjacent_pressure_delta,orientation_and_straight_loss_subtraction_screen_only
