evidence_id,evidence_type,case_key,split_role,location,representative_time_s,reverse_area_fraction,reverse_area_band,reverse_mass_fraction,reverse_mass_band,secondary_velocity_fraction,secondary_band,Ri,mixed_convection_band,wall_bulk_delta_T_K,wallHeatFlux_W_m2,h_proxy_W_m2K,pressure_tap_policy,valid_labels,invalid_single_stream_labels,use_class,fit_admissible,validation_admissible,current_gate_status,reason,source_path
salt2_lo5q:upcomer_inlet:left_lower_leg,AGENT-406_PM5_matched_plane_wall_band,salt2_lo5q,holdout,upcomer_inlet,10275,0.6177451405,material_recirculation_diagnostic_only,0.5000044571,material_recirculation_diagnostic_only,0.07456212539,secondary_caution_validation_only,70.00886497,strong_mixed_convection,-6.266794552,-375.854694,59.97558894,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_section_effective_recirculating_not_fit,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_mid:test_section_span,AGENT-406_PM5_matched_plane_wall_band,salt2_lo5q,holdout,upcomer_mid,10275,0.3692928784,material_recirculation_diagnostic_only,0.5000060995,material_recirculation_diagnostic_only,0.001000505845,low_secondary_if_RAF_RMF_low,45.11688157,strong_mixed_convection,6.349001557,-390.6356694,-61.52710247,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_sign_review_required,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,AGENT-406_PM5_matched_plane_wall_band,salt2_lo5q,holdout,upcomer_outlet,10275,0.7901396438,material_recirculation_diagnostic_only,0.5000621677,material_recirculation_diagnostic_only,0.7514234306,multidimensional_mixing_diagnostic_only,23.79729264,strong_mixed_convection,-3.107861057,-382.0251023,122.9221948,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_section_effective_recirculating_not_fit,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_inlet:left_lower_leg,AGENT-406_PM5_matched_plane_wall_band,salt2_hi5q,holdout,upcomer_inlet,9780,0.6096763649,material_recirculation_diagnostic_only,0.4999936722,material_recirculation_diagnostic_only,0.07839203064,secondary_caution_validation_only,54.20195191,strong_mixed_convection,-6.238585754,-389.7388618,62.47230978,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_section_effective_recirculating_not_fit,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_mid:test_section_span,AGENT-406_PM5_matched_plane_wall_band,salt2_hi5q,holdout,upcomer_mid,9780,0.3748113482,material_recirculation_diagnostic_only,0.4999916556,material_recirculation_diagnostic_only,0.001266755619,low_secondary_if_RAF_RMF_low,78.04208245,strong_mixed_convection,6.438456805,-529.1127576,-82.18005861,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_sign_review_required,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_outlet:left_upper_leg,AGENT-406_PM5_matched_plane_wall_band,salt2_hi5q,holdout,upcomer_outlet,9780,0.785845516,material_recirculation_diagnostic_only,0.5000672828,material_recirculation_diagnostic_only,0.7572863617,multidimensional_mixing_diagnostic_only,108.7458056,strong_mixed_convection,-2.931442697,-396.0448366,135.1023634,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_section_effective_recirculating_not_fit,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_inlet:left_lower_leg,AGENT-406_PM5_matched_plane_wall_band,salt4_lo5q,training,upcomer_inlet,11695,0.5466041262,material_recirculation_diagnostic_only,0.5000026995,material_recirculation_diagnostic_only,0.09664111627,secondary_caution_validation_only,16.86404752,strong_mixed_convection,-4.98694071,-464.5656977,93.15645096,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_section_effective_recirculating_not_fit,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_mid:test_section_span,AGENT-406_PM5_matched_plane_wall_band,salt4_lo5q,training,upcomer_mid,11695,0.3764033442,material_recirculation_diagnostic_only,0.4999969289,material_recirculation_diagnostic_only,0.003081481808,low_secondary_if_RAF_RMF_low,29.72248589,strong_mixed_convection,4.394674154,-1277.851523,-290.7727577,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_sign_review_required,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_outlet:left_upper_leg,AGENT-406_PM5_matched_plane_wall_band,salt4_lo5q,training,upcomer_outlet,11695,0.7765350946,material_recirculation_diagnostic_only,0.5000757768,material_recirculation_diagnostic_only,0.7609112209,multidimensional_mixing_diagnostic_only,25.44596167,strong_mixed_convection,-2.799004299,-466.444095,166.6464375,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_section_effective_recirculating_not_fit,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q:upcomer_inlet:left_lower_leg,AGENT-406_PM5_matched_plane_wall_band,salt4_hi5q,training,upcomer_inlet,11399,0.5228637749,material_recirculation_diagnostic_only,0.4999749795,material_recirculation_diagnostic_only,0.1060371437,secondary_caution_validation_only,47.1734398,strong_mixed_convection,-4.682764209,-481.1706894,102.7535592,not_a_two_tap_component_K_row,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,diagnostic_only,no,diagnostic_validation_only,diagnostic_onset_only_recirculating_not_f6_fit; diagnostic_section_effective_recirculating_not_fit,material reverse area/mass invalidates true single-stream labels; use section-effective diagnostic only,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
