candidate_id,canonical_leg_id,case_id,reported_segment_or_span,qoi,fit_admissible,gate_vector,failure_reasons,source_path
thermal:salt_2:lower_leg:Nu,heater_lower_leg,salt_2,lower_leg,Nu,no,qoi=yes;non_upcomer=yes;source_allows_fit=no;residual_owner=yes;sign_heat_balance=no;recirculation=no;mesh_gci=no,source_allows_fit;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;medium_sign_review_required;missing_or_nonfinite_coarse_medium_or_fine_value;repaired_q_sign_label_conflict;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:upcomer:Nu,upcomer_left_vertical,salt_2,upcomer,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=yes;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;internal_Nu_residual_absorption_forbidden;large_wallHeatFlux_enthalpy_residual;medium_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
salt2_lo5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt2_lo5q,upcomer_inlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt2_lo5q,upcomer_mid,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt2_lo5q,upcomer_outlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt2_hi5q,upcomer_inlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt2_hi5q,upcomer_mid,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt2_hi5q:upcomer_outlet:left_upper_leg,upcomer_left_vertical,salt2_hi5q,upcomer_outlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_inlet:left_lower_leg,upcomer_left_vertical,salt4_lo5q,upcomer_inlet,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
salt4_lo5q:upcomer_mid:test_section_span,upcomer_left_vertical,salt4_lo5q,upcomer_mid,Nu,no,qoi=yes;non_upcomer=no;source_allows_fit=no;residual_owner=no;sign_heat_balance=no;recirculation=no;mesh_gci=no,non_upcomer;source_allows_fit;residual_owner;sign_heat_balance;recirculation;mesh_gci;source_gate_does_not_allow_internal_Nu_fit;residual_owner_gate=missing;sign_heat_balance_gate=fail:recirculation_hybrid_onset_lane_only;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_branch_specific_ordinary_pipe_scorecard/ordinary_pipe_candidate_rows.csv
