case_key,split_role,harvest_package,branch,from_station,to_station,delta_p_to_minus_from_Pa,delta_p_rgh_to_minus_from_Pa,delta_p_rgh_sign,from_reverse_area_fraction_proxy,to_reverse_area_fraction_proxy,max_reverse_area_fraction_proxy,pair_recirc_band,upcomer_hybrid_lane,admission_status,source_path
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,lower_leg,lower_leg__s00,lower_leg__s01,439.0748906,8.331937473,positive,0.5405797101,0.4882550336,0.5405797101,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,lower_leg,lower_leg__s01,lower_leg__s02,239.0154425,-0.2567495427,negative,0.4882550336,0.4198250729,0.4882550336,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,lower_leg,lower_leg__s02,lower_leg__s03,-2919.239828,-2.180950873,negative,0.4198250729,0.2899159664,0.4198250729,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,lower_leg,lower_leg__s03,lower_leg__s04,9326.737425,-6.946436917,negative,0.2899159664,0.2374283896,0.2899159664,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,right_leg,right_leg__s00,right_leg__s01,-3504.148262,-2.626942542,negative,0.2222222222,0.6232638889,0.6232638889,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,right_leg,right_leg__s01,right_leg__s02,-3522.215208,-0.2395321767,negative,0.6232638889,0.640625,0.640625,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,right_leg,right_leg__s02,right_leg__s03,-3510.360294,1.289699878,positive,0.640625,0.6756756757,0.6756756757,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,right_leg,right_leg__s03,right_leg__s04,-3517.510071,-0.5239007182,negative,0.6756756757,0.6736111111,0.6756756757,material_recirc_mask_fail,no,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,left_lower_leg,left_lower_leg__s00,left_lower_leg__s01,-1181.476572,-0.2456713847,negative,0.6197916667,0.6336805556,0.6336805556,material_recirc_mask_fail,yes,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
salt2_mainline,training,AGENT-445_nominal_salt2_salt3_salt4,left_lower_leg,left_lower_leg__s01,left_lower_leg__s02,-1170.392612,-0.005745636004,negative,0.6336805556,0.6388888889,0.6388888889,material_recirc_mask_fail,yes,diagnostic_pair_only_not_fit_admitted,work_products/2026-07/2026-07-15/2026-07-15_pressure_ladder_unlock_sbatch/adjacent_pressure_ladder.csv
