case_key,split_role,cfd_span,physical_location_label,one_d_component_segments,flow_start_station_label,flow_end_station_label,arithmetic_mean_p_Pa,arithmetic_mean_p_rgh_Pa,flow_end_minus_start_p_Pa,flow_end_minus_start_p_rgh_Pa,static_delta_sign,p_rgh_delta_sign,static_prgh_delta_relation,max_reverse_area_fraction_proxy,mean_reverse_area_fraction_proxy,admission_table_status,recirculation_mask_status,pressure_definition_status,orientation_status,straight_loss_subtraction_status,true_f_D_or_K_fit_admitted,scientific_use,critique,source_path
salt1_hi10q,training_perturbation,lower_leg,heater / bottom heated incline,heated_incline,lower_leg__s04,lower_leg__s00,-6396.3015866999995,-0.9735394718000001,-7138.2732375000005,-0.35669767699999966,negative,negative,same_sign,0.5405797101,0.39383528830000003,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_hi10q,training_perturbation,left_lower_leg,lower upcomer below test section,left_lower_vertical,left_lower_leg__s00,left_lower_leg__s04,-3313.2517757200003,-8.1092862158,-4738.6552824,-0.8422585290000004,negative,negative,same_sign,0.6597222222,0.65347222222,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_hi10q,training_perturbation,test_section_span,test section / middle upcomer,test_section,test_section_span__s00,test_section_span__s04,-8698.2545994,-9.1751357958,3831.9854160000004,0.9536675569999993,positive,positive,same_sign,0.3532818533,0.33590733592,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_hi10q,training_perturbation,left_upper_leg,upper upcomer above test section,left_upper_vertical,left_upper_leg__s00,left_upper_leg__s04,-14565.772423999999,-10.84153205056,-5541.268319999999,-20.277288900000002,negative,negative,same_sign,0.85,0.77377782158,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_hi10q,training_perturbation,upper_leg,cooled leg / top cooled incline,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,upper_leg__s00,upper_leg__s04,-7398.5374638,-6.2308614514,7005.220513,25.652601457,positive,positive,same_sign,0.5783308931,0.50506192894,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_hi10q,training_perturbation,right_leg,right downcomer / cold vertical return,right_vertical,right_leg__s00,right_leg__s04,-4446.6702335,-7.9114007672,-14159.168431,-4.766215283999999,negative,negative,same_sign,0.6736111111,0.5686186186000001,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_lo10q,training_perturbation,lower_leg,heater / bottom heated incline,heated_incline,lower_leg__s04,lower_leg__s00,-6416.36895016,-2.8036814214,-7159.7695772,-1.2464320610000001,negative,negative,same_sign,0.5405797101,0.39352016224,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_lo10q,training_perturbation,left_lower_leg,lower upcomer below test section,left_lower_vertical,left_lower_leg__s00,left_lower_leg__s04,-3324.4176043400003,-8.8837845386,-4753.1992133,-0.40578664600000103,negative,negative,same_sign,0.6701388889,0.6642361111,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_lo10q,training_perturbation,test_section_span,test section / middle upcomer,test_section,test_section_span__s00,test_section_span__s04,-8725.4663492,-11.1262668602,3842.9824599999993,1.6502344090000012,positive,positive,same_sign,0.444015444,0.40115830114,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_screen_only_material_recirc,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
salt1_lo10q,training_perturbation,left_upper_leg,upper upcomer above test section,left_upper_vertical,left_upper_leg__s00,left_upper_leg__s04,-14610.387998,-11.485901574,-5558.15641,-17.99869141,negative,negative,same_sign,0.8461538462,0.7653006713,not_admitted_recirc_mask,blocked_material_recirculation_mask,static_p_and_p_rgh_net_sign_agree,orientation_unresolved_mixed_adjacent_p_rgh,screen_only_no_straight_loss_subtraction_due_recirc_mask,no,diagnostic_location_pressure_map_only,location_mapping_ok;mean_pressure_values_available;not_distance_normalized;not_straight_loss_subtracted;recirculation_mask_blocks_single_stream_loss_fit;upcomer_or_test_section_hybrid_lane,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv
