task,previous_status,reason
AGENT-448,ACTIVE 2026-07-16,closed_terminal_or_current_task_complete
AGENT-447,COMPLETE/SUBMITTED 2026-07-15T18:15:34-05:00,status_complete
AGENT-446,COMPLETE 2026-07-15T18:05:45-05:00,status_complete
AGENT-445,COMPLETE/SUBMITTED 2026-07-15T18:06:00-05:00,status_complete
AGENT-444,COMPLETE 2026-07-15T18:03:00-05:00,status_complete
AGENT-443,COMPLETE 2026-07-15T17:58:00-05:00,status_complete
AGENT-442,COMPLETE 2026-07-15T17:51:00-05:00,status_complete
AGENT-441,COMPLETE 2026-07-15T17:42:28-0500,status_complete
AGENT-440,COMPLETE/SUBMITTED/HARVESTED 2026-07-15T17:53:30-05:00,status_complete
AGENT-439,COMPLETE 2026-07-15T17:46:25-0500,status_complete
AGENT-438,COMPLETE 2026-07-15T17:39:05-0500,status_complete
AGENT-437,COMPLETE 2026-07-15T17:38:14-05:00,status_complete
AGENT-436,COMPLETE 2026-07-15T13:13:00-05:00,status_complete
AGENT-435,COMPLETE 2026-07-15T12:05:00-0500,status_complete
AGENT-434,COMPLETE 2026-07-15T11:55:07-0500,status_complete
AGENT-433,COMPLETE 2026-07-15T11:41:06-0500,status_complete
AGENT-432,COMPLETE 2026-07-15T11:34:39-0500,status_complete
AGENT-431,COMPLETE 2026-07-15T11:09:41-0500,status_complete
AGENT-430,COMPLETE 2026-07-15T10:53:36-0500,status_complete
AGENT-429,COMPLETE 2026-07-15T13:12:00-0500,status_complete
AGENT-428,COMPLETE 2026-07-15T12:58:00-0500,status_complete
AGENT-427,COMPLETE 2026-07-15T12:35:00-0500,status_complete
AGENT-426,COMPLETE 2026-07-15T12:04:00-0500,status_complete
AGENT-425,COMPLETE 2026-07-15T09:47:00-05:00,status_complete
AGENT-424,COMPLETE 2026-07-15T09:45:06-0500,status_complete
AGENT-423,COMPLETE 2026-07-15T11:18:00-05:00,status_complete
AGENT-422,COMPLETE 2026-07-15T11:22:00-05:00,status_complete
AGENT-421,COMPLETE 2026-07-15T10:44:00-05:00,status_complete
AGENT-420,COMPLETE 2026-07-15T09:38:45-05:00,status_complete
AGENT-419,COMPLETE 2026-07-15T09:41:32-05:00,status_complete
AGENT-418,COMPLETE 2026-07-15T09:25:07-0500,status_complete
AGENT-417,COMPLETE 2026-07-15T10:24:00-05:00,status_complete
AGENT-416,COMPLETE 2026-07-15T10:17:00-0500,status_complete
AGENT-415,COMPLETE 2026-07-15T10:07:00-0500,status_complete
AGENT-414,COMPLETE 2026-07-15T10:04:10-0500,status_complete
AGENT-413,COMPLETE 2026-07-15T09:46:00-05:00,status_complete
AGENT-412,COMPLETE 2026-07-15T09:26:00-05:00,status_complete
AGENT-411,COMPLETE 2026-07-15T09:00:00-0500,status_complete
AGENT-410,COMPLETE 2026-07-15T08:55:27-0500,status_complete
AGENT-409,COMPLETE 2026-07-15T09:02:46-05:00,status_complete
AGENT-408,COMPLETE 2026-07-15T09:03:00-05:00,status_complete
AGENT-407,COMPLETE 2026-07-15T08:34:28-0500,status_complete
AGENT-406,COMPLETE 2026-07-15T08:53:47-0500,status_complete
AGENT-405,COMPLETE 2026-07-15T08:28:23-0500,status_complete
AGENT-404,COMPLETE 2026-07-15T08:19:14-05:00,status_complete
AGENT-403,COMPLETE 2026-07-15T08:16:15-05:00,status_complete
AGENT-401,COMPLETE 2026-07-15T08:02:14-05:00,status_complete
AGENT-394,COMPLETE 2026-07-15T08:12:36-05:00,status_complete
AGENT-393,COMPLETE 2026-07-15T07:59:35-05:00,status_complete
AGENT-402,COMPLETE 2026-07-15T07:52:40-05:00,status_complete
AGENT-392,COMPLETE 2026-07-15T07:55:00-05:00,status_complete
AGENT-391,COMPLETE 2026-07-14T18:10:17-0500,status_complete
AGENT-375,COMPLETE 2026-07-14T19:15:00-05:00,status_complete
AGENT-374,COMPLETE 2026-07-14T19:18:00-05:00,status_complete
AGENT-373,COMPLETE/SUBMITTED 2026-07-14T17:57:00-05:00,status_complete
AGENT-372,COMPLETE 2026-07-14T17:55:52-0500,status_complete
AGENT-371,COMPLETE 2026-07-14T18:55:00-05:00,status_complete
AGENT-390,COMPLETE 2026-07-14T17:50:23-05:00,status_complete
AGENT-369,COMPLETE 2026-07-14T18:59:00-05:00,status_complete
AGENT-370,COMPLETE 2026-07-14T17:49:00-05:00,status_complete
AGENT-368,COMPLETE 2026-07-14T18:36:00-05:00,status_complete
AGENT-367,COMPLETE 2026-07-14T18:50:00-05:00,status_complete
AGENT-366,COMPLETE 2026-07-14T18:45:00-05:00,status_complete
AGENT-364,COMPLETE 2026-07-14T18:18:00-05:00,status_complete
AGENT-365,COMPLETE 2026-07-14T17:41:05-05:00,status_complete
AGENT-363,COMPLETE WITH EXTERNAL JOB PENDING 2026-07-14T17:33:00-05:00,status_complete
AGENT-362,COMPLETE 2026-07-14T17:30:00-05:00,status_complete
AGENT-361,COMPLETE 2026-07-14T17:48:00-05:00,status_complete
AGENT-360,COMPLETE 2026-07-14T17:39:07-0500,status_complete
