candidate_id,case_id,split_role,target_scope,model_form,fit_policy,drive_scaling_exponent,hA_W_K,salt2_fitted_drive_K,heater_source_W_setup,heater_source_ratio_to_salt2,predicted_loss_W,target_loss_W_for_scoring_only,error_W,abs_error_W,abs_error_pct,qoi_gate,runtime_input_violation_count,source_path
PB0_total_hA_constant_drive,salt_2,train,passive_total,Q_passive=sum(hA_setup)*DeltaT_train,fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,0,1.101116243,97.21234559,265.7,1,107.0420927,107.0420927,0,0,0,fit_row_not_generalization_scored,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB0_total_hA_constant_drive,salt_3,validation,passive_total,Q_passive=sum(hA_setup)*DeltaT_train,fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,0,1.1213662,97.21234559,297.5,1.119683854,109.0106386,122.0994302,-13.0887916,13.0887916,10.71978107,fail,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB0_total_hA_constant_drive,salt_4,holdout,passive_total,Q_passive=sum(hA_setup)*DeltaT_train,fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,0,1.149863648,97.21234559,337.6,1.270605947,111.7809423,141.1810184,-29.40007611,29.40007611,20.82438308,fail,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB1_total_hA_heater_power_drive_p1,salt_2,train,passive_total,Q_passive=sum(hA_setup)*DeltaT_train*(Q_heater/Q_heater_train),fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,1,1.101116243,97.21234559,265.7,1,107.0420927,107.0420927,0,0,0,fit_row_not_generalization_scored,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB1_total_hA_heater_power_drive_p1,salt_3,validation,passive_total,Q_passive=sum(hA_setup)*DeltaT_train*(Q_heater/Q_heater_train),fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,1,1.1213662,97.21234559,297.5,1.119683854,122.0574519,122.0994302,-0.04197824857,0.04197824857,0.03438038041,pass,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB1_total_hA_heater_power_drive_p1,salt_4,holdout,passive_total,Q_passive=sum(hA_setup)*DeltaT_train*(Q_heater/Q_heater_train),fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,1,1.149863648,97.21234559,337.6,1.270605947,142.02953,141.1810184,0.8485115954,0.8485115954,0.6010096859,pass,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB2_total_hA_heater_power_drive_p2,salt_2,train,passive_total,Q_passive=sum(hA_setup)*DeltaT_train*(Q_heater/Q_heater_train)^2,fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,2,1.101116243,97.21234559,265.7,1,107.0420927,107.0420927,0,0,0,fit_row_not_generalization_scored,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB2_total_hA_heater_power_drive_p2,salt_3,validation,passive_total,Q_passive=sum(hA_setup)*DeltaT_train*(Q_heater/Q_heater_train)^2,fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,2,1.1213662,97.21234559,297.5,1.119683854,136.6657582,122.0994302,14.566328,14.566328,11.92989024,fail,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
PB2_total_hA_heater_power_drive_p2,salt_4,holdout,passive_total,Q_passive=sum(hA_setup)*DeltaT_train*(Q_heater/Q_heater_train)^2,fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,2,1.149863648,97.21234559,337.6,1.270605947,180.4635654,141.1810184,39.28254701,39.28254701,27.82424114,fail,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
TS1_test_section_hA_constant_drive,salt_2,train,test_section,Q_TS=hA_TS_setup*DeltaT_train,fit one Salt2 drive scalar only; exponent is predeclared physics/sensitivity choice,0,0.091720624,61.9253973,265.7,1,5.679836082,5.679836082,0,0,0,fit_row_not_generalization_scored,0,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_segment_equivalents.csv
