candidate_id,case_key,case_role,span,Re,Ri,reverse_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,primary_classification,ordinary_f6_admission_status,hybrid_lane_status,fit_admissible_now,allowed_use_now,blocked_labels,missing_for_admission,reason,source_path
pm5:salt2_lo5q:left_lower_leg,salt2_lo5q,holdout,left_lower_leg,83.1101106,70.00886497,0.6177451405,0.5000044571,0.07456212539,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:test_section_span,salt2_lo5q,holdout,test_section_span,87.454516,45.11688157,0.3692928784,0.5000060995,0.001000505845,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:left_upper_leg,salt2_lo5q,holdout,left_upper_leg,85.86111594,23.79729264,0.7901396438,0.5000621677,0.7514234306,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_lower_leg,salt2_hi5q,holdout,left_lower_leg,94.87281344,54.20195191,0.6096763649,0.4999936722,0.07839203064,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:test_section_span,salt2_hi5q,holdout,test_section_span,100.0030491,78.04208245,0.3748113482,0.4999916556,0.001266755619,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_upper_leg,salt2_hi5q,holdout,left_upper_leg,98.26301912,108.7458056,0.785845516,0.5000672828,0.7572863617,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_lower_leg,salt4_lo5q,training,left_lower_leg,148.9247963,16.86404752,0.5466041262,0.5000026995,0.09664111627,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:test_section_span,salt4_lo5q,training,test_section_span,160.035202,29.72248589,0.3764033442,0.4999969289,0.003081481808,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_upper_leg,salt4_lo5q,training,left_upper_leg,153.2865418,25.44596167,0.7765350946,0.5000757768,0.7609112209,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_hi5q:left_lower_leg,salt4_hi5q,training,left_lower_leg,166.7382592,47.1734398,0.5228637749,0.4999749795,0.1060371437,recirculation_diagnostic,blocked_material_recirculation,future_hybrid_lane_candidate_not_admitted,no,pressure_onset_diagnostic,single_stream_f_D; ordinary_F6,pressure_residual_movement;wall_core_or_wall_bulk_deltaT;Gz;mesh_time_uncertainty;validation_holdout_score_over_F3,Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
