case_id,fluid_case_name,split_role,fit_allowed,model_selection_allowed,score_allowed,fluid_adapter_status,release_gate,source_path
salt_1,Salt 1,train_nominal_loso,yes,yes,yes,executable_nominal_fluid_case,none,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
salt_2,Salt 2,train_nominal_loso,yes,yes,yes,executable_nominal_fluid_case,none,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
salt_3,Salt 3,nominal_holdout_loso,no,no,yes,executable_nominal_fluid_case,none,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
salt_4,Salt 4,train_nominal_loso,yes,yes,yes,executable_nominal_fluid_case,none,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py
salt2_lo5q,,blind_holdout_pm5q,no,no,yes,blocked_no_fluid_case_adapter,score_pending_no_fluid_case_adapter,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;work_products/2026-07/2026-07-17/2026-07-17_salt2_pm5q_val_salt2_readiness_ledger;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress
salt2_hi5q,,blind_holdout_pm5q,no,no,yes,blocked_no_fluid_case_adapter,score_pending_no_fluid_case_adapter,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;work_products/2026-07/2026-07-17/2026-07-17_salt2_pm5q_val_salt2_readiness_ledger;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress
val_salt2,,blind_external_val_salt2,no,no,yes,blocked_no_fluid_case_adapter,score_pending_no_fluid_case_adapter,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy;work_products/2026-07/2026-07-17/2026-07-17_salt2_pm5q_val_salt2_readiness_ledger;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress
salt2_lo10q,,future_holdout_or_external,no,no,deferred,future_not_available,future_cfd_or_adapter_not_available,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy
salt2_hi10q,,future_holdout_or_external,no,no,deferred,future_not_available,future_cfd_or_adapter_not_available,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy
salt4_lo10q,,future_holdout_or_external,no,no,deferred,future_not_available,future_cfd_or_adapter_not_available,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy
salt4_hi10q,,future_holdout_or_external,no,no,deferred,future_not_available,future_cfd_or_adapter_not_available,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy
new_cfd_pm10_matrix,,future_holdout_or_external,no,no,deferred,future_not_available,future_cfd_or_adapter_not_available,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy
