row_id,case_id,name,loss_class,span_or_feature,pressure_basis,velocity_basis,fit_use_status,coefficient_naming_status,readiness_status,blocking_fields,priority,recommended_next_action,allowed_use_now,forbidden_use,source_path
named_pressure:001,salt_2,branch_apparent:lower_leg,branch_apparent,lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,reject_universal_name,diagnostic_or_section_effective_only,recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:002,salt_2,branch_apparent:right_leg,branch_apparent,right_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,candidate_pending_other_gates,extraction_required_branch_or_straight,same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,3,"Repair pressure/velocity basis, geometry normalization, straight-loss/development basis, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:003,salt_2,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,not_fit_recirculation,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:004,salt_2,straight_section:test_section_span,straight_section,test_section_span,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,candidate_pending_other_gates,extraction_required_branch_or_straight,same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,3,"Repair pressure/velocity basis, geometry normalization, straight-loss/development basis, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:005,salt_2,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,not_fit_recirculation,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:006,salt_2,branch_apparent:upper_leg,branch_apparent,upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,reject_universal_name,diagnostic_or_section_effective_only,recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:007,salt_3,branch_apparent:lower_leg,branch_apparent,lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,reject_universal_name,diagnostic_or_section_effective_only,recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:008,salt_3,branch_apparent:right_leg,branch_apparent,right_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,candidate_pending_other_gates,extraction_required_branch_or_straight,same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,3,"Repair pressure/velocity basis, geometry normalization, straight-loss/development basis, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:009,salt_3,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,not_fit_recirculation,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:010,salt_3,straight_section:test_section_span,straight_section,test_section_span,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,candidate_pending_other_gates,extraction_required_branch_or_straight,same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,3,"Repair pressure/velocity basis, geometry normalization, straight-loss/development basis, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:011,salt_3,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,not_fit_recirculation,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:012,salt_3,branch_apparent:upper_leg,branch_apparent,upper_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,reject_universal_name,diagnostic_or_section_effective_only,recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:013,salt_4,branch_apparent:lower_leg,branch_apparent,lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,reject_universal_name,diagnostic_or_section_effective_only,recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:014,salt_4,branch_apparent:right_leg,branch_apparent,right_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,fit_target,candidate_pending_other_gates,extraction_required_branch_or_straight,same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,3,"Repair pressure/velocity basis, geometry normalization, straight-loss/development basis, and UQ.",diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:015,salt_4,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,debuoyed_total_pressure_proxy_from_pressure_term_ledger,q_ref_pa_from_pressure_ledger,not_fit_recirculation,reject_universal_name,diagnostic_or_section_effective_only,not_fit_status;recirculation_or_universal_name_rejected;same_qoi_mesh_gci_missing;pressure_basis_proxy_not_final;velocity_basis_needs_final_definition,4,Keep section-effective/diagnostic label; wait for low-reverse terminal anchor.,diagnostic_pressure_ledger_or_extraction_design,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
