job_id,job_name,watch_lane,state,elapsed,time_limit,exit_code,node_or_reason,monitor_decision,next_action
3299610,salt4_q3x_probe,high_heat_q3x_probe,TIMEOUT,5-00:00:25,5-00:00:00,0:0,,timeout_no_harvest_trigger,separate_timeout_disposition_or_recovery_row_required
3299610.batch,batch,high_heat_q3x_probe,CANCELLED,5-00:00:25,5-00:00:00,0:15,,timeout_cancelled_step_context,no_action_from_monitor
3299610.0,foamRun,high_heat_q3x_probe,CANCELLED,4-23:50:12,5-00:00:00,0:15,,timeout_cancelled_step_context,no_action_from_monitor
3299620,salt4_heat_pack,high_heat_pack,TIMEOUT,5-00:00:08,5-00:00:00,0:0,,timeout_no_harvest_trigger,separate_timeout_disposition_or_recovery_row_required
3299620.batch,batch,high_heat_pack,CANCELLED,5-00:00:08,5-00:00:00,0:15,,timeout_cancelled_step_context,no_action_from_monitor
3299620.0,foamRun,high_heat_pack,CANCELLED,4-23:43:09,5-00:00:00,0:15,,timeout_cancelled_step_context,no_action_from_monitor
3299620.1,foamRun,high_heat_pack,CANCELLED,4-23:43:09,5-00:00:00,0:15,,timeout_cancelled_step_context,no_action_from_monitor
3299620.2,foamRun,high_heat_pack,CANCELLED,4-23:43:09,5-00:00:00,0:15,,timeout_cancelled_step_context,no_action_from_monitor
3307441,saltq_sel36_cont,corrected_q_selected_continuation,RUNNING,09:26:50,1-12:00:00,0:0,c318-020,not_terminal_no_trigger,keep_monitoring_before_S9_S13_corrected_Q_source_family_harvest
3307441.batch,batch,corrected_q_selected_continuation,RUNNING,09:26:50,1-12:00:00,0:0,,not_terminal_no_trigger,keep_monitoring
3307441.0,foamRun,corrected_q_selected_continuation,RUNNING,09:26:25,1-12:00:00,0:0,,not_terminal_no_trigger,keep_monitoring
3307441.1,foamRun,corrected_q_selected_continuation,RUNNING,09:26:25,1-12:00:00,0:0,,not_terminal_no_trigger,keep_monitoring
3307441.2,foamRun,corrected_q_selected_continuation,RUNNING,09:26:25,1-12:00:00,0:0,,not_terminal_no_trigger,keep_monitoring
3307441.3,foamRun,corrected_q_selected_continuation,RUNNING,09:26:25,1-12:00:00,0:0,,not_terminal_no_trigger,keep_monitoring
