case_key,run_key,q_ratio,canonical_split_role,section_bucket,patch_count,setup_imposed_net_to_fluid_W,setup_source_component_W,setup_removal_component_W,bc_types,thermal_roles,realized_wallHeatFlux_status,runtime_model_use,fit_allowed,score_allowed,admission_status,source_path
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,heater,3,232.3,232.3,0.0,rcExternalTemperature,heater_source,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,admitted_setup_source_sink_schema,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,cooler_HX,3,-135.60317784657133,0.0,135.60317784657133,externalTemperature,cooler_HX_removal;cooler_or_reducer_removal,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,admitted_setup_source_sink_schema,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,passive_wall,33,0.0,0.0,0.0,rcExternalTemperature;zeroGradient,passive_wall_rcExternalTemperature;thermal_constraint_or_coupled_wall,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,diagnostic_setup_metadata_realized_heat_not_reduced,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,test_section,1,37.0,37.0,0.0,rcExternalTemperature,heater_source_test_section,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,admitted_setup_source_sink_schema,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,junction,29,0.0,0.0,0.0,externalTemperature;rcExternalTemperature;zeroGradient,passive_wall_externalTemperature;passive_wall_rcExternalTemperature;thermal_constraint_or_coupled_wall,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,diagnostic_setup_metadata_realized_heat_not_reduced,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_nominal,salt1_jin_nominal_continuation_corrected,1.00,final_training,total_setup_check,69,133.69682215342868,,,case_sum_check,case_sum_check,not_a_realized_heat_balance,check_only,no,diagnostic,check_only,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,heater,3,209.07,209.07,0.0,rcExternalTemperature,heater_source,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,admitted_setup_source_sink_schema,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,cooler_HX,3,-122.0428600619,0.0,122.0428600619,externalTemperature,cooler_HX_removal;cooler_or_reducer_removal,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,admitted_setup_source_sink_schema,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,passive_wall,33,0.0,0.0,0.0,rcExternalTemperature;zeroGradient,passive_wall_rcExternalTemperature;thermal_constraint_or_coupled_wall,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,diagnostic_setup_metadata_realized_heat_not_reduced,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,test_section,1,37.0,37.0,0.0,rcExternalTemperature,heater_source_test_section,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,admitted_setup_source_sink_schema,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
salt1_lo10q,salt1_jin_lo10q_corrected,0.90,training_support,junction,29,0.0,0.0,0.0,externalTemperature;rcExternalTemperature;zeroGradient,passive_wall_externalTemperature;passive_wall_rcExternalTemperature;thermal_constraint_or_coupled_wall,not_reduced_in_this_package,setup_boundary_metadata_allowed_realized_heat_scoring_only,yes,yes,diagnostic_setup_metadata_realized_heat_not_reduced,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/salt1_terminal_patch_bc_role_table.csv
