case_key,case_id,split_role,time_s,time_window_s,harvest_package,harvest_task,harvest_job_id,native_case_path,loop_branch_order_index,cfd_span,physical_location_label,loop_region,one_d_parent_segment,one_d_component_segments,one_d_role,station_count,flow_start_station_label,flow_end_station_label,arithmetic_mean_p_Pa,face_count_weighted_mean_p_Pa,min_mean_p_Pa,max_mean_p_Pa,flow_end_minus_start_p_Pa,arithmetic_mean_p_rgh_Pa,face_count_weighted_mean_p_rgh_Pa,min_mean_p_rgh_Pa,max_mean_p_rgh_Pa,flow_end_minus_start_p_rgh_Pa,max_reverse_area_fraction_proxy,mean_reverse_area_fraction_proxy,flow_order_note,length_basis_note,admission_caveat,admission_status,fit_eligible,mapping_status,source_path,canonical_split_role,pressure_model_use,runtime_pressure_allowed
salt1_hi10q,salt_1,training_perturbation,5587,4987-5587,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,0,lower_leg,heater / bottom heated incline,heater,heated_incline,heated_incline,heater,5,lower_leg__s04,lower_leg__s00,-6396.3015866999995,-6193.564703864237,-9855.98677,-458.7725175,-7138.2732375000005,-0.9735394718000001,-1.93917474360694,-5.635854868,4.006055462,-0.35669767699999966,0.5405797101,0.39383528830000003,CFD span lower_leg is the heater; actual flow is s04 -> s00.,CFD mesh PCA span length differs from Fluid 1D physical 36 in heated_incline length.,Salt1 +10%Q training candidate with documented conflict-resolution caveat; pressure ladder diagnostic until gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_hi10q,salt_1,training_perturbation,5587,4987-5587,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,1,left_lower_leg,lower upcomer below test section,upcomer,left_lower_vertical,left_lower_vertical,upcomer,5,left_lower_leg__s00,left_lower_leg__s04,-3313.2517757200003,-3313.2517757200003,-5682.463482,-943.8081996,-4738.6552824,-8.1092862158,-8.109286215800001,-8.55994987,-7.717691341,-0.8422585290000004,0.6597222222,0.65347222222,Upcomer-side ladder is reported in increasing station order along the loop path.,CFD mesh PCA span and Fluid 1D left_lower_vertical lengths use different geometric bases.,Salt1 +10%Q training candidate with documented conflict-resolution caveat; pressure ladder diagnostic until gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_hi10q,salt_1,training_perturbation,5587,4987-5587,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,2,test_section_span,test section / middle upcomer,upcomer_test_section,test_section,test_section,test_section,5,test_section_span__s00,test_section_span__s04,-8698.2545994,-8698.2545994,-10615.45873,-6783.473314,3831.9854160000004,-9.1751357958,-9.1751357958,-9.640126819,-8.422916097,0.9536675569999993,0.3532818533,0.33590733592,Test-section span is the 1D quartz test_section in the upcomer path.,CFD extracted span length differs from Fluid 1D test_section length.,Salt1 +10%Q training candidate with documented conflict-resolution caveat; pressure ladder diagnostic until gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_hi10q,salt_1,training_perturbation,5587,4987-5587,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,3,left_upper_leg,upper upcomer above test section,upcomer,left_upper_vertical,left_upper_vertical,upcomer,5,left_upper_leg__s00,left_upper_leg__s04,-14565.772423999999,-15127.887328293642,-17332.06571,-11790.79739,-5541.268319999999,-10.84153205056,-10.417571348508908,-30.30760926,-0.8964578268,-20.277288900000002,0.85,0.77377782158,Upper upcomer ladder is reported in increasing station order along the loop path.,CFD mesh PCA span and Fluid 1D left_upper_vertical lengths use different geometric bases.,Salt1 +10%Q training candidate with documented conflict-resolution caveat; pressure ladder diagnostic until gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_hi10q,salt_1,training_perturbation,5587,4987-5587,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,4,upper_leg,cooled leg / top cooled incline,cooler,cooled_incline_composite,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,cooler_hx_path,5,upper_leg__s00,upper_leg__s04,-7398.5374638,-7526.315970881442,-13246.8819,-3865.648157,7005.220513,-6.2308614514,-10.674237163409416,-21.67413117,3.978470287,25.652601457,0.5783308931,0.50506192894,CFD upper_leg is the cooled top path and maps to the Fluid top/HX composite.,Composite Fluid length is top inlet + three 12 in cooled/HX segments + top exit.,Salt1 +10%Q training candidate with documented conflict-resolution caveat; pressure ladder diagnostic until gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_hi10q,salt_1,training_perturbation,5587,4987-5587,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,5,right_leg,right downcomer / cold vertical return,downcomer,right_vertical,right_vertical,downcomer,5,right_leg__s00,right_leg__s04,-4446.6702335,-2950.191210712027,-11529.06229,2630.106141,-14159.168431,-7.9114007672,-7.270251327687182,-9.622856933,-4.856641649,-4.766215283999999,0.6736111111,0.5686186186000001,CFD span right_leg is the downcomer; actual flow is top-to-bottom s00 -> s04.,CFD mesh PCA span length differs from Fluid 1D physical 36 in right_vertical length.,Salt1 +10%Q training candidate with documented conflict-resolution caveat; pressure ladder diagnostic until gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_lo10q,salt_1,training_perturbation,8016,7416-8016,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,0,lower_leg,heater / bottom heated incline,heater,heated_incline,heated_incline,heater,5,lower_leg__s04,lower_leg__s00,-6416.36895016,-6212.976344423316,-9886.117376,-461.1719038,-7159.7695772,-2.8036814214,-3.442010821547457,-7.585453394,1.371604629,-1.2464320610000001,0.5405797101,0.39352016224,CFD span lower_leg is the heater; actual flow is s04 -> s00.,CFD mesh PCA span length differs from Fluid 1D physical 36 in heated_incline length.,Salt1 -10%Q training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_lo10q,salt_1,training_perturbation,8016,7416-8016,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,1,left_lower_leg,lower upcomer below test section,upcomer,left_lower_vertical,left_lower_vertical,upcomer,5,left_lower_leg__s00,left_lower_leg__s04,-3324.4176043400003,-3324.41760434,-5700.915277,-947.7160637,-4753.1992133,-8.8837845386,-8.883784538599999,-9.162019491,-8.756232845,-0.40578664600000103,0.6701388889,0.6642361111,Upcomer-side ladder is reported in increasing station order along the loop path.,CFD mesh PCA span and Fluid 1D left_lower_vertical lengths use different geometric bases.,Salt1 -10%Q training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_lo10q,salt_1,training_perturbation,8016,7416-8016,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,2,test_section_span,test section / middle upcomer,upcomer_test_section,test_section,test_section,test_section,5,test_section_span__s00,test_section_span__s04,-8725.4663492,-8725.4663492,-10648.17629,-6805.19383,3842.9824599999993,-11.1262668602,-11.1262668602,-12.83108837,-9.172042261,1.6502344090000012,0.444015444,0.40115830114,Test-section span is the 1D quartz test_section in the upcomer path.,CFD extracted span length differs from Fluid 1D test_section length.,Salt1 -10%Q training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_lo10q,salt_1,training_perturbation,8016,7416-8016,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,3,left_upper_leg,upper upcomer above test section,upcomer,left_upper_vertical,left_upper_vertical,upcomer,5,left_upper_leg__s00,left_upper_leg__s04,-14610.387998,-15174.19561665104,-17385.20091,-11827.0445,-5558.15641,-11.485901574,-11.184148475532533,-28.88938067,-2.516222587,-17.99869141,0.8461538462,0.7653006713,Upper upcomer ladder is reported in increasing station order along the loop path.,CFD mesh PCA span and Fluid 1D left_upper_vertical lengths use different geometric bases.,Salt1 -10%Q training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_lo10q,salt_1,training_perturbation,8016,7416-8016,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,4,upper_leg,cooled leg / top cooled incline,cooler,cooled_incline_composite,top_horizontal_inlet;cooled_incline_pre_hx;cooled_incline_hx_active;cooled_incline_post_hx;top_horizontal_exit,cooler_hx_path,5,upper_leg__s00,upper_leg__s04,-7421.8124282,-7550.062648122808,-13287.98694,-3878.499177,7026.787945000001,-7.88761457844,-11.884332929389545,-22.14828729,1.468637053,23.616924342999997,0.5783308931,0.50627540296,CFD upper_leg is the cooled top path and maps to the Fluid top/HX composite.,Composite Fluid length is top inlet + three 12 in cooled/HX segments + top exit.,Salt1 -10%Q training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_lo10q,salt_1,training_perturbation,8016,7416-8016,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,5,right_leg,right downcomer / cold vertical return,downcomer,right_vertical,right_vertical,downcomer,5,right_leg__s00,right_leg__s04,-4461.15020102,-2960.1834536543197,-11564.53801,2636.83809,-14201.376100000001,-9.1193579406,-8.484569469810276,-11.16505951,-6.161343951,-4.472343649,0.6701388889,0.5535580223,CFD span right_leg is the downcomer; actual flow is top-to-bottom s00 -> s04.,CFD mesh PCA span length differs from Fluid 1D physical 36 in right_vertical length.,Salt1 -10%Q training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,training_support,diagnostic_target_only_not_fit_admitted,false
salt1_nominal,salt_1,training,7884,7284-7884,AGENT-447_expanded_salt_pressure_ladder_8pm_sbatch,AGENT-447,3297863,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,0,lower_leg,heater / bottom heated incline,heater,heated_incline,heated_incline,heater,5,lower_leg__s04,lower_leg__s00,-6396.56219344,-6193.801802741912,-9856.256045,-458.8789392,-7138.5613118,-1.3076402034,-2.1087201473818613,-5.930805731,3.207741707,-0.5534373980000007,0.5405797101,0.39362520426000003,CFD span lower_leg is the heater; actual flow is s04 -> s00.,CFD mesh PCA span length differs from Fluid 1D physical 36 in heated_incline length.,Salt1 training candidate; pressure ladder diagnostic until mesh/GCI and pressure gates admit,diagnostic_station_pressure_ladder_not_fit_admitted,no,label_locked_reference_mapping,work_products/2026-07/2026-07-15/2026-07-15_expanded_salt_pressure_ladder_8pm_sbatch/station_pressure_ladder.csv,final_training,diagnostic_target_only_not_fit_admitted,false
