row_id,case_key,segment,classification,anchor_status,Re,Ri_median,backflow_fraction,reverse_area_fraction,reverse_mass_fraction,source_path
mainline_onset:salt_2_jin,salt_2_jin,upcomer,recirculation_diagnostic,not_anchor_recirculating,71.12521667906103,2.6337849550000003,0.2777777777777778,,,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
mainline_onset:salt_3_jin,salt_3_jin,upcomer,recirculation_diagnostic,not_anchor_recirculating,96.7702467137881,2.39573092,0.21875,,,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
mainline_onset:salt_4_jin,salt_4_jin,upcomer,recirculation_diagnostic,not_anchor_recirculating,134.88326391686644,1.4979865399999999,0.171875,,,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv
f6_inventory:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,83.1101106,70.00886497,,0.6177451405,0.5000044571,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,87.454516,45.11688157,,0.3692928784,0.5000060995,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,85.86111594,23.79729264,,0.7901396438,0.5000621677,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,94.87281344,54.20195191,,0.6096763649,0.4999936722,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,100.0030491,78.04208245,,0.3748113482,0.4999916556,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,98.26301912,108.7458056,,0.785845516,0.5000672828,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_lo5q:left_lower_leg,salt4_lo5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,148.9247963,16.86404752,,0.5466041262,0.5000026995,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
