source_package,candidate_id,wall_candidate_id,candidate_family,case_id,split_role,mdot_delta_vs_m3_pct,tp_delta_vs_m3_K,tw_delta_vs_m3_K,all_probe_delta_vs_m3_K,shape_regression_flag,data_limit,source_paths,candidate_tp_rmse_K,candidate_tw_rmse_K,candidate_all_probe_rmse_K
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_LUMPED_UA_NTU,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_3,validation,-15.30044216,13.50637904,42.19543028,35.54346998,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_LUMPED_UA_NTU,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_4,holdout,-12.53449916,28.25992615,48.88272981,43.57974726,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_SEGMENTED_UA_NTU_N16,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_3,validation,-15.30630376,13.49635375,42.21002957,35.55343815,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_SEGMENTED_UA_NTU_N16,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_4,holdout,-12.53908742,28.25124294,48.89276027,43.58558425,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_SEGMENTED_UA_NTU_N4,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_3,validation,-15.30596149,13.49693971,42.20917525,35.55285468,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_SEGMENTED_UA_NTU_N4,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_4,holdout,-12.53881937,28.25175041,48.89217311,43.58524236,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_SEGMENTED_UA_NTU_N8,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_3,validation,-15.30623496,13.49647089,42.20985875,35.55332148,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-494_PB1_coupled_admission,PB1_PLUS_HX_SEGMENTED_UA_NTU_N8,PB1_total_hA_heater_power_drive_p1,PB1_passive_total,salt_4,holdout,-12.53903501,28.25134432,48.89264287,43.58551587,mdot_improves_temperature_regresses,PB1 row is inherited AGENT-494 evidence copied into AGENT-498 audit.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/probe_shape_regression_audit.csv,,,
AGENT-498_local_distribution_ladder,PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,PB2_salt2_local_shape_passive_hA_p1,PB2_salt2_shape,salt_3,validation,-15.64535145,,42.39586766,35.4599137,mdot_improves_temperature_regresses,AGENT-498 delta table reports all-probe/TW deltas but not TP delta for PB2/PB3.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/coupled_scorecard.csv,26.02072192,61.72786766,53.2089137
AGENT-498_local_distribution_ladder,PB2_salt2_local_shape_passive_hA_p1_PLUS_HX_LUMPED_UA_NTU,PB2_salt2_local_shape_passive_hA_p1,PB2_salt2_shape,salt_4,holdout,-12.85262822,,48.71908999,43.11664296,mdot_improves_temperature_regresses,AGENT-498 delta table reports all-probe/TW deltas but not TP delta for PB2/PB3.,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_distribution_ladder/coupled_scorecard.csv,39.70861231,67.34208999,60.08764296
