candidate_id,case_id,split_role,sensor,kind,predicted_K,target_K,error_K,abs_error_K,prediction_source_segment,prediction_source_fraction,validation_excluded,source_path
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP1,TP,430.0650053,453.26,-23.19499472,23.19499472,top_horizontal_exit,1,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP2,TP,nan,446.63,,,,nan,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP3,TP,439.2065114,446.67,-7.463488578,7.463488578,left_lower_vertical,0,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP4,TP,438.7380377,449.74,-11.00196231,11.00196231,left_lower_vertical,1,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP5,TP,439.6693059,451.64,-11.97069413,11.97069413,test_section,1,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP6,TP,433.4686421,456.72,-23.25135788,23.25135788,left_upper_vertical,1,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW1,TW,429.0055879,443.86,-14.85441208,14.85441208,right_vertical,0.25,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW10,TW,575.7034804,389.74,185.9634804,185.9634804,cooled_incline_hx_active,0.5,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW11,TW,429.5557721,448.41,-18.85422787,18.85422787,cooled_incline_post_hx,0.25,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
WTD1_upcomer_test_section_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW2,TW,428.6356019,445.08,-16.44439811,16.44439811,right_vertical,0.5,no,Fluid build_validation_table with AGENT-513 wall-temperature-drive scenario
