candidate_id,case_id,split_role,sensor,kind,predicted_K,target_K,error_K,abs_error_K,prediction_source_segment,prediction_source_fraction,validation_excluded,source_path
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP1,TP,407.5364691,453.26,-45.72353091,45.72353091,top_horizontal_exit,1,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP2,TP,nan,446.63,,,,nan,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP3,TP,417.1957301,446.67,-29.47426995,29.47426995,left_lower_vertical,0,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP4,TP,416.703804,449.74,-33.03619603,33.03619603,left_lower_vertical,1,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP5,TP,418.0864707,451.64,-33.55352928,33.55352928,test_section,1,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TP6,TP,411.1946217,456.72,-45.52537826,45.52537826,left_upper_vertical,1,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW1,TW,406.567268,443.86,-37.29273198,37.29273198,right_vertical,0.25,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW10,TW,529.3424481,389.74,139.6024481,139.6024481,cooled_incline_hx_active,0.5,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW11,TW,407.150435,448.41,-41.25956503,41.25956503,cooled_incline_post_hx,0.25,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW2,TW,406.1985334,445.08,-38.88146665,38.88146665,right_vertical,0.5,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW3,TW,406.0056826,443.57,-37.56431744,37.56431744,right_vertical,0.75,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,salt_2,train,TW4,TW,408.4565699,445.49,-37.03343014,37.03343014,heated_incline,0.25,no,Fluid build_validation_table with AGENT-522 wall thermal-circuit scenario
