artifact,row_number,case_id,fit_or_admission_trigger,original_label_status,missing_original_labels,label_enforcement_status,enforced_fit_or_admission_allowed,enforced_block_reason,property_mode,property_sensitivity_label,source_validity_envelope_status,source_use_category,provenance_author_title,source_property_label_coverage,source_property_gate_status,source_paths
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,1,salt_2,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,2,salt_2,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,4,salt_2,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,6,salt_2,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,7,salt_3,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,8,salt_3,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,10,salt_3,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,12,salt_3,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,13,salt_4,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv,14,salt_4,fit_use_status=fit_target,original_missing_labels,property_mode;property_sensitivity_label;source_validity_envelope_status;source_use_category,pass_labels_complete,no,blocked_until_source_property_labels_and_gate_are_available,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,mixed_or_outside_envelope_label_required,diagnostic_gate;method_reference_pending_characteristic_length_conversion;reference_or_outside_if_laminar;source_bounded_active_candidate_only_if_inside,"Patino-Jaramillo et al., Laminar Flow and Pressure Loss in Planar Tee Joints: Numerical Simulations and Flow Analysis; Podila et al., Modelling of Heat Transfer in a Molten Salt Loop Using Computational Fluid Dynamics",source_property_labels_available,pass_source_property_labels_available,work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv
