field,loader_accepts_field,matched_real_hook_terms,classification,reason,source_path
name,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
ambient_temperature_K,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
insulation_thickness_in,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
radiation_on,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
model_mode,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
imposed_qhx_W,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
hx_ua_multiplier,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
air_flow_Lpm,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
air_inlet_temperature_K,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
air_counterflow,true,,unrelated_scenario_field,does not expose upcomer mixing or stratification controls,/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py
