case_id,candidate_id,engine,probe_group,n_sensors,mean_abs_error_K,max_abs_error_K,target_join_policy,admission_status
salt_2,UMX1_disabled_baseline,fast_scan,all_experimental,16,94.5963440643,148.204418304,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_disabled_baseline,fast_scan,tp,5,93.7652352028,100.151022112,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_disabled_baseline,fast_scan,tw,11,94.9741208196,148.204418304,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_disabled_baseline,fast_scan,umx_focus_segments,6,94.0678555854,100.151022112,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p01,fast_scan,all_experimental,16,94.9491862971,148.557384169,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p01,fast_scan,tp,5,94.1210190749,100.50010195,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p01,fast_scan,tw,11,95.3256259436,148.557384169,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p01,fast_scan,umx_focus_segments,6,94.4213685459,100.50010195,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p05,fast_scan,all_experimental,16,96.2374942646,149.846036065,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p05,fast_scan,tp,5,95.4203391679,101.774416048,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p05,fast_scan,tw,11,96.6089283994,149.846036065,experimental targets joined after solve only,not_admitted_smoke_only
salt_2,UMX1_exchange_0p05,fast_scan,umx_focus_segments,6,95.7124616866,101.774416048,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_disabled_baseline,fast_scan,all_experimental,16,85.9297925373,141.977500849,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_disabled_baseline,fast_scan,tp,5,84.8255437968,90.47,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_disabled_baseline,fast_scan,tw,11,86.4317237829,141.977500849,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_disabled_baseline,fast_scan,umx_focus_segments,6,85.3585750354,90.47,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p01,fast_scan,all_experimental,16,85.9445245896,141.996280283,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p01,fast_scan,tp,5,84.8360332377,90.47,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p01,fast_scan,tw,11,86.448384295,141.996280283,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p01,fast_scan,umx_focus_segments,6,85.3665997847,90.47,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p05,fast_scan,all_experimental,16,85.9977412331,142.063848251,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p05,fast_scan,tp,5,84.8742557724,90.47,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p05,fast_scan,tw,11,86.5084164426,142.063848251,experimental targets joined after solve only,not_admitted_smoke_only
salt_3,UMX1_exchange_0p05,fast_scan,umx_focus_segments,6,85.3960358913,90.47,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_disabled_baseline,fast_scan,all_experimental,16,70.5987132438,131.317517513,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_disabled_baseline,fast_scan,tp,5,69.1972417113,74.02,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_disabled_baseline,fast_scan,tw,11,71.2357457587,131.317517513,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_disabled_baseline,fast_scan,umx_focus_segments,6,69.5998960372,74.02,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p01,fast_scan,all_experimental,16,70.6134491495,131.336302057,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p01,fast_scan,tp,5,69.2077340684,74.02,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p01,fast_scan,tw,11,71.2524105499,131.336302057,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p01,fast_scan,umx_focus_segments,6,69.6079230532,74.02,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p05,fast_scan,all_experimental,16,70.6666795828,131.403888233,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p05,fast_scan,tp,5,69.2459671576,74.02,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p05,fast_scan,tw,11,71.3124579578,131.403888233,experimental targets joined after solve only,not_admitted_smoke_only
salt_4,UMX1_exchange_0p05,fast_scan,umx_focus_segments,6,69.6373674185,74.02,experimental targets joined after solve only,not_admitted_smoke_only
