field,value
fluid_task,impl-2026-07-20-fluid-amx1-localized-form-smoke
fluid_campaign,amx1_salt2_localized_form_smoke_v1
audit_result,localized_smoke_complete_diagnostic_only
progression,localized_forms_need_revision_before_salt1_4
rows_scanned,5
baseline_rows,1
amx1_rows,4
pair_complete_all_forms,true
all_roots_pass,true
amx1_ledgers_nonzero,true
amx1_ledgers_conservative,true
forms_ready_for_separate_salt1_4_bounded_comparison,none
score_grid_run,false
salt1_4_expansion_run,false
fit_or_model_selection_run,false
scientific_admission_change,none
native_cfd_outputs_mutated,false
registry_mutated,false
scheduler_action,none
