field,value
fluid_task,impl-2026-07-20-fluid-amx1-salt1-4-bounded-comparison
fluid_campaign,amx1_salt1_4_bounded_nominal_v1
audit_result,bounded_comparison_complete_diagnostic_only
candidate_progression,needs_form_revision_before_scorecard
rows_scanned,8
amx1_rows,4
expected_cases_present,true
pair_complete_all_cases,true
all_roots_pass,true
amx1_ledgers_nonzero,true
amx1_ledgers_conservative,true
all_core_metrics_nonworse,false
worsened_core_metrics,all_rmse_K;tp_rmse_K;tw_rmse_K;tw_no_tw10_rmse_K
score_grid_run,false
fit_or_model_selection_run,false
scientific_admission_change,none
native_cfd_outputs_mutated,false
registry_mutated,false
scheduler_action,none
