row_id,case_key,source_family,span,RAF,RMF,Ri,SVF,regime_label,ordinary_anchor_candidate,transition_anchor_candidate,recirculation_diagnostic,fit_allowed_now,evidence_gap
PM10-salt2_lo10q,salt2_lo10q,PM10_matched_plane,upcomer_aggregate,0.7944465671,0.5000715431,217.4345548,0.7447560289,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM10-salt2_hi10q,salt2_hi10q,PM10_matched_plane,upcomer_aggregate,0.7813144941,0.500075367,248.2740557,0.7605464991,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM10-salt4_lo10q,salt4_lo10q,PM10_matched_plane,upcomer_aggregate,0.7773255016,0.5000774656,117.9248474,0.7658690809,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM10-salt4_hi10q,salt4_hi10q,PM10_matched_plane,upcomer_aggregate,0.7718036567,0.5001069481,245.0185386,0.7631509509,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM5-salt2_hi5q-left_lower_leg,salt2_hi5q,PM5_feature_scorecard,left_lower_leg,0.6096763649,0.4999936722,54.20195191,0.07839203064,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM5-salt2_hi5q-test_section_span,salt2_hi5q,PM5_feature_scorecard,test_section_span,0.3748113482,0.4999916556,78.04208245,0.001266755619,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM5-salt2_hi5q-left_upper_leg,salt2_hi5q,PM5_feature_scorecard,left_upper_leg,0.785845516,0.5000672828,108.7458056,0.7572863617,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM5-salt2_lo5q-left_lower_leg,salt2_lo5q,PM5_feature_scorecard,left_lower_leg,0.6177451405,0.5000044571,70.00886497,0.07456212539,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM5-salt2_lo5q-test_section_span,salt2_lo5q,PM5_feature_scorecard,test_section_span,0.3692928784,0.5000060995,45.11688157,0.001000505845,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
PM5-salt2_lo5q-left_upper_leg,salt2_lo5q,PM5_feature_scorecard,left_upper_leg,0.7901396438,0.5000621677,23.79729264,0.7514234306,recirculation_diagnostic,false,false,true,false,needs nonrecirculating_or_near_onset_anchor_and_same_window_UQ
