segment_name,parent_name,parent_start_fraction,parent_end_fraction,refinement_level,segment_type,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,q_ambient_W_per_m,h_inner_W_m2K,h_outer_W_m2K,h_rad_W_m2K,reynolds_inner,prandtl_inner,nusselt_inner,h_inner_multiplier,profile_descriptor_htc_signal,profile_descriptor_friction_signal,profile_descriptor_developing_signal,profile_descriptor_htc_shape_signal,profile_descriptor_friction_shape_signal,profile_descriptor_htc_shape_contribution,profile_descriptor_htc_developing_contribution,profile_descriptor_friction_shape_contribution,profile_descriptor_friction_developing_contribution,profile_descriptor_source_kind,profile_descriptor_source_case_id,profile_descriptor_reference_path,profile_descriptor_section_id,profile_descriptor_section_label,profile_descriptor_htc_multiplier,profile_descriptor_friction_multiplier,outer_conv_multiplier,outer_rad_multiplier,outer_insulation_multiplier,R_i_prime_K_m_W,R_wall_prime_K_m_W,R_ins_prime_K_m_W,R_o_prime_K_m_W,R_total_prime_K_m_W,T_pipe_outer_wall_K,T_outer_surface_K,external_boundary_source,external_boundary_drive_selector,external_ambient_temperature_K,external_surroundings_temperature_K,external_emissivity,external_prescribed_h_W_m2K,external_boundary_coverage_multiplier,upcomer_exchange_Q_main_to_reservoir_W,upcomer_exchange_Q_reservoir_to_main_W,upcomer_reservoir_setup_heat_W,upcomer_exchange_reservoir_energy_residual_W,upcomer_main_stream_temperature_K,upcomer_reservoir_temperature_K,upcomer_prediction_stream,tswfc2_mode,tswfc2_node_ids,tswfc2_node_count,tswfc2_q_fluid_to_inner_wall_W,tswfc2_q_wall_conduction_W,tswfc2_q_external_W,tswfc2_energy_residual_W,tswfc2_inner_wall_temperature_K,tswfc2_outer_wall_temperature_K,tswfc2_external_drive_temperature_K,notes
left_lower_vertical__s00,left_lower_vertical,0.0,0.3333333333333333,1,vertical,0.0,0.12141199999999998,589.0774606533655,588.803310657552,588.9403856554587,0.0,0.0,10.5328227281258,86.75273225155505,441.50481198879265,6.395112924856327,0.0,564.4130502402354,6.543700533012147,16.29359375161002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.032625841103391756,0.0011980508237133417,2.643596503065289,0.6532011464628386,3.3306215414552325,586.0062037770697,356.66698416549946,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg below the test section.
left_lower_vertical__s01,left_lower_vertical,0.3333333333333333,0.5,1,vertical,0.12141199999999998,0.182118,588.803310657552,588.6633340008043,588.7333223291781,0.0,0.0,5.37790874509815,88.58941035644169,556.1798387279688,7.114229094124503,0.0,563.7928563516865,6.552336475349881,20.53014333208594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.025898935630736735,0.001198261584356818,2.64495956566955,0.5871746662931353,3.259231429177779,586.3328658024449,352.0174574631493,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg below the test section.
left_lower_vertical__s02,left_lower_vertical,0.5,0.6666666666666666,1,vertical,0.182118,0.24282399999999998,588.6633340008043,588.5234686443422,588.5934013225733,0.0,0.0,5.373632591577303,88.5189699795293,556.1249174016524,7.113151095861619,0.0,563.373858948581,6.558181018388443,20.531157056547052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.02590149333647966,0.0011984040011462057,2.645880774293275,0.5872636526315024,3.260244324262403,586.1946144664369,351.9839736373567,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg below the test section.
left_lower_vertical__s03,left_lower_vertical,0.6666666666666666,1.0,1,vertical,0.24282399999999998,0.364236,588.5234686443422,588.2262808537979,588.37487474907,0.0,0.0,11.417956521911456,94.04306429275076,441.3286406803219,6.391099978473313,0.0,562.7196423383663,6.567323067046121,16.296845497659046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03263886481539985,0.0011986264153290298,2.6473196789285427,0.6536112888775883,3.3347684590368596,585.4489130477864,356.5212159192382,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N01_pre_test_bracket,1,11.417956521911456,11.417956521911456,11.417956521911456,0.0,585.3055605434665,585.1928380424267,585.4489130477864,Left vertical leg below the test section.
test_section__s00,test_section,0.0,0.5,1,test_section,0.364236,0.4572,588.2262808537979,588.343617131995,588.2849489928965,18.5,0.0,13.991943725326946,150.50926945190554,502.59277177154803,9.180649548207054,0.0,586.0254418918256,6.571101034894868,17.814198182502928,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.029861642846145516,0.013827672229927042,0.0,1.4475424499746745,1.4912317650507472,579.8388745065389,579.8388745065389,,,300.0,300.0,0.95,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N02_test_section_lower,1,13.991943725326946,13.991943725326946,13.991943725326946,0.0,583.7904378841604,581.7092450386136,579.8388745065389,Transparent quartz test section. Uninsulated by user instruction.
test_section__s01,test_section,0.5,1.0,1,test_section,0.4572,0.550164,588.343617131995,588.4608052883157,588.4022112101553,18.5,0.0,13.99763456344773,150.57048495598005,502.63431512577205,9.18117944913694,0.0,586.3913673833032,6.566186334859524,17.813461984420716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.029859174744049942,0.013827672229927042,0.0,1.4474589036182897,1.4911457505922667,579.9526912689546,579.9526912689545,,,300.0,300.0,0.95,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N03_test_section_upper,1,13.99763456344773,13.99763456344773,13.99763456344773,0.0,583.9062438012606,581.8242044877882,579.9526912689546,Transparent quartz test section. Uninsulated by user instruction.
left_upper_vertical__s00,left_upper_vertical,0.0,0.3333333333333333,1,vertical,0.550164,0.671576,588.4608052883157,588.1636817586793,588.3122435234975,0.0,0.0,11.415487617405901,94.02272936287935,441.30915780851325,6.390655292848717,0.0,562.5320597133589,6.5699480646758674,16.297205229427394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.032640305752683674,0.0011986901983582297,2.647732376260386,0.6536567695882382,3.335228141799666,585.3871904351475,356.5050833877841,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N04_post_test_bracket,1,11.415487617405901,11.415487617405901,11.415487617405901,0.0,585.2434575147848,585.1307533906746,585.3871904351475,Left vertical leg above the test section.
left_upper_vertical__s01,left_upper_vertical,0.3333333333333333,0.49999999999999994,1,vertical,0.671576,0.732282,588.1636817586793,588.0242132639554,588.0939475113173,0.0,0.0,5.358385175801106,88.26780179555736,555.9291678686094,7.109301202399241,0.0,561.877978549617,6.579114130331224,20.53477137552816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.025910613572507516,0.001198912639967376,2.649171835798609,0.5875816729871733,3.263863034998257,585.7011171745783,351.8645426499338,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg above the test section.
left_upper_vertical__s02,left_upper_vertical,0.49999999999999994,0.6666666666666666,1,vertical,0.732282,0.792988,588.0242132639554,587.8848554260836,587.9545343450195,0.0,0.0,5.354133742919629,88.19776863769032,555.8746101924376,7.108226036862601,0.0,561.4603621248326,6.584977030432861,20.535779068538783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.025913156633188442,0.0011990546940456174,2.6500912464501742,0.5876705485464874,3.264874006323896,585.5633656990685,351.8312310758877,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg above the test section.
left_upper_vertical__s03,left_upper_vertical,0.6666666666666666,1.0,1,vertical,0.792988,0.9144000000000001,587.8848554260836,587.6125512013982,587.7487033137409,0.0,0.0,10.461908587804368,86.1686537393698,441.1341103205625,6.386651914520956,0.0,560.843927302872,6.593646232005504,16.300438375335098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03265325783096163,0.0011992644199925093,2.6514488649399377,0.6540665046701226,3.3393678918610146,584.8318093140942,356.3600301634397,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg above the test section.
top_horizontal_inlet,top_horizontal_inlet,0.0,1.0,0,horizontal,0.9144000000000001,0.9398000000000001,587.6125512013982,587.5558063846217,587.58417879301,0.0,0.0,2.180142161159983,85.83236854960563,743.0128868839005,6.166553075135937,0.0,560.3506856075082,6.600595912629129,27.459990312139727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.019386562597507102,0.0011994322696549768,2.652535592836625,0.6774116825684475,3.3505332702722344,585.8172617933233,358.1438491980235,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,1 inch horizontal run between the upcomer and the cooled incline.
cooled_incline_pre_hx__s00,cooled_incline_pre_hx,0.0,0.3333333333333333,1,incline,0.9398000000000001,1.0414,587.5558063846217,587.3256200303747,587.4407132074982,0.0,0.0,8.843751188187543,87.04479515932618,468.021642649497,6.772990149954998,0.0,559.9210702576627,6.606658552768724,17.299581172835122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.030777349869516087,0.0011995784942191747,2.6534824463145292,0.6167578871059225,3.302217261784187,584.6573999443498,353.6855639460338,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Cooled top incline before the active 12 inch cooling jacket region.
cooled_incline_pre_hx__s01,cooled_incline_pre_hx,0.3333333333333333,0.6666666666666666,1,incline,1.0414,1.143,587.3256200303747,587.0957348618015,587.2106774460881,0.0,0.0,8.832179680679005,86.93090236888787,467.9460706965176,6.771286571301947,0.0,559.2317462189227,6.61640456931409,17.300978032897888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.030782320323555178,0.0011998131661477244,2.655002289511045,0.6169130563724289,3.303897479373177,584.4305534922622,353.6288086736038,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Cooled top incline before the active 12 inch cooling jacket region.
cooled_incline_pre_hx__s02,cooled_incline_pre_hx,0.6666666666666666,0.7499999999999999,1,incline,1.143,1.1683999999999999,587.0957348618015,587.0362323326204,587.065983597211,0.0,0.0,2.2860936117097417,90.00368550038363,742.7426513342355,8.143845718089523,0.0,558.7978692068202,6.622550617232017,27.464985306510478,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.019393616101692223,0.0011999609075575043,2.655959296845881,0.5129388791092455,3.189491752964376,585.2125148114045,346.16638955626786,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Cooled top incline before the active 12 inch cooling jacket region.
cooled_incline_pre_hx__s03,cooled_incline_pre_hx,0.7499999999999999,1.0,1,incline,1.1683999999999999,1.2446,587.0362323326204,586.8630295529988,586.9496309428096,0.0,0.0,6.65445272601505,87.32877593195599,514.9470030622091,6.962690866601436,0.0,558.4493182441515,6.627494535496273,19.04393357479568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.027972715166164473,0.0012000796129073084,2.6567283135480486,0.5999541232417879,3.2858552315689082,584.4020908039561,352.3932591980352,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Cooled top incline before the active 12 inch cooling jacket region.
cooled_incline_hx_active__s00,cooled_incline_hx_active,0.0,0.3333333333333333,1,hx,1.2446,1.3461999999999998,586.8630295529988,586.2879762101751,586.575502881587,0.0,22.093628269082963,0.0,0.0,467.73788432713025,10.305326743243542,0.0,557.3284862876537,6.643432331891066,17.30482786763142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.030796021286689044,0.0012004614459655964,0.0,1.2160589950282417,1.2480554777608963,579.617925553664,579.3536230896523,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,12 inch active cooling jacket region. Air flows axially and counter-currently.
cooled_incline_hx_active__s01,cooled_incline_hx_active,0.3333333333333333,0.5000000000000028,1,hx,1.3461999999999998,1.3970000000000007,586.2879762101751,585.9563376103283,586.1221569102518,0.0,12.741603616000482,0.0,0.0,589.1259797461768,13.082327547528449,0.0,555.9689878967907,6.662845542696453,21.806173714023515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.024450569721157642,0.0012009248191128703,0.0,0.9579247452181371,0.9835762397584076,579.6884375364971,579.5716695361186,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,12 inch active cooling jacket region. Air flows axially and counter-currently.
cooled_incline_hx_active__s02,cooled_incline_hx_active,0.5000000000000028,0.6666666666666666,1,hx,1.3970000000000007,1.4478,585.9563376103283,585.6488732528007,585.8026054315645,0.0,11.812826067720788,0.0,0.0,588.9945626024884,13.143526995577174,0.0,555.0107543103393,6.676582943029518,21.80860628761127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.024456025160372756,0.0012012515798631022,0.0,0.9534644153767413,0.9791216921169772,579.8365165366814,579.7152346370086,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,12 inch active cooling jacket region. Air flows axially and counter-currently.
cooled_incline_hx_active__s03,cooled_incline_hx_active,0.6666666666666666,1.0,1,hx,1.4478,1.5493999999999999,585.6488732528007,585.2096103736728,585.4292418132368,0.0,16.876543076026874,0.0,0.0,467.3636501945052,10.477662428797903,0.0,553.8912095574113,6.692689970306725,17.31175476637822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03082068071903842,0.0012016335121099097,0.0,1.1960573618388834,1.2280796760700319,580.1103032143942,579.8048209834704,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,12 inch active cooling jacket region. Air flows axially and counter-currently.
cooled_incline_post_hx__s00,cooled_incline_post_hx,0.0,0.2499999999999991,1,incline,1.5493999999999999,1.6255999999999997,585.2096103736728,585.038205223872,585.1239077987724,0.0,0.0,6.5853879246231894,86.42241370896605,514.2908776903236,6.9488599810903064,0.0,552.9749609794088,6.705918139860728,19.05607769962513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.028008402379251892,0.0012019462222658108,2.6688317161481425,0.6011482611022525,3.299190325851913,582.599562413969,351.9526837214044,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Cooled top incline after the active cooling jacket region.
