sensor,kind,predicted_K,target_K,error_K,abs_error_K,scoreable,score_exclusion_reason,prediction_source_segment,prediction_source_fraction,candidate_id,case,case_id,split_role
TP1,TP,524.4485228409546,449.37,75.07852284095463,75.07852284095463,True,,top_horizontal_exit,0.9999999999999929,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TP2,TP,nan,443.27,nan,nan,False,policy_excluded_tp2_tw10_or_validation,,nan,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TP3,TP,528.7836316485078,441.37,87.41363164850782,87.41363164850782,True,,left_lower_vertical,0.0,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TP4,TP,527.9377063973268,446.40999999999997,81.52770639732682,81.52770639732682,True,,left_lower_vertical,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TP5,TP,528.4684629028013,447.5,80.96846290280132,80.96846290280132,True,,test_section,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TP6,TP,527.6244528150512,452.53,75.09445281505123,75.09445281505123,True,,left_upper_vertical,1.0,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TW1,TW,522.2762929247504,440.0,82.27629292475035,82.27629292475035,True,,right_vertical,0.25000000000000067,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TW10,TW,520.3176462369266,390.03,130.28764623692666,130.28764623692666,False,policy_excluded_tp2_tw10_or_validation,cooled_incline_hx_active,0.5000000000000028,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TW11,TW,523.399634461433,444.87,78.52963446143303,78.52963446143303,True,,cooled_incline_post_hx,0.2499999999999991,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
TW2,TW,521.6112452120905,441.56999999999994,80.04124521209053,80.04124521209053,True,,right_vertical,0.4999999999999999,tswfc2_smoke_salt2_four_node_v1,Salt 1,salt_1,train_nominal
