segment_name,parent_name,parent_start_fraction,parent_end_fraction,refinement_level,segment_type,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,q_ambient_W_per_m,h_inner_W_m2K,h_outer_W_m2K,h_rad_W_m2K,reynolds_inner,prandtl_inner,nusselt_inner,h_inner_multiplier,profile_descriptor_htc_signal,profile_descriptor_friction_signal,profile_descriptor_developing_signal,profile_descriptor_htc_shape_signal,profile_descriptor_friction_shape_signal,profile_descriptor_htc_shape_contribution,profile_descriptor_htc_developing_contribution,profile_descriptor_friction_shape_contribution,profile_descriptor_friction_developing_contribution,profile_descriptor_source_kind,profile_descriptor_source_case_id,profile_descriptor_reference_path,profile_descriptor_section_id,profile_descriptor_section_label,profile_descriptor_htc_multiplier,profile_descriptor_friction_multiplier,outer_conv_multiplier,outer_rad_multiplier,outer_insulation_multiplier,R_i_prime_K_m_W,R_wall_prime_K_m_W,R_ins_prime_K_m_W,R_o_prime_K_m_W,R_total_prime_K_m_W,T_pipe_outer_wall_K,T_outer_surface_K,external_boundary_source,external_boundary_drive_selector,external_ambient_temperature_K,external_surroundings_temperature_K,external_emissivity,external_prescribed_h_W_m2K,external_boundary_coverage_multiplier,upcomer_exchange_Q_main_to_reservoir_W,upcomer_exchange_Q_reservoir_to_main_W,upcomer_reservoir_setup_heat_W,upcomer_exchange_reservoir_energy_residual_W,upcomer_main_stream_temperature_K,upcomer_reservoir_temperature_K,upcomer_prediction_stream,tswfc2_mode,tswfc2_node_ids,tswfc2_node_count,tswfc2_q_fluid_to_inner_wall_W,tswfc2_q_wall_conduction_W,tswfc2_q_external_W,tswfc2_energy_residual_W,tswfc2_inner_wall_temperature_K,tswfc2_outer_wall_temperature_K,tswfc2_external_drive_temperature_K,notes
left_lower_vertical__s00,left_lower_vertical,0.0,0.3333333333333333,1,vertical,0.0,0.12141199999999998,548.9790179720221,548.7167358199645,548.8478768959933,0.0,0.0,8.293041662515368,68.3049588386269,403.1401577198146,6.099815163472711,0.0,365.3058085945518,8.650994731155489,15.468597462110656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03573066479856966,0.0012402768678253494,2.9213967297907826,0.6848232253479096,3.643190896805087,546.3227055987833,346.7768222191247,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg below the test section.
left_lower_vertical__s01,left_lower_vertical,0.3333333333333333,0.5,1,vertical,0.12141199999999998,0.182118,548.7167358199645,548.5829099433513,548.6498228816579,0.0,0.0,4.231424166848088,69.70355758653325,507.8658280450057,6.794497505390812,0.0,364.8172514912504,8.664088104831158,19.49034247746941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.02836273883158903,0.0012404929187295897,2.9228393388942657,0.6148055968761734,3.567248167520758,546.5864375011826,342.8541373263813,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg below the test section.
left_lower_vertical__s02,left_lower_vertical,0.5,0.6666666666666666,1,vertical,0.182118,0.24282399999999998,548.5829099433513,548.4491964129318,548.5160531781415,0.0,0.0,4.227871912844969,69.64504188786893,507.8260692423256,6.793396450749356,0.0,364.48740438511453,8.672947207958037,19.491105433096216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.028364959411832882,0.0012406388407453267,2.923813788707012,0.614905242842803,3.5683246298023934,546.4542351816858,342.82510139485726,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg below the test section.
left_lower_vertical__s03,left_lower_vertical,0.6666666666666666,1.0,1,vertical,0.24282399999999998,0.364236,548.4491964129318,548.1382721751045,548.2937342940181,0.0,0.0,9.83106017149944,80.97272239563995,403.0094494049429,6.095595183636817,0.0,363.9394822579669,8.687697700533647,15.471105728850201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03574225334814825,0.0012408813381072717,2.9254333410065922,0.6852973283870809,3.647713804079929,545.776504287486,346.6470632097335,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N01_pre_test_bracket,1,9.83106017149944,9.83106017149944,9.83106017149944,0.0,545.3997379446711,545.2992604045546,545.776504287486,Left vertical leg below the test section.
test_section__s00,test_section,0.0,0.5,1,test_section,0.364236,0.4572,548.1382721751045,548.3427806767945,548.2405264259495,18.5,0.0,12.033687896340991,129.44460109656416,458.96902756664247,8.979873932716588,0.0,379.05711334473193,8.691252075162158,16.911303093460845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03269990989864145,0.013827672229927042,0.0,1.4799071834352833,1.5264347655638517,540.6737579268198,540.6737579268198,,,300.0,300.0,0.95,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N02_test_section_lower,1,12.033687896340991,12.033687896340991,12.033687896340991,0.0,544.007600289751,542.2176827738541,540.6737579268198,Transparent quartz test section. Uninsulated by user instruction.
test_section__s01,test_section,0.5,1.0,1,test_section,0.4572,0.550164,548.3427806767945,548.5469763529202,548.4448785148574,18.5,0.0,12.04357906354228,129.55099891939116,459.023850491895,8.980994700260627,0.0,379.5820504832209,8.677677799127855,16.910293173400447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03269600442681419,0.013827672229927042,0.0,1.4797225010036885,1.5262461776604297,540.8715812708456,540.8715812708456,,,300.0,300.0,0.95,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N03_test_section_upper,1,12.04357906354228,12.04357906354228,12.04357906354228,0.0,544.2089792891799,542.4175905390629,540.8715812708456,Transparent quartz test section. Uninsulated by user instruction.
left_upper_vertical__s00,left_upper_vertical,0.0,0.3333333333333333,1,vertical,0.550164,0.671576,548.5469763529202,548.2359302592116,548.3914533060658,0.0,0.0,9.834913111862788,81.00445682356597,403.0324681049451,6.096339695957339,0.0,364.18040317248557,8.681206639248773,15.470663916025298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03574021197363792,0.0012407746967343053,2.9247210935492007,0.6852136368066162,3.6469157170261894,545.8728277965697,346.66993369982856,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,distributed_wall_fluid_nodes_v1,TSWFC2_N04_post_test_bracket,1,9.834913111862788,9.834913111862788,9.834913111862788,0.0,545.4964881164527,545.3959798361034,545.8728277965697,Left vertical leg above the test section.
left_upper_vertical__s01,left_upper_vertical,0.3333333333333333,0.49999999999999994,1,vertical,0.671576,0.732282,548.2359302592116,548.1025077650856,548.1692190121487,0.0,0.0,4.2186696887899675,69.49345515747977,507.72313337747096,6.790540460097459,0.0,363.6323039128435,8.695985967329952,19.493081147793895,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.028370710127994272,0.0012410173430161034,2.926341768912467,0.6151638619668155,3.571117358350293,546.1114627494716,342.74986225609297,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg above the test section.
left_upper_vertical__s02,left_upper_vertical,0.49999999999999994,0.6666666666666666,1,vertical,0.732282,0.792988,548.1025077650856,547.9691970852086,548.0358524251471,0.0,0.0,4.215134254211982,69.43521652245217,507.68360939514076,6.789441794007346,0.0,363.3035416007605,8.7048716123403,19.493839916824538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.028372918833229274,0.0012411629482823492,2.927314400868175,0.6152634076578327,3.5721918903075194,545.9796571826374,342.72094792906336,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg above the test section.
left_upper_vertical__s03,left_upper_vertical,0.6666666666666666,1.0,1,vertical,0.792988,0.9144000000000001,547.9691970852086,547.7085679276468,547.8388825064277,0.0,0.0,8.240776181780777,67.87447848467018,402.9024778161167,6.092127732815372,0.0,362.81818956501434,8.718017934546195,15.47315940066516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disabled,,,,,1.0,1.0,1.0,1.0,1.0,0.03575174300343556,0.0012413779886985207,2.9287510045884875,0.6856873784465127,3.6514315040271343,545.3281202634752,346.5406732155777,,,300.0,300.0,0.85,,1.0,0.0,0.0,0.0,0.0,,,,,,0,0.0,0.0,0.0,0.0,,,,Left vertical leg above the test section.
