source_id,source_path,exists,source_role,mutation
raw_endpoint_pressure_velocity,work_products/2026-07/2026-07-18/2026-07-18_two_tap_staged_endpoint_sampler/raw_endpoint_pressure_velocity.csv,yes,raw endpoint pressure/velocity,read_only
case_sampling_plan,work_products/2026-07/2026-07-18/2026-07-18_two_tap_staged_endpoint_sampler/case_sampling_plan.csv,yes,exact endpoint plane definitions,read_only
endpoint_reverse_flow_gate,work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/endpoint_reverse_flow_gate.csv,yes,reverse-flow gate,read_only
component_isolation_ledger,work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/component_isolation_ledger.csv,yes,component isolation prior decision,read_only
same_qoi_uq_family,work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/same_qoi_uq_family.csv,yes,same-QOI UQ prior decision,read_only
split_decision,work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/split_decision.csv,yes,split/admission decision,read_only
section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07/2026-07-09/2026-07-09_salt2_fine_closure_qoi_smoke_and_overnight/outputs/medium/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,yes,refined pressure candidate checked for same-QOI mesh UQ,read_only
section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07/2026-07-09/2026-07-09_salt2_fine_closure_qoi_smoke_and_overnight/outputs/fine/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,yes,refined pressure candidate checked for same-QOI mesh UQ,read_only
section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/medium/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,yes,refined pressure candidate checked for same-QOI mesh UQ,read_only
section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07/2026-07-10/2026-07-10_salt2_refined_pressure_smoke_and_8pm_batch/outputs/fine/section_mean_pressure_viscosity_screening_salt_test_2_jin_coarse_mesh.csv,yes,refined pressure candidate checked for same-QOI mesh UQ,read_only
