source_stage,source_path,case_id,mesh_level,branch,endpoint_pair,endpoint_role,station_label,sample_time_s,sample_status,surface_present,finite_required_fields,face_count,total_area_m2,p_mean_pa,p_rgh_mean_pa,rho_mean_kg_m3,T_mean_K,signed_mass_flux_kg_s,reverse_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,ordinary_flow_status,static_pressure_basis_status,final_label,reason,admission_status
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,medium,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,518,sampled,true,true,2212,0.00072883920158,-7920.41755149,-3.97205732914,1958.30594195,447.23757608,1.25480128894e-07,0.367268833433,0.499997690175,0.00283782877561,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,medium,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,518,sampled,true,true,2376,0.000766075670152,-897.307067189,-3.75999241213,1959.06597748,446.223767812,1.07845724717e-07,0.383234365151,0.49999800105,0.0930566523314,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,medium,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,518,sampled,true,true,2212,0.00072883920158,-7689.77952538,-3.96383700636,1958.31160244,447.230198098,-1.27848624274e-07,0.63109751584,0.500002354626,0.00321336835105,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,medium,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,518,sampled,true,true,2212,0.00072883920158,-9578.07628837,-4.11970170308,1958.24600009,447.317746781,-1.35021389233e-07,0.633868166219,0.500002483655,0.00268333690903,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,fine,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,399,sampled,true,true,4756,0.000729404096268,-7922.56252531,-3.93111243146,1958.3160414,447.224217804,3.47256702847e-08,0.366956605252,0.499999357405,0.00283705422237,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,fine,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,399,sampled,true,true,5096,0.00076658399753,-897.260198815,-3.70128469595,1959.08557044,446.197720608,3.08384702596e-08,0.384647044082,0.499999423906,0.0938649325141,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,fine,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,399,sampled,true,true,4756,0.000729404096268,-7687.36918484,-3.9202923446,1958.32165204,447.216702493,-3.57889698181e-08,0.63176134533,0.500000662671,0.00338021011715,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_face_qa.csv,salt_2,fine,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,399,sampled,true,true,4756,0.000729404096268,-9575.42003621,-4.08596828025,1958.25255542,447.308844685,-3.21762344658e-08,0.635638538588,0.50000059479,0.00245571905445,fail,pass_static_p_sampled,diagnostic,ordinary_flow_gate_failed_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7915,sampled,true,true,1036,0.000727368252274,,-3.63418958418,1957.16501878,448.759251652,7.50769084105e-08,0.370785602361,0.499998636835,0.0029227569062,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7915,sampled,true,true,1152,0.000764862685184,,-3.52088720349,1957.93928627,447.72690072,1.06785297328e-07,0.384423793839,0.49999804357,0.0975124365872,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7915,sampled,true,true,1036,0.000727368252274,,-3.63010093856,1957.17014518,448.752562179,-7.71843170348e-08,0.627925465881,0.500001402073,0.00359935595866,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7915,sampled,true,true,1036,0.000727368252274,,-3.7536312829,1957.10950281,448.833344235,-6.22054323877e-08,0.626681375791,0.500001129147,0.00281570911257,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,7618,sampled,true,true,1036,0.000727368252274,,-1.19164459495,1947.49591363,461.656859927,3.01560971439e-07,0.377896068104,0.499995189591,0.00627459268438,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,downstream,right_leg__s01,7618,sampled,true,true,1152,0.000764862685184,,-2.22244498671,1948.09302218,460.860515316,-4.23471102169e-08,0.416230757375,0.500000688404,0.114518258598,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,upstream,test_section_span__s03,7618,sampled,true,true,1036,0.000727368252274,,-1.19822953547,1947.50462528,461.645126468,-2.91641164292e-07,0.62389972009,0.500004650698,0.00759461601137,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,downstream,test_section_span__s01,7618,sampled,true,true,1036,0.000727368252274,,-1.10657888982,1947.43623872,461.736096215,-4.14586882437e-07,0.62359665584,0.500006662937,0.00663598696933,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_raw_face_metrics.csv,salt_4,coarse,right_leg,right_leg__s03->right_leg__s01,upstream,right_leg__s03,10000,sampled,true,true,1036,0.000727368252274,,0.360407686324,1936.18998942,476.737246869,5.55644256758e-07,0.370785602361,0.499992293482,0.00662705972104,fail,blocked_missing_static_p,diagnostic,coarse_raw_face_sampled_but_static_p_missing_and_RAF_or_RMF_material,raw_coarse_sample_only_no_F6_fit_no_component_K_admission
