source_stage,source_path,case_id,mesh_level,branch,endpoint_pair,face_rows,delta_p_static_pa,delta_p_rgh_pa,max_reverse_area_fraction,max_reverse_mass_fraction,max_secondary_velocity_fraction,ordinary_flow_status,static_pressure_basis_status,same_qoi_mesh_uq_status,pair_label,final_label,reason,admission_status
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,salt_2,fine,right_leg,right_leg__s03->right_leg__s01,2,-7025.30232649,-0.22982773551,0.384647044082,0.499999423906,0.0938649325141,fail,pass_static_p_sampled,two_mesh_diagnostic_only_no_admission,recirc_diagnostic,diagnostic,pair_fails_ordinary_flow_gate_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,salt_2,fine,test_section_span,test_section_span__s03->test_section_span__s01,2,1888.05085137,0.16567593565,0.635638538588,0.500000662671,0.00338021011715,fail,pass_static_p_sampled,two_mesh_diagnostic_only_no_admission,recirc_diagnostic,diagnostic,pair_fails_ordinary_flow_gate_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,salt_2,medium,right_leg,right_leg__s03->right_leg__s01,2,-7023.1104843,-0.21206491701,0.383234365151,0.49999800105,0.0930566523314,fail,pass_static_p_sampled,two_mesh_diagnostic_only_no_admission,recirc_diagnostic,diagnostic,pair_fails_ordinary_flow_gate_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_a_medium_fine,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv,salt_2,medium,test_section_span,test_section_span__s03->test_section_span__s01,2,1888.29676299,0.15586469672,0.633868166219,0.500002483655,0.00321336835105,fail,pass_static_p_sampled,two_mesh_diagnostic_only_no_admission,recirc_diagnostic,diagnostic,pair_fails_ordinary_flow_gate_high_RAF_or_RMF,diagnostic_only_no_F6_fit_no_component_K_admission
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_pair_diagnostics.csv,salt_2,coarse,right_leg,right_leg__s03->right_leg__s01,2,,-0.11330238069,0.384423793839,0.499998636835,0.0975124365872,fail,blocked_missing_static_p,coarse_context_only_no_static_p,recirc_diagnostic,diagnostic,coarse_pair_sampled_but_static_p_missing_and_RAF_or_RMF_material,diagnostic_only_no_F6_fit
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_pair_diagnostics.csv,salt_2,coarse,test_section_span,test_section_span__s03->test_section_span__s01,2,,0.12353034434,0.627925465881,0.500001402073,0.00359935595866,fail,blocked_missing_static_p,coarse_context_only_no_static_p,recirc_diagnostic,diagnostic,coarse_pair_sampled_but_static_p_missing_and_RAF_or_RMF_material,diagnostic_only_no_F6_fit
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_pair_diagnostics.csv,salt_3,coarse,right_leg,right_leg__s03->right_leg__s01,2,,1.03080039176,0.416230757375,0.500000688404,0.114518258598,fail,blocked_missing_static_p,coarse_context_only_no_static_p,recirc_diagnostic,diagnostic,coarse_pair_sampled_but_static_p_missing_and_RAF_or_RMF_material,diagnostic_only_no_F6_fit
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_pair_diagnostics.csv,salt_3,coarse,test_section_span,test_section_span__s03->test_section_span__s01,2,,-0.09165064565,0.62389972009,0.500006662937,0.00759461601137,fail,blocked_missing_static_p,coarse_context_only_no_static_p,recirc_diagnostic,diagnostic,coarse_pair_sampled_but_static_p_missing_and_RAF_or_RMF_material,diagnostic_only_no_F6_fit
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_pair_diagnostics.csv,salt_4,coarse,right_leg,right_leg__s03->right_leg__s01,2,,2.01509390745,0.466172380406,0.499994639482,0.143441462402,fail,blocked_missing_static_p,coarse_context_only_no_static_p,recirc_diagnostic,diagnostic,coarse_pair_sampled_but_static_p_missing_and_RAF_or_RMF_material,diagnostic_only_no_F6_fit
stage_b_coarse,work_products/2026-07/2026-07-21/2026-07-21_f6_coarse_vtk_sampler_submit/coarse_pair_diagnostics.csv,salt_4,coarse,test_section_span,test_section_span__s03->test_section_span__s01,2,,-0.511626442669,0.627925465881,0.500029233855,0.00942646174488,fail,blocked_missing_static_p,coarse_context_only_no_static_p,recirc_diagnostic,diagnostic,coarse_pair_sampled_but_static_p_missing_and_RAF_or_RMF_material,diagnostic_only_no_F6_fit
