sensitivity_id,kind,status,blocked_reason,scale,family,delta_K,claim_boundary
baseline_phase_e_recomputed,baseline,run,,,,,train/support local sensitivity only; not fitting
global_passive_hA_scale_0,global_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,0.0,,,train/support sensitivity disposition only; not fitting
global_passive_hA_scale_0.5,global_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,0.5,,,train/support sensitivity disposition only; not fitting
global_passive_hA_scale_1,global_hA_scale,run,,1.0,,,train/support local sensitivity only; not fitting
global_passive_hA_scale_2,global_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,2.0,,,train/support sensitivity disposition only; not fitting
global_passive_hA_scale_4,global_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,4.0,,,train/support sensitivity disposition only; not fitting
upcomer_hA_scale_0.5,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,0.5,upcomer,,train/support sensitivity disposition only; not fitting
upcomer_hA_scale_2,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,2.0,upcomer,,train/support sensitivity disposition only; not fitting
downcomer_hA_scale_0.5,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,0.5,downcomer,,train/support sensitivity disposition only; not fitting
downcomer_hA_scale_2,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,2.0,downcomer,,train/support sensitivity disposition only; not fitting
lower_leg_hA_scale_0.5,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,0.5,lower_leg,,train/support sensitivity disposition only; not fitting
lower_leg_hA_scale_2,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,2.0,lower_leg,,train/support sensitivity disposition only; not fitting
cooling_branch_hA_scale_0.5,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,0.5,cooling_branch,,train/support sensitivity disposition only; not fitting
cooling_branch_hA_scale_2,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,2.0,cooling_branch,,train/support sensitivity disposition only; not fitting
junction_hA_scale_0.5,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,0.5,junction,,train/support sensitivity disposition only; not fitting
junction_hA_scale_2,source_family_hA_scale,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,2.0,junction,,train/support sensitivity disposition only; not fitting
ambient_drive_delta_-5K,ambient_drive_delta,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,,,-5.0,train/support sensitivity disposition only; not fitting
ambient_drive_delta_+5K,ambient_drive_delta,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,,,5.0,train/support sensitivity disposition only; not fitting
ambient_drive_delta_+15K,ambient_drive_delta,blocked,non-baseline sensitivity solve exceeded practical foreground bounds in this package; requires separate compute-safe row with subprocess/job timeout,,,15.0,train/support sensitivity disposition only; not fitting
mapping_alternative_none_released,wall_loss_redistribution,blocked,Phase G did not release a deterministic contract-correctable mapping alternative.,,,,
hx_external_duty_enabled,source_sink_toggle,blocked,Phase I must admit setup-known HX/cooler duty before this can run.,,,,
source_sink_document_only_enabled,source_sink_toggle,blocked,Document-only source/sink rows are not runtime inputs.,,,,
